image,order-num,price,product-link,product-name,rate-num,rate-percent,sku,store-link,store-name,unit
//ae01.alicdn.com/kf/HTB18KbBPFXXXXbcXXXXq6xXFXXX9/Boho-style-long-dress-women-Off-shoulder-beach-summer-dresses-Floral-print-Vintage-chiffon-white-maxi.jpg,17313,US $11.96,"www.aliexpress.com/item/Boho-style-long-dress-women-Off-shoulder-beach-summer-dresses-Floral-print-Vintage-chiffon-white-maxi/32795887882.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-0&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",Boho style long dress women Off shoulder beach summer dresses Floral print Vintage chiffon white maxi dress vestidos de festa,10721,4.8,4 Colors Available,www.aliexpress.com/store/1736632,Top Super,piece
//ae01.alicdn.com/kf/HTB1v4WEOFXXXXc1XVXXq6xXFXXX4/2016-Fashion-women-Elegant-Vintage-sweet-lace-white-Dress-stylish-sexy-slash-neck-casual-slim-beach.jpg,13472,US $7.77,"www.aliexpress.com/item/2016-Fashion-women-Elegant-Vintage-sweet-lace-white-Dress-stylish-sexy-slash-neck-casual-slim-beach/32686243536.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-1&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",MUICHES Fashion women Elegant Vintage sweet lace white Dress stylish sexy slash neck casual slim beach Summer Sundress vestidos,6850,4.8,2 Colors Available,www.aliexpress.com/store/2225108,MUICHES MUICHES Store,piece
//ae01.alicdn.com/kf/HTB12HwDJXXXXXb2XXXXq6xXFXXXU/Fashion-Women-Sexy-Backless-Basic-Dresses-Sleeveless-Slim-Vestidos-Vest-Tanks-Bodycon-Dress-Strap-Solid-Party.jpg,12605,US $4.04 - 4.49,"www.aliexpress.com/item/Fashion-Women-Sexy-Backless-Basic-Dresses-Sleeveless-Slim-Vestidos-Vest-Tanks-Bodycon-Dress-Strap-Solid-Party/32243075158.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-2&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",Fashion Women Sexy Backless Basic Dresses Sleeveless Slim Vestidos Vest Tanks Bodycon Dress Strap Solid Party Dress NQ657420,8475,4.8,7 Colors Available,www.aliexpress.com/store/1026163,Lucky Star Shop ^_^,piece
//ae01.alicdn.com/kf/HTB1PyqrOpXXXXadXFXXq6xXFXXX2/2016-Fashion-one-shoulder-Blue-striped-women-shirt-dress-Sexy-side-split-Elegant-half-sleeve-waistband.jpg,11909,US $7.90,"www.aliexpress.com/item/2016-Fashion-one-shoulder-Blue-striped-women-shirt-dress-Sexy-side-split-Elegant-half-sleeve-waistband/32717728328.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-3&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",2017 Fashion one shoulder Blue striped women shirt dress Sexy side split Elegant half sleeve waistband Casual beach dresses,5926,4.8,,www.aliexpress.com/store/2227048,MOARCHO MOARCHO Store,piece
//ae01.alicdn.com/kf/HTB1QbVkKVXXXXbAXXXXq6xXFXXXH/Summer-Dress-2015-Sexy-Women-Casual-Sleeveless-Beach-Short-Dress-Tassel-Solid-White-Mini-Lace-Dress.jpg,11394,US $7.53,"www.aliexpress.com/item/Summer-Dress-2015-Sexy-Women-Casual-Sleeveless-Beach-Short-Dress-Tassel-Solid-White-Mini-Lace-Dress/32467936508.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-4&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",Zanzea Summer Dress 2017 Sexy Women Casual Sleeveless Beach Short Dress Tassel Solid White Mini Lace Dress Vestidos Plus Size,9134,4.7,2 Colors Available,www.aliexpress.com/store/346605,Romeo & Juliet Clothes Store,piece
//ae01.alicdn.com/kf/HTB1xPPcMVXXXXc5XFXXq6xXFXXXP/Yifan-2016-New-Fashion-Casual-Women-Summer-Dress-Elegant-Ladies-Sexy-Solid-Color-Short-Sleeve-Office.jpg,10775,US $4.46 - 4.79,"www.aliexpress.com/item/Yifan-2016-New-Fashion-Casual-Women-Summer-Dress-Elegant-Ladies-Sexy-Solid-Color-Short-Sleeve-Office/32719512603.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-5&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",2017 New Fashion Casual Summer Autumn Women Dress Elegant Ladies Sexy Solid Color Short Sleeve Office Dresses Female Vestidos,6822,4.6,3 Colors Available,www.aliexpress.com/store/2214104,ShenZhen Yifan Store,piece
//ae01.alicdn.com/kf/HTB1HhjcRVXXXXcAXFXXq6xXFXXXk/Vestidos-Sexy-Ruffles-Women-Dress-Summer-Sleeveless-Casual-A-Line-Bodycon-Dresses-Party-Cocktail-Short-Mini.jpg,10763,US $6.35,"www.aliexpress.com/item/Vestidos-Sexy-Ruffles-Women-Dress-Summer-Sleeveless-Casual-A-Line-Bodycon-Dresses-Party-Cocktail-Short-Mini/32717319269.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-6&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",2017 Lossky Women's Vestidos Sexy Ruffle Dress Summer Sleeveless Casual big size Bodycon Dress Women Clothing short summer dress,10589,4.8,6 Colors Available,www.aliexpress.com/store/516346,"YUNSHAN E-commerce CO.,LTD Store",piece
//ae01.alicdn.com/kf/HTB1arYNOXXXXXXwaXXXq6xXFXXXb/2016-New-Style-Summer-Dress-Sleeveless-Floral-Print-Casual-Women-Dress-Above-Knee-Mini-Vestidos-Plus.jpg,10612,US $5.99,"www.aliexpress.com/item/2016-New-Style-Summer-Dress-Sleeveless-Floral-Print-Casual-Women-Dress-Above-Knee-Mini-Vestidos-Plus/32691910416.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-7&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",Vestidos Vestidos 2017 New Style Summer Dress Sleeveless Hearts Print Casual Women Dress Above Knee Women Short Beach Dresses,4021,4.6,21 Colors Available,www.aliexpress.com/store/611514,BaoHuiDa Factory Store Store,piece
//ae01.alicdn.com/kf/HTB1Ev_wIFXXXXX6XVXXq6xXFXXX5/Summer-dress-2015-chiffon-female-dress-backless-summer-style-vestido-de-festa-sundress-plus-size-women.jpg,10513,US $6.26 - 7.39,"www.aliexpress.com/item/Summer-dress-2015-chiffon-female-dress-backless-summer-style-vestido-de-festa-sundress-plus-size-women/32373526803.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-8&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",Women beach dress Fluorescence summer dress chiffon female women dress 2016 summer style vestido plus size women clothing,2646,4.7,4 Colors Available,www.aliexpress.com/store/1684183,WOMEN FASHION GODDESS STORE,piece
//ae01.alicdn.com/kf/HTB1L3z7OVXXXXbyXVXXq6xXFXXXE/2016-Women-dress-New-Fashion-Designer-Loose-Slash-neck-Jeans-Dresses-Summer-Casual-Sleeveless-ladies-elegant.jpg,9357,US $7.73,"www.aliexpress.com/item/2016-Women-dress-New-Fashion-Designer-Loose-Slash-neck-Jeans-Dresses-Summer-Casual-Sleeveless-ladies-elegant/32720774278.html?ws_ab_test=searchweb0_0,searchweb201602_2_10066_10152_10065_10151_10068_10084_10083_10119_10080_10082_10081_10110_10137_10111_10060_10112_10113_10155_10114_10179_5360015_10154_438_10056_10055_10054_10310_10182_10059_100031_10099_10078_10079_10103_10073_10102_10120_10052_10053_10142_10107_10050_10051,searchweb201603_1,ppcSwitch_4&btsid=b5e66d8d-f2a3-4129-b1a4-7ff73935cbd4&algo_expid=8d14735a-5550-4615-9994-10ee99acf712-9&algo_pvid=8d14735a-5550-4615-9994-10ee99acf712",2016 Women dress New Fashion Designer Loose Slash neck Jeans Dresses Summer Casual Sleeveless ladies elegant Denim Dresses,3487,4.8,,www.aliexpress.com/store/2391079,MUICHES Sales Store,piece
