add_wish,discount_price,original_price,product_link,product_name,header_block
1842,$3.99,,https://www.jollychic.com/p/lameila-2-count-lithe-and-long-lasting-loofah-bath-sponge-g287030.html,Lameila 2 Count Lithe and Long Lasting Loofah Bath Sponge,Bath & Body
7757,$10.99,,https://www.jollychic.com/p/exfoliating-smooth-soothing-whitening-cleansing-soap-g369330.html,Exfoliating Smooth Soothing Whitening Cleansing Soap,Bath & Body
6677,$12.99,,https://www.jollychic.com/p/smooth-moisturizing-body-gel-exfoliating-g369790.html,Smooth Moisturizing Body Gel Exfoliating,Bath & Body
184,$13.99,$20.99,https://www.jollychic.com/p/rose-fragrance-moisturizing-body-lotion-g373794.html,Rose Fragrance Moisturizing Body Lotion,Bath & Body
13927,$4.99,$6.99,https://www.jollychic.com/p/shea-body-scrub-cream-exfoliating-remove-dead-skin-g374134.html,Shea Body Scrub Cream Exfoliating Remove Dead skin,Bath & Body
338,$16.99,$25.99,https://www.jollychic.com/p/tea-tree-essential-oil-fragrance-deep-clean-remove-acne-essence-g405878.html,Tea Tree Essential Oil Fragrance Deep Clean Remove Acne Essence,Bath & Body
38419,$8.99,,https://www.jollychic.com/p/tooth-whitening-device-cold-light-effective-tooth-care-g441156.html,Tooth Whitening Device Cold Light Effective Tooth Care,Bath & Body
658,$1.99,$4.99,https://www.jollychic.com/p/bath-soap-whitening-gentle-cleansing-natural-active-crystal-soap-g441622.html,Bath Soap Whitening Gentle Cleansing Natural Active Crystal Soap,Bath & Body
499,$2.99,$5.99,https://www.jollychic.com/p/rose-body-lotion-moisturizing-body-nutrition-milk-g441762.html,Rose Body Lotion Moisturizing Body Nutrition Milk,Bath & Body
2386,$2.99,$5.99,https://www.jollychic.com/p/bath-salt-lavender-exfoliating-nourish-tender-body-care-g455788.html,Bath Salt Lavender Exfoliating Nourish Tender Body Care,Bath & Body
3377,$8.99,,https://www.jollychic.com/p/camellia-body-lotion-hydrating-exfoliating-smoothing-body-cream-g465176.html,Camellia Body Lotion Hydrating Exfoliating Smoothing Body Cream,Bath & Body
801,$2.99,$14.99,https://www.jollychic.com/p/body-cream-mousse-moisturizing-aloe-cherry-blossom-jasmine-rose-scent-whitening-body-care-g470356.html,Body Cream Mousse Moisturizing Aloe Cherry Blossom Jasmine Rose Scent Whitening Body Care,Bath & Body
251,$1.99,$5.99,https://www.jollychic.com/p/avocado-depilatory-cream-no-stimulation-general-systemic-hair-remover-g473580.html,Avocado Depilatory Cream No Stimulation General Systemic Hair Remover,Bath & Body
542,$9.99,,https://www.jollychic.com/p/body-scrub-moisturizing-exfoliating-body-peeling-gel-g487594.html,Body Scrub Moisturizing Exfoliating Body Peeling Gel,Bath & Body
429,$2.99,$6.99,https://www.jollychic.com/p/dr-rashel-soap-snail-collagen-brightening-exfoliating-moist-body-wash-g512964.html,DR.RASHEL Soap Snail Collagen Brightening Exfoliating Moist Body Wash,Bath & Body
