add_wish,discount_price,original_price,product_link,product_name,header_block
437,$9.99,,http://www.jollychic.com/p/dr-rashel-garlic-collagen-hair-nutrition-mask-smooth-moisturizing-conditioner-g513768.html,DR.RASHEL Garlic Collagen Hair Nutrition Mask Smooth Moisturizing Conditioner,Hair Care
152,$26.99,$41.99,http://www.jollychic.com/p/hair-curler-ceramic-3in1-multi-function-replacable-hair-brush-hairstyling-tool-g847380.html,Hair Curler Ceramic 3in1 Multi Function Replacable Hair Brush Hairstyling Tool,Hair Care
223,$1.99,$5.99,http://www.jollychic.com/p/hairstyling-tools-5pcs-diy-buns-easy-large-size-portable-sponge-black-beauty-tools-g468560.html,Hairstyling Tools 5Pcs DIY Buns Easy Large Size Portable Sponge Black Beauty Tools,Hair Care
1088,$4.99,$7.99,http://www.jollychic.com/p/hair-comb-curly-hair-shaping-air-bag-massaging-comb-g418214.html,Hair Comb Curly Hair Shaping Air Bag Massaging Comb,Hair Care
2130,$2.99,$6.99,http://www.jollychic.com/p/hair-dye-cream-one-time-hair-color-dye-mascara-g435150.html,Hair Dye Cream One-time Hair Color Dye Mascara,Hair Care
1052,$13.99,,http://www.jollychic.com/p/electric-hair-braid-device-diy-effective-good-looking-harmless-hair-tools-g1004190.html,Electric Hair Braid Device DIY Effective Good Looking Harmless Hair Tools,Hair Care
51,$5.99,,http://www.jollychic.com/p/hair-brush-natural-wooden-massage-comb-scalp-paddle-hair-brush-g1182860.html,Hair Brush Natural Wooden Massage Comb Scalp Paddle Hair Brush,Hair Care
899,$3.99,$6.99,http://www.jollychic.com/p/6pcs-hair-dye-cream-temporary-mixed-color-charming-hairstyling-g1044944.html,6Pcs Hair Dye Cream Temporary Mixed Color Charming Hairstyling,Hair Care
886,$4.99,$6.99,http://www.jollychic.com/p/co-e-hairdressing-geltreatment-essential-oil-nutrition-repairing-hair-conditioner-g545248.html,CO.E Hairdressing Geltreatment Essential Oil Nutrition Repairing Hair Conditioner,Hair Care
109,$6.99,,http://www.jollychic.com/p/24pcs-hair-dyeing-short-stick-set-multi-color-temporary-high-pigmentation-easy-hairstyling-tools-g468060.html,24Pcs Hair Dyeing Short Stick Set Multi Color Temporary High Pigmentation Easy Hairstyling Tools,Hair Care
1222,$5.99,,http://www.jollychic.com/p/4pcs-hair-dye-pressed-powder-temporary-convenient-easy-wash-off-tools-g604722.html,4Pcs Hair Dye Pressed Powder Temporary Convenient Easy Wash Off Tools,Hair Care
242,$7.99,,http://www.jollychic.com/p/hair-conditioner-repairing-nourishing-haircare-lotion-g459154.html,Hair Conditioner Repairing Nourishing Haircare Lotion,Hair Care
1896,$4.99,,http://www.jollychic.com/p/1-pc-mini-hair-dye-comb-professional-hair-color-chalk-hair-dyeing-tool-g600656.html,1 Pc Mini Hair Dye Comb Professional Hair Color Chalk Hair Dyeing Tool,Hair Care
982,$7.99,$12.99,http://www.jollychic.com/p/doradosun-morocco-hair-oil-repairing-deep-nourishing-hair-care-g615892.html,DoraDoSun Morocco Hair Oil Repairing Deep Nourishing Hair Care,Hair Care
223,$4.99,$7.99,http://www.jollychic.com/p/agam-oil-keratin-nutrition-hair-mask-ointment-repairing-conditioner-g461358.html,Agam Oil Keratin Nutrition Hair Mask Ointment Repairing Conditioner,Hair Care
159,$14.99,$26.99,http://www.jollychic.com/p/la-sincia-marinegel-shampoo-deep-nourish-luxury-smoothing-hair-care-g955974.html,La SINCIA Marinegel Shampoo Deep Nourish Luxury Smoothing Hair Care,Hair Care
121,$6.99,,http://www.jollychic.com/p/beauty-artisan-4pcs-convenient-effective-hair-curling-tools-g319498.html,Beauty Artisan 4Pcs Convenient Effective Hair Curling Tools,Hair Care
244,$3.99,$6.99,http://www.jollychic.com/p/deep-sea-seaweed-cleansing-fresh-anti-dandruff-hair-soap-g348610.html,Deep Sea Seaweed Cleansing Fresh Anti Dandruff Hair Soap,Hair Care
179,$3.99,,http://www.jollychic.com/p/plastic-perm-bars-beautiful-curls-g364602.html,Plastic Perm Bars Beautiful Curls,Hair Care
67,$6.99,$17.99,http://www.jollychic.com/p/magic-hair-roller-for-bangs-hair-tails-five-pairs-g371724.html,Magic Hair Roller For Bangs Hair Tails Five Pairs,Hair Care
655,$4.99,,http://www.jollychic.com/p/convenient-sponge-hair-curler-6pcs-g372148.html,Convenient Sponge Hair Curler 6Pcs,Hair Care
204,$3.99,$5.99,http://www.jollychic.com/p/hairstyling-tools-5pcs-diy-easy-hair-bangs-fluffy-beauty-tools-g468482.html,Hairstyling Tools 5Pcs DIY Easy Hair Bangs Fluffy Beauty Tools,Hair Care
1577,$5.99,$8.99,http://www.jollychic.com/p/hair-dryer-cap-good-quality-long-blow-pipe-hair-care-tool-g502704.html,Hair Dryer Cap Good Quality Long Blow Pipe Hair Care Tool,Hair Care
214,$2.99,$10.99,http://www.jollychic.com/p/dr-rashel-2-in-1-hair-oil-keratin-nursing-repairing-glossy-hair-care-oil-g513542.html,DR.RASHEL 2 In 1 Hair Oil Keratin Nursing Repairing Glossy Hair Care Oil,Hair Care
642,$6.99,$10.99,http://www.jollychic.com/p/dr-rashel-hair-oil-laurel-keratin-nursing-repairing-resistant-hair-care-oil-g513570.html,DR.RASHEL Hair Oil Laurel Keratin Nursing Repairing Resistant Hair Care Oil,Hair Care
185,$25.99,$31.99,http://www.jollychic.com/p/hair-curler-ceramic-led-display-long-lasting-curling-wavying-hairstyling-tools-g607106.html,Hair Curler Ceramic LED Display Long Lasting Curling Wavying Hairstyling Tools,Hair Care
22,$7.99,$12.99,http://www.jollychic.com/p/20pcs-hair-curler-with-hooks-fiber-magic-lasting-hairstyling-tools-g642754.html,20Pcs Hair Curler With Hooks Fiber Magic Lasting Hairstyling Tools,Hair Care
414,$10.99,,http://www.jollychic.com/p/42pcs-magic-hair-curler-rubber-lasting-soft-harmless-hairstyling-tools-g642918.html,42Pcs Magic Hair Curler Rubber Lasting Soft Harmless Hairstyling Tools,Hair Care
337,$8.99,,http://www.jollychic.com/p/hair-essence-oil-deep-nourishing-strengthen-repair-hair-conditioner-g694878.html,Hair Essence Oil Deep Nourishing Strengthen Repair Hair Conditioner,Hair Care
16,$37.99,,http://www.jollychic.com/p/electric-hair-clipper-rechargable-professional-g708582.html,Electric Hair Clipper Rechargable Professional,Hair Care
112,$8.99,$13.99,http://www.jollychic.com/p/hair-conditioner-natural-tea-seed-anti-dandruff-oil-control-hair-care-g788720.html,Hair Conditioner Natural Tea Seed Anti Dandruff Oil Control Hair Care,Hair Care
29,$8.99,$14.99,http://www.jollychic.com/p/prime-blue-men-s-hair-wax-long-lasting-moisturizing-matte-hairstyling-wax-g922206.html,PRIME BLUE Men's Hair Wax Long Lasting Moisturizing Matte Hairstyling Wax,Hair Care
26,$28.99,$43.99,http://www.jollychic.com/p/schwarzkopf-shampoo-anti-dandruff-smooth-hair-wash-g937208.html,Schwarzkopf Shampoo Anti dandruff Smooth Hair Wash,Hair Care
39,$23.99,$39.99,http://www.jollychic.com/p/schwarzkopf-polyflor-hair-shampoo-repair-dull-cleasning-sulpple-hair-wash-g938510.html,Schwarzkopf Polyflor Hair shampoo Repair Dull Cleasning Sulpple Hair Wash,Hair Care
5,$28.99,,http://www.jollychic.com/p/kangfu-hair-drier-blue-light-advanced-negative-ion-household-hairstyle-g1004184.html,KangFu Hair Drier Blue Light Advanced Negative Ion Household Hairstyle,Hair Care
24,$9.99,,http://www.jollychic.com/p/hair-brush-massage-scalp-smooth-delicate-hairstyling-comb-g1056430.html,Hair Brush Massage Scalp Smooth Delicate Hairstyling Comb,Hair Care
53,$11.99,$16.99,http://www.jollychic.com/p/ylg-mini-hair-straightener-travel-size-convenient-hairstyling-tool-g1078742.html,YLG Mini Hair Straightener Travel Size Convenient Hairstyling Tool,Hair Care
11,$34.99,,http://www.jollychic.com/p/kangfu-hair-straightener-curling-wavying-multi-function-hairstyling-tool-g1099600.html,KangFu Hair Straightener Curling Wavying Multi Function Hairstyling Tool,Hair Care
19,$9.99,,http://www.jollychic.com/p/hair-wax-grey-color-fashionable-disposable-hairstyle-modeling-wax-g1183628.html,Hair Wax Grey Color Fashionable Disposable Hairstyle Modeling Wax,Hair Care
182,$5.99,,http://www.jollychic.com/p/hair-comb-lip-shape-original-massage-portable-adorable-hair-brush-g1223862.html,Hair Comb Lip Shape Original Massage Portable Adorable Hair Brush,Hair Care
18,$17.99,$29.99,http://www.jollychic.com/p/hair-curler-professional-3-barrel-fast-heating-portable-curling-hairstyling-tool-g1244242.html,Hair Curler Professional 3 Barrel Fast Heating Portable Curling Hairstyling Tool,Hair Care
2,$8.99,,http://www.jollychic.com/p/12pcs-hair-clips-purple-salon-hairdressing-clamps-grip-styling-tools-g1275742.html,12Pcs Hair Clips Purple Salon Hairdressing Clamps Grip Styling Tools,Hair Care
325,$7.99,$12.99,http://www.jollychic.com/p/elastic-extension-plastic-hair-curler-24pcs-g364356.html,Elastic Extension Plastic Hair Curler 24Pcs,Hair Care
1158,$4.99,$7.99,http://www.jollychic.com/p/ceramic-hair-curler-multipurpose-hairdressing-curling-iron-china-standard-plug-g402424.html,Ceramic Hair Curler Multipurpose Hairdressing Curling Iron-China Standard Plug,Hair Care
370,$7.99,,http://www.jollychic.com/p/curly-hair-comb-airbag-anti-static-massaging-comb-with-mirror-g418222.html,Curly Hair Comb Airbag Anti-static Massaging Comb With Mirror,Hair Care
564,$7.99,$10.99,http://www.jollychic.com/p/hair-curler-set-23pcs-magic-multiple-size-and-color-wavying-diy-hairstyling-tools-g468178.html,Hair Curler Set 23Pcs Magic Multiple Size And Color Wavying DIY Hairstyling Tools,Hair Care
494,$8.99,$15.99,http://www.jollychic.com/p/co-e-olive-oil-hair-care-oil-moisturizing-body-massage-oil-g503892.html,CO.E Olive Oil Hair Care Oil Moisturizing Body Massage Oil,Hair Care
45,$1.99,$6.99,http://www.jollychic.com/p/hair-wax-shaping-moist-lasting-hairstyling-fashion-hair-care-g512920.html,Hair Wax Shaping Moist Lasting Hairstyling Fashion Hair Care,Hair Care
278,$26.99,$33.99,http://www.jollychic.com/p/anion-vibration-massage-comb-straight-curly-hair-styling-comb-g565132.html,Anion Vibration Massage Comb Straight Curly Hair Styling Comb,Hair Care
146,$21.99,$30.99,http://www.jollychic.com/p/hair-dryer-negative-ion-low-noise-high-power-quick-dry-hair-product-g567192.html,Hair Dryer Negative Ion Low Noise High Power Quick Dry Hair Product,Hair Care
105,$26.99,$35.99,http://www.jollychic.com/p/3pcs-hair-curler-set-3in1-curler-barrels-replaceable-straightening-wavying-tools-g610360.html,3Pcs Hair Curler Set 3in1 Curler Barrels Replaceable Straightening Wavying Tools,Hair Care
77,$29.99,,http://www.jollychic.com/p/hair-clipper-power-charged-portable-lcd-sharp-safe-hairstyling-tool-with-base-g708576.html,Hair Clipper Power Charged Portable LCD Sharp Safe Hairstyling Tool With Base,Hair Care
184,$3.99,$6.99,http://www.jollychic.com/p/18pcs-magic-elastic-hair-curler-environmental-lasting-wavying-tool-g719866.html,18Pcs Magic Elastic Hair Curler Environmental Lasting Wavying Tool,Hair Care
31,$43.99,,http://www.jollychic.com/p/hair-curler-electric-large-wavy-harmless-durable-golden-hairstyling-tool-g775188.html,Hair Curler Electric Large Wavy Harmless Durable Golden Hairstyling Tool,Hair Care
