add_wish,discount_price,original_price,product_link,product_name,header_block
387,$1.99,$2.99,https://www.jollychic.com/p/co-e-pure-gold-rose-extracts-deep-nourish-hand-care-cream-g327212.html,CO.E Pure Gold Rose Extracts Deep Nourish Hand Care Cream,Hand & Foot Care
1614,$4.99,$6.99,https://www.jollychic.com/p/milk-honey-hand-tender-wax-hand-care-g351074.html,Milk Honey Hand Tender Wax Hand Care,Hand & Foot Care
30393,$1.99,$2.99,https://www.jollychic.com/p/exfoliating-scrub-tender-moist-protective-feet-patches-g351102.html,Exfoliating Scrub Tender Moist Protective Feet Patches,Hand & Foot Care
646,$1.99,$2.99,https://www.jollychic.com/p/moisturizing-hydrating-exfoliator-hand-care-mask-one-pair-g351196.html,Moisturizing Hydrating Exfoliator Hand Care Mask One Pair,Hand & Foot Care
5480,$10.99,,https://www.jollychic.com/p/exfoliating-hand-scrub-remove-dead-skin-shea-butter--g369416.html,Exfoliating Hand Scrub Remove Dead Skin (Shea Butter),Hand & Foot Care
2331,$7.99,,https://www.jollychic.com/p/honey-milk-peeling-exfoliating-foot-wax-g369974.html,Honey Milk Peeling Exfoliating Foot Wax,Hand & Foot Care
733,$3.99,$11.99,https://www.jollychic.com/p/handcream-smooth-moist-hydrating-anti-crack-hand-care-g402858.html,Handcream Smooth Moist Hydrating Anti Crack Hand Care,Hand & Foot Care
655,$1.99,$5.99,https://www.jollychic.com/p/handcream-moisturizing-carrot-shape-anti-crack-hand-care-g404174.html,Handcream Moisturizing Carrot Shape Anti Crack Hand Care,Hand & Foot Care
988,$2.99,$5.99,https://www.jollychic.com/p/aloes-handcream-protective-anti-wrinkles-hands-moisturizer-g419524.html,Aloes Handcream Protective Anti Wrinkles Hands Moisturizer,Hand & Foot Care
724,$2.99,$5.99,https://www.jollychic.com/p/cucumber-handcream-smooth-protective-lasting-care-hands-moisturizer-g419532.html,Cucumber Handcream Smooth Protective Lasting Care Hands Moisturizer,Hand & Foot Care
4439,$2.99,$6.99,https://www.jollychic.com/p/hand-cream-moist-anti-wrinkles-nourishing-lasting-hand-care-g437404.html,Hand Cream Moist Anti Wrinkles Nourishing Lasting Hand Care,Hand & Foot Care
963,$1.99,$5.99,https://www.jollychic.com/p/doradosun-hand-cream-1-pc-whitening-moisturizing-skin-care-g451338.html,Doradosun Hand Cream 1 Pc Whitening Moisturizing Skin Care,Hand & Foot Care
374,$5.99,,https://www.jollychic.com/p/doradosun-foot-cream-whitening-nourishing-moisturizing-foot-care-g452994.html,Doradosun Foot Cream Whitening Nourishing Moisturizing Foot Care,Hand & Foot Care
835,$5.99,$10.99,https://www.jollychic.com/p/hand-mask-fruit-whitening-silky-moisturizing-hand-mask-three-pairs-g454376.html,Hand Mask Fruit Whitening Silky Moisturizing Hand Mask Three Pairs,Hand & Foot Care
836,$0.99,$5.99,https://www.jollychic.com/p/snail-hand-cream-nutrition-whitening-silky-moisturizing-hand-cream-g454432.html,Snail Hand Cream Nutrition Whitening Silky Moisturizing Hand Cream,Hand & Foot Care
11618,$5.99,$9.99,https://www.jollychic.com/p/hand-cream-set-4pcs-exfoliating-moisturizing-whitening-fruit-scent-skin-care-g456278.html,Hand Cream Set 4Pcs Exfoliating Moisturizing Whitening Fruit Scent Skin Care,Hand & Foot Care
487,$3.99,$7.99,https://www.jollychic.com/p/foot-cream-moisturizing-anti-dryness-hydrating-body-care-g458296.html,Foot Cream Moisturizing Anti Dryness Hydrating Body Care,Hand & Foot Care
3391,$3.99,$12.99,https://www.jollychic.com/p/aloe-vera-hand-wax-tender-whitening-nourishing-hand-mask-g470014.html,Aloe Vera Hand Wax Tender Whitening Nourishing Hand Mask,Hand & Foot Care
967,$8.99,$11.99,https://www.jollychic.com/p/exfoliating-hand-gloves-4pairs-dead-skin-removing-moisturizing-hand-care-g485734.html,Exfoliating Hand Gloves 4Pairs Dead Skin Removing Moisturizing Hand Care,Hand & Foot Care
1859,$7.99,$11.99,https://www.jollychic.com/p/hand-care-gloves-4pairs-nourishing-protecting-moist-whitening-hand-treatment-g485762.html,Hand Care Gloves 4Pairs Nourishing Protecting Moist Whitening Hand Treatment,Hand & Foot Care
1344,$16.99,$29.99,https://www.jollychic.com/p/electric-pedicure-device-foot-dead-skin-calluses-grinding-machine-g492728.html,Electric Pedicure Device Foot Dead Skin Calluses Grinding Machine,Hand & Foot Care
1163,$2.99,$5.99,https://www.jollychic.com/p/goat-milk-hand-cream-whitening-moisturizing-cream-3-pcs-set-g494150.html,Goat Milk Hand Cream Whitening Moisturizing Cream 3 Pcs Set,Hand & Foot Care
209,$3.99,$8.99,https://www.jollychic.com/p/foot-mask-2pcs-gold-collagen-whitening-moisturizing-foot-care-g575774.html,Foot Mask 2Pcs Gold Collagen Whitening Moisturizing Foot Care,Hand & Foot Care
12226,$10.99,,https://www.jollychic.com/p/4pcs-hand-care-gloves-whitening-exfoliating-hydrating-hand-care-g604694.html,4PCs Hand Care Gloves Whitening Exfoliating Hydrating Hand Care,Hand & Foot Care
172,$2.99,$5.99,https://www.jollychic.com/p/foot-scrub-exfoliating-whitening-massage-salt-foot-care-g640284.html,Foot Scrub Exfoliating Whitening Massage Salt Foot Care,Hand & Foot Care
2290,$5.99,,https://www.jollychic.com/p/spa-gel-gloves-essential-oil-soften-exfoliating-moisturizing-reusable-hand-care-g663186.html,Spa Gel Gloves Essential Oil Soften Exfoliating Moisturizing Reusable Hand Care,Hand & Foot Care
4150,$6.99,,https://www.jollychic.com/p/12pcs-toenail-manicure-set-portable-grinding-nail-cutting-tools-g668288.html,12Pcs Toenail Manicure Set Portable Grinding Nail Cutting Tools,Hand & Foot Care
1922,$5.99,,https://www.jollychic.com/p/one-pair-spa-socks-essence-oil-nourishing-reuseable-soften-foot-care-g691870.html,One Pair Spa Socks Essence Oil Nourishing Reuseable Soften Foot Care,Hand & Foot Care
1813,$0.99,$5.99,https://www.jollychic.com/p/doradosun-hand-cream-fruit-essence-deep-moisture-nourish-hand-care-g713552.html,DoraDoSun Hand Cream Fruit Essence Deep Moisture Nourish Hand Care,Hand & Foot Care
602,$2.99,$7.99,https://www.jollychic.com/p/10pcs-detox-foot-patches-pads-feet-slimming-cleansing-health-care-g713582.html,10Pcs Detox Foot Patches Pads Feet Slimming Cleansing Health Care,Hand & Foot Care
207,$7.99,$12.99,https://www.jollychic.com/p/one-pair-spa-gloves-essence-oil-reuseable-whitening-nourish-hand-care-g741348.html,One Pair Spa Gloves Essence Oil Reuseable Whitening Nourish Hand Care,Hand & Foot Care
400,$0.99,$5.99,https://www.jollychic.com/p/hand-cream-cherry-blossom-essence-1-pc-moisturizing-hand-care-g754826.html,Hand Cream Cherry Blossom Essence 1 Pc Moisturizing Hand Care,Hand & Foot Care
143,$1.99,$5.99,https://www.jollychic.com/p/hand-scrub-natural-ingredients-exfoliating-whitening-hand-care-g755360.html,Hand Scrub Natural Ingredients Exfoliating Whitening Hand Care,Hand & Foot Care
175,$3.99,$10.99,https://www.jollychic.com/p/7-pairsfoot-patches-5-pairs-anti-fatigue-detoxifying-adhesives-foot-care-g755696.html,7 PairsFoot Patches 5 Pairs Anti Fatigue Detoxifying Adhesives Foot Care,Hand & Foot Care
170,$3.99,$8.99,https://www.jollychic.com/p/hand-scrub-soothing-exfoliating-soften-hand-care-g771478.html,Hand Scrub Soothing Exfoliating Soften Hand Care,Hand & Foot Care
507,$8.99,,https://www.jollychic.com/p/foot-scrub-massage-soften-smooth-exfoliating-foot-care-g771528.html,Foot Scrub Massage Soften Smooth Exfoliating Foot Care,Hand & Foot Care
230,$3.99,$10.99,https://www.jollychic.com/p/hand-mask-almond-milk-essence-peel-off-smooth-hand-care-g771686.html,Hand Mask Almond Milk Essence Peel Off Smooth Hand Care,Hand & Foot Care
1158,$6.99,,https://www.jollychic.com/p/foot-file-stainless-steel-smooth-portable-exfoliating-foot-care-tool-g790736.html,Foot File Stainless Steel Smooth Portable Exfoliating Foot Care Tool,Hand & Foot Care
106,$10.99,,https://www.jollychic.com/p/foot-file-double-side-dead-skin-remove-exfoliating-smoothen-foot-care-g826624.html,Foot File Double Side Dead Skin Remove Exfoliating Smoothen Foot Care,Hand & Foot Care
383,$4.99,$7.99,https://www.jollychic.com/p/2pcs-hand-wax-shea-butter-peep-off-smooth-with-snail-essence-hand-cream-g854848.html,2Pcs Hand Wax Shea Butter Peep Off Smooth With Snail Essence Hand Cream,Hand & Foot Care
381,$9.99,$16.99,https://www.jollychic.com/p/2pcs-foot-care-set-foot-mask-salt-exfoliating-moisture-repair-value-set-g865312.html,2Pcs Foot Care Set Foot Mask Salt Exfoliating Moisture Repair Value Set,Hand & Foot Care
262,$20.99,,https://www.jollychic.com/p/6pcs-foot-care-set-milk-honey-foot-wax-mask-exfoliating-gel-value-set-g867852.html,6Pcs Foot Care Set Milk Honey Foot Wax Mask Exfoliating Gel Value Set,Hand & Foot Care
380,$2.99,$5.99,https://www.jollychic.com/p/one-pair-foot-mask-renewal-exfoliating-remove-dead-skin-whitening-foot-care-g898110.html,One Pair Foot Mask Renewal Exfoliating Remove Dead Skin Whitening Foot Care,Hand & Foot Care
158,$5.99,$11.99,https://www.jollychic.com/p/5pcs-foot-files-set-stainless-steel-exfoliating-smoothen-set-g931688.html,5Pcs Foot Files Set Stainless Steel Exfoliating Smoothen Set,Hand & Foot Care
141,$13.99,,https://www.jollychic.com/p/liberta-baby-foot-2pcs-foot-masks-small-size-smooth-soften-foot-care-g944724.html,Liberta Baby Foot 2Pcs Foot Masks Small Size Smooth Soften Foot Care,Hand & Foot Care
678,$6.99,$7.99,https://www.jollychic.com/p/nivea-hand-cream-deep-nourish-soften-refresh-sheer-hand-cream-g948788.html,Nivea Hand Cream Deep Nourish Soften Refresh Sheer Hand Cream,Hand & Foot Care
255,$14.99,$28.99,https://www.jollychic.com/p/liberta-baby-foot-exfoliating-mask-foot-tender-remove-dead-skin-g949774.html,Liberta Baby Foot Exfoliating Mask Foot Tender Remove Dead Skin,Hand & Foot Care
193,$2.99,$10.99,https://www.jollychic.com/p/baimiss-foot-mask-wax-milk-silky-exfoliating-whitening-foot-care-g954664.html,Baimiss Foot Mask Wax Milk Silky Exfoliating Whitening Foot Care,Hand & Foot Care
49,$1.99,$5.99,https://www.jollychic.com/p/5-pairs-toe-rings-silicone-foot-massage-magnetic-weight-loss-health-care-g958732.html,5 Pairs Toe Rings Silicone Foot Massage Magnetic Weight Loss Health Care,Hand & Foot Care
111,$6.99,,https://www.jollychic.com/p/miss-rose-liquid-soap-original-scent-deep-cleaning-gentle-hand-sanitizer-g959134.html,MISS ROSE Liquid Soap Original Scent Deep Cleaning Gentle Hand Sanitizer,Hand & Foot Care
511,$5.99,,https://www.jollychic.com/p/2-pairs-exfoliating-foot-masks-for-pedicure-peeling-renewal-foot-care-g978202.html,2 Pairs Exfoliating Foot Masks For Pedicure Peeling Renewal Foot Care,Hand & Foot Care
2709,$8.99,,https://www.jollychic.com/p/one-pair-spa-gel-socks-moisturizing-silicone-repairing-cracked-skin-foot-care-g1065252.html,One Pair SPA Gel Socks Moisturizing Silicone Repairing Cracked Skin Foot Care,Hand & Foot Care
1996,$6.99,,https://www.jollychic.com/p/12pcs-foot-file-set-dead-skin-callus-remover-pedicure-rasp-tools-g1070608.html,12Pcs Foot File Set Dead Skin Callus Remover Pedicure Rasp Tools,Hand & Foot Care
109,$5.99,,https://www.jollychic.com/p/foot-care-little-toe-isolation-pad-moisturizing-adjust-spacing-comfy-foot-care-g1075638.html,Foot Care Little Toe Isolation Pad Moisturizing Adjust Spacing Comfy Foot Care,Hand & Foot Care
148,$1.99,$5.99,https://www.jollychic.com/p/aivoye-one-pair-foot-mask-nourishing-whitening-moisturizing-foot-care-g1095112.html,AIVOYE One Pair Foot Mask Nourishing Whitening Moisturizing Foot Care,Hand & Foot Care
1222,$5.99,,https://www.jollychic.com/p/anti-friction-heel-gel-pad-orthopedic-shoes-for-women-foot-care-insoles-tool-g1121312.html,Anti-friction Heel Gel Pad Orthopedic Shoes For Women Foot Care Insoles Tool,Hand & Foot Care
755,$2.99,$9.99,https://www.jollychic.com/p/5pcs-hand-cream-deep-nourish-moisture-refreshing-fruit-smell-hand-care-g1127724.html,5Pcs Hand Cream Deep Nourish Moisture Refreshing Fruit Smell Hand Care,Hand & Foot Care
878,$5.99,,https://www.jollychic.com/p/5pcs-hand-cream-set-moisturizing-tightening-whitening-hand-care-g1182854.html,5Pcs Hand Cream Set Moisturizing Tightening Whitening Hand Care,Hand & Foot Care
113,$6.99,,https://www.jollychic.com/p/dr-rashel-hand-cream-fragrance-nourishing-whitening-moisturizing-refreshing-hand-care-g1190018.html,DR.RASHEL Hand Cream Fragrance Nourishing Whitening Moisturizing Refreshing Hand Care,Hand & Foot Care
176,$3.99,$7.99,https://www.jollychic.com/p/one-pair-bunion-corrector-and-bunion-relief-kit-for-hallux-valgus-foots-tools-g1232936.html,One Pair Bunion Corrector and Bunion Relief Kit For Hallux Valgus Foots Tools,Hand & Foot Care
223,$5.99,,https://www.jollychic.com/p/5pcs-hand-cream-set-natural-plant-anti-wrinkle-moisturizing-smooth-hand-care-g1253630.html,5Pcs Hand Cream Set Natural Plant Anti Wrinkle Moisturizing Smooth Hand Care,Hand & Foot Care
65,$2.99,$7.99,https://www.jollychic.com/p/aloe-vera-hand-cream-one-piece-natural-extract-moisture-smooth-hand-care-g1262392.html,Aloe Vera Hand Cream One Piece Natural Extract Moisture Smooth Hand Care,Hand & Foot Care
124,$15.99,$23.99,https://www.jollychic.com/p/15pcs-hand-cream-set-multiple-scent-deep-nourish-smooth-hand-care-value-set-g1266394.html,15Pcs Hand Cream Set Multiple Scent Deep Nourish Smooth Hand Care Value Set,Hand & Foot Care
