add_wish,discount_price,original_price,product_link,product_name,header_block
242,$0.99,$2.99,https://www.jollychic.com/p/sixplus-rose-7-pairs-elegant-touch-nail-art-stickers-g230149.html,Sixplus Rose 7 Pairs Elegant Touch Nail Art Stickers,Makeup
342,$0.99,$2.99,https://www.jollychic.com/p/sixplus-creative-design-bubble-charming-mistress-nail-art-stickers-g230699.html,Sixplus Creative Design Bubble Charming Mistress Nail Art Stickers,Makeup
98,$1.99,$3.99,https://www.jollychic.com/p/sixplus-100pcs-10-different-sizes-beauty-nail-tips-g233729.html,Sixplus 100Pcs 10 Different Sizes Beauty Nail Tips,Makeup
1685,$18.99,$44.99,https://www.jollychic.com/p/sixplus-luxurious-gold-sexy-leopard-convenient-makeup-kit-159colors-g292600.html,Sixplus Luxurious Gold Sexy Leopard Convenient Makeup Kit 159Colors,Makeup
1136,$3.99,$19.99,https://www.jollychic.com/p/sixplus-10pcs-delicate-bamboo-handle-cosmetic-brush-set-with-fluffy-hair-g294810.html,Sixplus 10Pcs Delicate Bamboo Handle Cosmetic Brush Set With Fluffy Hair,Makeup
16966,$3.99,$14.99,https://www.jollychic.com/p/sixplus-fantastic-flawless-cosmetic-brush-sets-g305288.html,Sixplus Fantastic Flawless Cosmetic Brush Sets,Makeup
3092,$21.99,$56.00,https://www.jollychic.com/p/msq-15-pcs-elegant-rose-gold-professional-cosmetic-brushes-set-g317024.html,MSQ 15 Pcs Elegant Rose Gold Professional Cosmetic Brushes Set,Makeup
487,$11.99,$24.99,https://www.jollychic.com/p/msq-6pcs-flawless-soft-hair-chic-constellation-cosmetic-brushes-set-g317536.html,MSQ 6Pcs Flawless Soft Hair Chic Constellation Cosmetic Brushes Set,Makeup
861,$12.99,,https://www.jollychic.com/p/66-counts-durable-moisture-lip-gloss-plate-g319406.html,66 Counts Durable Moisture Lip Gloss Plate,Makeup
1206,$2.99,$4.99,https://www.jollychic.com/p/bob-mineral-moisturizing-durable-bb-cream-foundation-g320732.html,BOB Mineral Moisturizing Durable BB Cream Foundation,Makeup
928,$18.99,,https://www.jollychic.com/p/12pcs-beige-makeup-brush-beauty-tool-kit-g330128.html,12PCS Beige Makeup Brush Beauty Tool Kit,Makeup
1701,$5.99,,https://www.jollychic.com/p/feibeauty-glamourous-translucent-gold-foil-color-lipstick-g331356.html,Feibeauty Glamourous Translucent Gold Foil Color Lipstick,Makeup
1579,$5.99,$10.99,https://www.jollychic.com/p/bb-cream-natural-mineral-whitening-moisture-concealer-makeup-g337726.html,BB Cream Natural Mineral Whitening Moisture Concealer Makeup,Makeup
534,$5.99,$33.99,https://www.jollychic.com/p/perfect-smooth-durable-46-color-makeup-kits-g360310.html,Perfect Smooth Durable 46 Color Makeup Kits,Makeup
869,$4.99,,https://www.jollychic.com/p/moisturizing-bold-vivid-durable-lipstick-g378884.html,Moisturizing Bold & Vivid Durable Lipstick,Makeup
551,$0.99,$3.99,https://www.jollychic.com/p/nail-polish-water-based-peel-off-durable-nail-lacquer-g385836.html,Nail Polish Water Based Peel Off Durable Nail Lacquer,Makeup
1124,$1.99,$4.99,https://www.jollychic.com/p/makeup-remover-pencil-smooth-gentle-fantastic-cleansing-pencil-g393106.html,Makeup Remover Pencil Smooth Gentle Fantastic Cleansing Pencil,Makeup
