add_wish,discount_price,original_price,product_link,product_name,header_block
108,$1.99,$5.99,http://www.jollychic.com/p/12pcs-nail-art-decoration-shiny-sequins-charm-water-droplets-nail-art-design-g917166.html,12Pcs Nail Art Decoration Shiny Sequins Charm Water Droplets Nail Art Design,Nails
149,$0.99,$5.99,http://www.jollychic.com/p/nail-decoration-palette-colorful-delicate-sequined-rhinestones-nail-art-design-g1079506.html,Nail Decoration Palette Colorful Delicate Sequined Rhinestones Nail Art Design,Nails
2923,$4.99,$7.99,http://www.jollychic.com/p/2pcs-manicure-stamp-translucent-print-board-diy-nail-tools-g743988.html,2Pcs Manicure Stamp Translucent Print Board DIY Nail Tools,Nails
26109,$5.99,,http://www.jollychic.com/p/1-pc-nail-polishing-removal-pen-finger-edge-manicure-pen-g578368.html,1 Pc Nail Polishing Removal Pen Finger Edge Manicure Pen,Nails
4372,$4.99,,http://www.jollychic.com/p/silk-nail-wrap-sticker-broken-nail-repair-nail-polish-gel-extension-tape-g551606.html,Silk Nail Wrap Sticker Broken Nail Repair Nail Polish Gel Extension Tape,Nails
169,$17.99,,http://www.jollychic.com/p/13pcs-nail-care-tools-professioanl-household-manicure-tools-g1097106.html,13Pcs Nail Care Tools Professioanl Household Manicure Tools,Nails
3591,$12.99,$15.99,http://www.jollychic.com/p/360pcs-artificial-nails-solid-smooth-all-match-diy-nail-art-sticker-value-set-g644202.html,360Pcs Artificial Nails Solid Smooth All Match DIY Nail Art Sticker Value Set,Nails
8220,$6.99,$10.99,http://www.jollychic.com/p/200pcs-polish-removing-swipes-deep-clean-repairing-nail-care-tools-g640296.html,200Pcs Polish Removing Swipes Deep Clean Repairing Nail Care Tools,Nails
42,$5.99,,http://www.jollychic.com/p/display-platform-nails-patterns-transparent-square-works-showcase-g915910.html,Display Platform Nails Patterns Transparent Square Works Showcase,Nails
4193,$5.99,,http://www.jollychic.com/p/nail-art-powder-shiny-radiant-colorful-magic-nail-art-design-g705386.html,Nail Art Powder Shiny Radiant Colorful Magic Nail Art Design,Nails
1947,$4.99,$8.99,http://www.jollychic.com/p/12pcs-nail-care-tool-set-manicure-stainless-steel-poetable-set-g783364.html,12Pcs Nail Care Tool Set Manicure Stainless Steel Poetable Set,Nails
1859,$6.99,$10.99,http://www.jollychic.com/p/led-uv-nail-dryer-portable-quick-dry-usb-charged-for-uv-gel-g795268.html,LED UV Nail Dryer Portable Quick Dry USB Charged For UV Gel,Nails
536,$12.99,$18.99,http://www.jollychic.com/p/led-nail-lamp-smooth-nail-gel-polishes-usb-charged-portable-nail-dryer-g691500.html,LED Nail Lamp Smooth Nail Gel Polishes USB Charged Portable Nail Dryer,Nails
348,$6.99,,http://www.jollychic.com/p/3pcs-nail-art-design-set-rhinestone-decor-nail-art-pen-tweezer-value-set-g856018.html,3Pcs Nail Art Design Set Rhinestone Decor Nail Art Pen Tweezer Value Set,Nails
1188,$3.99,$6.99,http://www.jollychic.com/p/24pcs-artificial-nails-flower-pattern-rhinestone-decorative-nail-art-sticker-g697562.html,24Pcs Artificial Nails Flower Pattern Rhinestone Decorative Nail Art Sticker,Nails
543,$2.99,$4.99,http://www.jollychic.com/p/msq-pink-smooth-clean-aluminum-nail-drawing-pen-g317040.html,MSQ Pink Smooth Clean Aluminum Nail Drawing Pen,Nails
1779,$4.99,,http://www.jollychic.com/p/sponge-nail-polishing-tool-nail-file-manicure-tools-4-pcs-g512654.html,Sponge Nail Polishing Tool Nail File Manicure Tools 4 Pcs,Nails
1931,$5.99,,http://www.jollychic.com/p/carved-3d-stereo-nail-stickers-manicure-stickers-6-pcs-g512776.html,Carved 3D Stereo Nail Stickers Manicure Stickers 6 Pcs,Nails
106,$6.99,,http://www.jollychic.com/p/artificial-toenails-24pcs-black-and-white-geometric-rivet-studded-fake-toenails-g553524.html,Artificial Toenails 24Pcs Black And White Geometric Rivet Studded Fake Toenails,Nails
985,$3.99,$6.99,http://www.jollychic.com/p/24-pcs-box-fake-nails-exquisite-bling-pearl-manicure-patch-g585514.html,24 Pcs/Box Fake Nails Exquisite Bling Pearl Manicure Patch,Nails
234,$2.99,$5.99,http://www.jollychic.com/p/nail-scissors-stainless-quick-sharp-convenient-safe-nail-art-tools-g612480.html,Nail Scissors Stainless Quick Sharp Convenient Safe Nail Art Tools,Nails
107,$2.99,$5.99,http://www.jollychic.com/p/24pcs-artificial-nails-stars-pattern-multiple-color-all-match-nail-art-sticker-g647128.html,24Pcs Artificial Nails Stars Pattern Multiple Color All Match Nail Art Sticker,Nails
278,$1.99,$6.99,http://www.jollychic.com/p/24pcs-artificial-nails-black-and-white-plaid-rhinestone-studded-nail-art-sticker-g647420.html,24Pcs Artificial Nails Black And White Plaid Rhinestone Studded Nail Art Sticker,Nails
485,$8.99,$12.99,http://www.jollychic.com/p/24pcs-artificial-nails-cat-eye-radiance-shiny-smooth-nail-art-sticker-g654282.html,24Pcs Artificial Nails Cat Eye Radiance Shiny Smooth Nail Art Sticker,Nails
696,$5.99,,http://www.jollychic.com/p/24pcs-artificial-nails-geometric-fashion-design-daily-all-match-nail-art-sticker-g655116.html,24Pcs Artificial Nails Geometric Fashion Design Daily All Match Nail Art Sticker,Nails
652,$2.99,$5.99,http://www.jollychic.com/p/24pcs-artificial-nails-square-grey-plaid-elegant-smooth-nail-art-sticker-g655984.html,24Pcs Artificial Nails Square Grey Plaid Elegant Smooth Nail Art Sticker,Nails
71,$8.99,,http://www.jollychic.com/p/5pcs-nail-brush-holder-mini-portable-convenient-pen-holder-g668284.html,5Pcs Nail Brush Holder Mini Portable Convenient Pen Holder,Nails
88,$3.99,$6.99,http://www.jollychic.com/p/10pcs-nail-file-set-frosted-black-and-red-portable-smooth-manicure-tools-g679560.html,10Pcs Nail File Set Frosted Black And Red Portable Smooth Manicure Tools,Nails
1261,$5.99,,http://www.jollychic.com/p/24pcs-artificial-nails-solid-color-smooth-shiny-nail-art-sticker-g691504.html,24Pcs Artificial Nails Solid Color Smooth Shiny Nail Art Sticker,Nails
321,$1.99,$5.99,http://www.jollychic.com/p/2pcs-nail-decoration-glitter-silver-muliple-size-gorgeous-nail-art-design-g704656.html,2Pcs Nail Decoration Glitter Silver Muliple Size Gorgeous Nail Art Design,Nails
85,$2.99,$5.99,http://www.jollychic.com/p/10pcs-nail-file-double-size-moon-shape-black-nail-smooth-tools-g704708.html,10Pcs Nail File Double Size Moon Shape Black Nail Smooth Tools,Nails
84,$7.99,,http://www.jollychic.com/p/2pcs-nail-art-seal-double-head-useful-professional-with-scraper-g706532.html,2Pcs Nail Art Seal Double Head Useful Professional With Scraper,Nails
663,$5.99,,http://www.jollychic.com/p/2-items-nail-art-seal-flower-pattern-delicate-with-pink-scraper-g706646.html,2 Items Nail Art Seal Flower Pattern Delicate With Pink Scraper,Nails
625,$5.99,$9.99,http://www.jollychic.com/p/nail-grinding-instrument-pink-electric-nail-smooth-manicure-tool-g748986.html,Nail Grinding Instrument Pink Electric Nail Smooth Manicure Tool,Nails
417,$1.99,$5.99,http://www.jollychic.com/p/nail-glitter-sparkling-tinfoil-paper-nail-design-tool-g773386.html,Nail Glitter Sparkling Tinfoil Paper Nail Design Tool,Nails
213,$3.99,$7.99,http://www.jollychic.com/p/nail-art-table-mat-professional-silicone-practicing-table-mat-g774948.html,Nail Art Table Mat Professional Silicone Practicing Table Mat,Nails
207,$5.99,,http://www.jollychic.com/p/7pcs-nail-painting-brush-set-professional-multi-functional-nail-design-tools-g795336.html,7Pcs Nail Painting Brush Set Professional Multi Functional Nail Design Tools,Nails
