add_wish,discount_price,original_price,product_link,product_name,header_block
22799,$2.99,,http://www.jollychic.com/p/exfoliating-scrub-tender-moist-protective-feet-patches-g351102.html,Exfoliating Scrub Tender Moist Protective Feet Patches,Personal Care
10441,$5.99,$9.99,http://www.jollychic.com/p/hand-cream-set-4pcs-exfoliating-moisturizing-whitening-fruit-scent-skin-care-g456278.html,Hand Cream Set 4Pcs Exfoliating Moisturizing Whitening Fruit Scent Skin Care,Personal Care
6996,$5.99,,http://www.jollychic.com/p/hair-wax-beans-natural-ingredient-soluble-quick-hair-removal-g992140.html,Hair Wax Beans Natural Ingredient Soluble Quick Hair Removal,Personal Care
437,$9.99,,http://www.jollychic.com/p/dr-rashel-garlic-collagen-hair-nutrition-mask-smooth-moisturizing-conditioner-g513768.html,DR.RASHEL Garlic Collagen Hair Nutrition Mask Smooth Moisturizing Conditioner,Personal Care
6252,$2.99,$5.99,http://www.jollychic.com/p/adjustable-skipping-rope-3m-steel-wire-high-speed-skipping-jump-rope-g550632.html,Adjustable Skipping Rope 3M Steel Wire High Speed Skipping Jump Rope,Personal Care
13792,$2.99,,http://www.jollychic.com/p/tender-moisturizing-brightening-exfoliator-hand-care-mask-g351212.html,Tender Moisturizing Brightening Exfoliator Hand Care Mask,Personal Care
2143,$3.99,$7.99,http://www.jollychic.com/p/whitening-exfoliating-honey-milk-hands-wax-g369914.html,Whitening Exfoliating Honey & Milk Hands Wax,Personal Care
1126,$3.99,$6.99,http://www.jollychic.com/p/nail-repairing-serum-for-damaged-nails-biotechnology-gentle-smoothing-essence-g1023392.html,Nail Repairing Serum For Damaged Nails Biotechnology Gentle Smoothing Essence,Personal Care
353,$8.99,,http://www.jollychic.com/p/teeth-whitening-powder-organic-activated-charcoal-smoke-coffee-stains-removal-g1228596.html,Teeth Whitening Powder Organic Activated Charcoal Smoke Coffee Stains Removal,Personal Care
12374,$4.99,$6.99,http://www.jollychic.com/p/shea-body-scrub-cream-exfoliating-remove-dead-skin-g374134.html,Shea Body Scrub Cream Exfoliating Remove Dead skin,Personal Care
374,$1.99,$7.99,http://www.jollychic.com/p/1-pair-silicone-toe-corrector-toe-spreaders-silicone-gel-pads-for-men-and-women-g928206.html,1 Pair Silicone Toe Corrector Toe Spreaders Silicone Gel Pads For Men and Women,Personal Care
130,$2.99,$8.99,http://www.jollychic.com/p/2-pairs-toe-correctors-breathable-toe-spreaders-comfortable-forefoot-protect-health-care-tools-g859710.html,2 Pairs Toe Correctors Breathable Toe Spreaders Comfortable Forefoot Protect Health Care Tools,Personal Care
2399,$4.99,$7.99,http://www.jollychic.com/p/massage-cream-stretch-marks-remove-tightening-smooth-cream-g1032682.html,Massage Cream Stretch Marks Remove Tightening Smooth Cream,Personal Care
152,$26.99,$41.99,http://www.jollychic.com/p/hair-curler-ceramic-3in1-multi-function-replacable-hair-brush-hairstyling-tool-g847380.html,Hair Curler Ceramic 3in1 Multi Function Replacable Hair Brush Hairstyling Tool,Personal Care
1145,$6.99,,http://www.jollychic.com/p/12pcs-foot-file-set-dead-skin-callus-remover-pedicure-rasp-tools-g1070608.html,12Pcs Foot File Set Dead Skin Callus Remover Pedicure Rasp Tools,Personal Care
