add_wish,discount_price,original_price,product_link,product_name,header_block
3693,$3.99,$4.99,https://www.jollychic.com/p/lameila-touching-up-removing-200-count-cosmetic-cotton-g277639.html,Lameila Touching Up Removing 200 Count Cosmetic Cotton,Remover
157,$12.99,,https://www.jollychic.com/p/doradosun-organic-ingredients-professional-deep-clean-makeup-remover-g298770.html,DoraDoSun Organic Ingredients Professional Deep Clean Makeup Remover,Remover
305,$5.99,$13.99,https://www.jollychic.com/p/useful-60pcs-magic-soft-makeup-remover-wet-wipes-g328630.html,Useful 60Pcs Magic Soft Makeup Remover Wet Wipes,Remover
230,$4.99,$11.99,https://www.jollychic.com/p/fey-beauty-deep-clean-gentle-effective-makeup-remover-gel-g331344.html,Fey Beauty Deep Clean Gentle Effective Makeup Remover Gel,Remover
2762,$9.99,$26.99,https://www.jollychic.com/p/deep-cleansing-gentle-makeup-removing-towel-30pcs-g369362.html,Deep Cleansing Gentle Makeup Removing Towel 30Pcs,Remover
1124,$1.99,$4.99,https://www.jollychic.com/p/makeup-remover-pencil-smooth-gentle-fantastic-cleansing-pencil-g393106.html,Makeup Remover Pencil Smooth Gentle Fantastic Cleansing Pencil,Remover
95,$21.99,,https://www.jollychic.com/p/beauty-artisan-eye-lip-makeup-remover-mild-cleansing-water-g418208.html,Beauty Artisan Eye Lip Makeup Remover Mild Cleansing Water,Remover
139,$13.99,,https://www.jollychic.com/p/makeup-remover-fresh-deep-cleansing-gentle-moist-cream-g427432.html,Makeup Remover Fresh Deep Cleansing Gentle Moist Cream,Remover
166,$10.99,$15.99,https://www.jollychic.com/p/eyelash-remover-gel-gentle-no-stimulation-perfect-glue-remover-g429186.html,Eyelash Remover Gel Gentle No Stimulation Perfect Glue Remover,Remover
63,$5.99,,https://www.jollychic.com/p/dr-rashel-25-pcs-makeup-remover-wipe-gentle-eye-lip-face-remover-wipes-g460584.html,DR.RASHEL 25 Pcs Makeup Remover Wipe Gentle Eye Lip Face Remover Wipes,Remover
76,$5.99,,https://www.jollychic.com/p/dr-rashel-25-pcs-makeup-wipe-gentle-honey-milk-moisturizing-remover-wipes-g460800.html,DR.RASHEL 25 Pcs Makeup Wipe Gentle Honey Milk Moisturizing Remover Wipes,Remover
66,$5.99,,https://www.jollychic.com/p/dr-rashel-25-pcs-collagen-makeup-wipe-gentle-moisturizing-cleansing-wipes-g460884.html,DR.RASHEL 25 Pcs Collagen Makeup Wipe Gentle Moisturizing Cleansing Wipes,Remover
114,$5.99,,https://www.jollychic.com/p/makeup-remover-face-eye-lip-cleansing-wipes-100-pcs-package-g482896.html,Makeup Remover Face Eye Lip Cleansing Wipes 100 Pcs/Package,Remover
367,$2.99,$5.99,https://www.jollychic.com/p/makeup-remover-face-gentle-deep-cleansing-makeup-cleansing-water-g489500.html,Makeup Remover Face Gentle Deep Cleansing Makeup Cleansing Water,Remover
1114,$12.99,,https://www.jollychic.com/p/co-e-makeup-remover-olive-natural-deep-cleansing-for-eyes-and-lips-g504374.html,CO.E Makeup Remover Olive Natural Deep Cleansing For Eyes And Lips,Remover
72,$2.99,$4.99,https://www.jollychic.com/p/dr-rashel-makeup-remover-wipes-olive-collagen-moist-gentle-deep-cleansing-25-count-g513976.html,DR.RASHEL Makeup Remover Wipes Olive Collagen Moist Gentle Deep Cleansing 25 Count,Remover
275,$4.99,,https://www.jollychic.com/p/makeup-remover-wipes-cucumber-collagen-organic-gentle-portable-cleansing-25-count-g514002.html,Makeup Remover Wipes Cucumber Collagen Organic Gentle Portable Cleansing 25 Count,Remover
100,$7.99,,https://www.jollychic.com/p/makeup-remover-pore-cleansing-moist-nourishing-deep-cleansing-g518384.html,Makeup Remover Pore Cleansing Moist Nourishing Deep Cleansing,Remover
551,$4.99,,https://www.jollychic.com/p/makeup-remover-wipes-100-count-green-tea-moist-gentle-deep-cleansing-g518444.html,Makeup Remover Wipes 100 Count Green Tea Moist Gentle Deep Cleansing,Remover
129,$7.99,$12.99,https://www.jollychic.com/p/makeup-remover-moisturizing-eyes-lip-makeup-cleansing-liquid-g523236.html,Makeup Remover Moisturizing Eyes Lip Makeup Cleansing Liquid,Remover
424,$7.99,$12.99,https://www.jollychic.com/p/makeup-remover-deep-ceansing-facial-eye-lip-makeup-cleansing-lotion-g531196.html,Makeup Remover Deep Ceansing Facial Eye Lip Makeup Cleansing Lotion,Remover
