add_wish,discount_price,original_price,product_link,product_name,header_block
259,$178.00,$198.00,http://www.jollychic.com/p/xiaomi-redmi-note-4x-cell-phone-octa-core-5-0-touch-screen-smartphone-chinese-standard-plug--g707212.html,"Xiaomi Redmi Note 4X Cell Phone Octa Core 5.0"" Touch Screen Smartphone (Chinese Standard Plug)",Cell Phones
40,$170.00,,http://www.jollychic.com/p/uhans-note-4-cell-phone-5-5-2g-3g-4g-network-3gb-ram-32gb-rom-phone-g1040696.html,UHANS Note 4 Cell Phone 5.5'' 2G/3G/4G Network 3GB RAM 32GB ROM Phone,Cell Phones
219,$250.00,,http://www.jollychic.com/p/uhans-u300-cell-phone-fingerprint-unlock-5-5-inch-octa-core-4g-3g-2g-smartphone-ram-4gb-rom-32gb-g535596.html,UHANS U300 Cell Phone Fingerprint Unlock 5.5 Inch Octa Core 4G/3G/2G Smartphone-RAM 4GB+ROM 32GB,Cell Phones
2158,$60.00,$60.00,http://www.jollychic.com/p/cagabi-one-android-6-0-dual-sim-5-0-inch-3g-network-1gb-ram-8gb-rom-cell-phone-g686752.html,Cagabi One Android 6.0 Dual SIM 5.0 Inch 3G Network 1GB RAM 8GB ROM Cell Phone,Cell Phones
206,$49.99,$78.00,http://www.jollychic.com/p/vkworld-stone-v3-2g-network-2-4-inch-triple-sim-card-64mb-64mb-cell-phone-g781158.html,VKWORLD Stone V3 2G Network 2.4 Inch Triple SIM Card 64MB+64MB Cell Phone,Cell Phones
413,$62.00,$66.00,http://www.jollychic.com/p/doogee-x10-cell-phone-5-0-inch-2g-3g-network-dual-core-512m-ram-8g-rom-android-6-0-cell-phone-g997500.html,DOOGEE X10 Cell Phone 5.0 Inch 2G/3G Network Dual Core 512M RAM 8G ROM Android 6.0 Cell Phone,Cell Phones
712,$150.00,,http://www.jollychic.com/p/uhans-s3-cell-phone-6-0-inch-2g-3g-network-quad-core-1gb-ram-16gb-rom-android-6-0-cell-phone-g828716.html,UHANS S3 Cell Phone 6.0 Inch 2G/3G Network Quad Core 1GB RAM 16GB ROM Android 6.0 Cell Phone,Cell Phones
946,$100.00,$109.00,http://www.jollychic.com/p/bluboo-maya-cell-phone-quad-core-5-5-inch-ultra-slim-3g-photograph-smartphone-ram-2gb-rom-16gb-g588686.html,BLUBOO MAYA Cell Phone Quad Core 5.5 Inch Ultra-Slim 3G Photograph Smartphone-RAM 2GB+ROM 16GB,Cell Phones
395,$200.00,,http://www.jollychic.com/p/thl-knight-1-cell-phone-octa-core-bluetooth-4g-5-5-touch-screen-smartphone-ram-3gb-rom-32gb-g741694.html,"THL Knight 1 Cell Phone Octa-Core Bluetooth 4G 5.5"" Touch Screen Smartphone-RAM 3GB+ROM 32GB",Cell Phones
527,$114.00,$120.00,http://www.jollychic.com/p/uhans-a101s-cell-phone-5-inch-quad-core-android-network-3g-2g-smartphone-ram-2gb-rom-16gb-g535492.html,UHANS A101s Cell Phone 5 Inch Quad Core Android Network 3G/2G Smartphone-RAM 2GB+ROM 16GB,Cell Phones
67,$140.00,$180.00,http://www.jollychic.com/p/tablet-pc-10-inch-2g-3g-network-quad-core-dual-sim-universal-tablet-pc-eu-plug-g853238.html,Tablet PC 10 Inch 2G/3G Network Quad Core Dual SIM Universal Tablet PC EU Plug,Cell Phones
807,$77.00,$114.00,http://www.jollychic.com/p/uhans-a101-cell-phone-5-inch-touch-screen-quad-core-network-4g-3g-2g-smartphone-ram-1gb-rom-8gb-g535550.html,UHANS A101 Cell Phone 5 Inch Touch Screen Quad Core Network 4G/3G/2G Smartphone-RAM 1GB+ROM 8GB,Cell Phones
60,$156.00,,http://www.jollychic.com/p/computer-host-mini-quad-core-bluetooth-computer-host-g512438.html,Computer Host Mini Quad Core Bluetooth Computer Host,Cell Phones
50,$129.00,$138.00,http://www.jollychic.com/p/geotel-note-cell-phone-5-5-inch-android-6-0-16gb-3gb-cell-phone-eu-plug-g982896.html,Geotel Note Cell phone 5.5 Inch Android 6.0 16GB+3GB Cell Phone EU Plug,Cell Phones
44,$59.00,,http://www.jollychic.com/p/long-cz-c3-mini-cell-phone-0-66-inch-oled-screen-2g-network-phone-g1058192.html,LONG-CZ C3 Mini Cell Phone 0.66 Inch OLED Screen 2G Network Phone,Cell Phones
642,$36.99,$45.99,http://www.jollychic.com/p/vkworld-cell-phone-network-2g-2-4-inch-multi-functional-waterproof-shockproof-cell-phone-g522940.html,VKWORLD Cell Phone Network 2G 2.4 Inch Multi-Functional Waterproof Shockproof Cell Phone,Cell Phones
89,$61.00,$66.00,http://www.jollychic.com/p/doogee-x10-2g-3g-network-android-6-0-5-0-inch-dual-core-512m-ram-8g-rom-cell-phone-au-plug-g997616.html,DOOGEE X10 2G/3G Network Android 6.0 5.0 Inch Dual Core 512M RAM 8G ROM Cell Phone AU Plug,Cell Phones
562,$42.99,$44.99,http://www.jollychic.com/p/vkworld-diamond-z2-cell-phone-2-4-inch-network-2g-voice-prompt-bluetooth-phone-ram-64mb-rom-64mb-g522970.html,VKWORLD Diamond Z2 Cell Phone 2.4 Inch Network 2G Voice Prompt Bluetooth Phone-RAM 64MB+ROM 64MB,Cell Phones
39,$151.00,$161.00,http://www.jollychic.com/p/doogee-y6-smartphone-5-5-inch-2g-3g-4g-networ-2-5d-screen-android-6-0-2gb-ram-16gb-rom-cellphone-g999268.html,Doogee Y6 Smartphone 5.5 Inch 2G/3G/4G Networ 2.5D Screen Android 6.0 2GB RAM 16GB ROM Cellphone,Cell Phones
71,$156.00,,http://www.jollychic.com/p/computer-host-mini-quad-core-bluetooth-computer-host-g512440.html,Computer Host Mini Quad Core Bluetooth Computer Host,Cell Phones
33,$59.00,,http://www.jollychic.com/p/long-cz-c3-phone-0-66-inch-2g-network-mini-portable-cell-phone-g1058116.html,LONG-CZ C3 Phone 0.66 Inch 2G Network Mini Portable Cell Phone,Cell Phones
1807,$72.00,$76.00,http://www.jollychic.com/p/thl-t6c-cell-phone-quad-core-5-0-inch-touch-screen-network-3g-2g-smartphone-ram-1gb-rom-8gb-g539238.html,THL T6C Cell Phone Quad Core 5.0 Inch Touch Screen Network 3G/2G Smartphone-RAM 1GB+ROM 8GB,Cell Phones
60,$90.00,$96.00,http://www.jollychic.com/p/computer-host-mini-portable-bluetooth-octa-core-android-system-computer-host-g503862.html,Computer Host Mini Portable Bluetooth Octa Core Android System Computer Host,Cell Phones
