add_wish,discount_price,original_price,product_link,product_name,header_block
7931,$21.99,$38.99,https://www.jollychic.com/p/anti-static-ceramic-hair-straightener-heating-detangling-hair-brush-E2-80-93-pink-eu-plug--g319418.html,Anti Static Ceramic Hair Straightener Heating Detangling Hair Brush – Pink (EU Plug),Health & Beauty
656,$33.99,$44.99,https://www.jollychic.com/p/white-ceramic-mini-automatic-hair-curling-iron-with-eu-us-uk-au-plug-g339674.html,White Ceramic Mini Automatic Hair Curling Iron With EU/US/UK/AU Plug,Health & Beauty
980,$25.99,$34.99,https://www.jollychic.com/p/2-in-1-mini-women-use-denuding-machine-exfoliating-machine-g340822.html,2 in 1 Mini Women Use Denuding Machine Exfoliating Machine,Health & Beauty
2248,$28.99,$53.00,https://www.jollychic.com/p/pink-lcd-fully-automatic-harmless-new-second-generation-spray-marcel-hair-curler-uk-plug-g346190.html,Pink LCD Fully Automatic Harmless New Second Generation Spray Marcel Hair Curler UK Plug,Health & Beauty
2556,$24.99,$53.00,https://www.jollychic.com/p/black-lcd-fully-automatic-harmless-new-second-generation-spray-marcel-hair-curler-eu-plug-g346240.html,Black LCD Fully Automatic Harmless New Second Generation Spray Marcel Hair Curler EU Plug,Health & Beauty
1127,$45.99,$88.00,https://www.jollychic.com/p/white-professional-steam-hair-straightener-comb-eu-plug-g357964.html,White Professional Steam Hair Straightener Comb EU Plug,Health & Beauty
1848,$5.99,$14.99,https://www.jollychic.com/p/mini-hair-straightener-candy-color-double-functions-g388516.html,Mini Hair Straightener Candy Color Double Functions,Health & Beauty
2455,$7.99,$14.99,https://www.jollychic.com/p/4d-health-care-thin-face-detector-slimming-facial-massager-g403960.html,4D Health Care Thin Face Detector Slimming Facial Massager,Health & Beauty
184,$32.99,$46.99,https://www.jollychic.com/p/hair-dryer-high-power-professional-hair-dryer-uk-plug-g404024.html,Hair Dryer High Power Professional Hair Dryer UK Plug,Health & Beauty
2670,$22.99,,https://www.jollychic.com/p/uk-plug-professional-high-power-adjustable-hair-dryer-g404122.html,UK Plug Professional High Power Adjustable Hair Dryer,Health & Beauty
454,$5.99,$15.99,https://www.jollychic.com/p/windproof-mini-portable-e-cigarette-lighter-usb-charging-e-cigarette-lighter-g437566.html,Windproof Mini Portable E-cigarette Lighter USB Charging E-cigarette Lighter,Health & Beauty
67,$2.99,$9.99,https://www.jollychic.com/p/men-s-creative-metal-windproof-e-cigarette-lighter-creative-usb-charging-e-cigarette-lighter-g437660.html,Men's Creative Metal Windproof E-cigarette Lighter Creative USB Charging E-cigarette Lighter,Health & Beauty
2874,$7.99,$19.99,https://www.jollychic.com/p/hair-straightener-mini-candy-color-portable-hair-heating-g443436.html,Hair Straightener Mini Candy Color Portable Hair Heating,Health & Beauty
12161,$4.99,$7.99,https://www.jollychic.com/p/teeth-whitening-instrument-portable-whitelight-teeth-whitrning-device-g443450.html,Teeth Whitening Instrument Portable Whitelight Teeth Whitrning Device,Health & Beauty
88,$20.99,$33.99,https://www.jollychic.com/p/portable-smart-water-spray-usb-electric-water-spray-g447820.html,Portable Smart Water Spray USB Electric Water Spray,Health & Beauty
606,$43.99,$51.00,https://www.jollychic.com/p/electric-arc-copper-shell-heavy-armour-creative-lighter-g463602.html,Electric Arc Copper Shell Heavy Armour Creative Lighter,Health & Beauty
1278,$23.99,$44.99,https://www.jollychic.com/p/multifunctional-mountaineering-rescue-tool-windproof-lighter-g463610.html,Multifunctional Mountaineering Rescue Tool Windproof Lighter,Health & Beauty
3844,$25.99,$40.99,https://www.jollychic.com/p/cold-light-teeth-whitening-kit-home-tooth-whitening-equipment-g466078.html,Cold Light Teeth Whitening Kit Home Tooth Whitening Equipment,Health & Beauty
2367,$16.99,,https://www.jollychic.com/p/eye-massager-ultrasound-therapy-fomentation-homehold-spa-eye-beauty-massager-g511126.html,Eye Massager Ultrasound Therapy Fomentation Homehold Spa Eye Beauty Massager,Health & Beauty
490,$13.99,$19.99,https://www.jollychic.com/p/facial-hair-remover-multifunctional-portable-electric-face-cleasing-detector-g546178.html,Facial Hair Remover Multifunctional Portable Electric Face Cleasing Detector,Health & Beauty
1213,$19.99,$31.99,https://www.jollychic.com/p/nail-phototherapy-lamp-household-functional-led-uv-nail-polish-dryer-lamp-24w-g551836.html,Nail Phototherapy Lamp Household Functional LED UV Nail Polish Dryer Lamp 24W,Health & Beauty
3402,$6.99,,https://www.jollychic.com/p/portable-usb-charging-rechargeable-windproof-metal-flameless-cigarette-lighter-g587390.html,Portable USB Charging Rechargeable Windproof Metal Flameless Cigarette Lighter,Health & Beauty
543,$2.99,$3.99,https://www.jollychic.com/p/e-cigarette-lighter-portable-usb-charging-rechargeable-flameless-lighter-g587392.html,E-cigarette Lighter Portable USB Charging Rechargeable Flameless Lighter,Health & Beauty
5250,$30.99,$38.99,https://www.jollychic.com/p/facial-cleansing-device-ipx5-waterproof-gentle-hygienic-high-efficiency-facial-cleansing-device-13-5-2A10-2A4-5cm-g594510.html,Facial Cleansing Device IPX5 Waterproof Gentle Hygienic High Efficiency Facial Cleansing Device-13.5*10*4.5cm,Health & Beauty
454,$32.99,$35.99,https://www.jollychic.com/p/blood-pressure-monitor-precise-lcd-display-wrist-type-digital-blood-pressure-meter-77-5-2A68-2A30mm-g603828.html,Blood Pressure Monitor Precise LCD Display Wrist Type Digital Blood Pressure Meter-77.5*68*30mm,Health & Beauty
988,$4.99,,https://www.jollychic.com/p/universal-portable-ear-cleaning-electronic-spiral-design-earpick-g625536.html,Universal Portable Ear Cleaning Electronic Spiral Design Earpick,Health & Beauty
1183,$25.99,$35.99,https://www.jollychic.com/p/7-in-1-multi-functional-electric-hairdryer-set-styler-hair-curler-straightener-g636846.html,7 In 1 Multi-functional Electric Hairdryer Set Styler Hair Curler Straightener,Health & Beauty
310,$17.99,,https://www.jollychic.com/p/digital-lcd-wrist-blood-pressure-monitor-heart-rate-monitor-g653582.html,Digital LCD Wrist Blood Pressure Monitor Heart Rate Monitor,Health & Beauty
1084,$9.99,,https://www.jollychic.com/p/hair-dryer-household-fast-air-blow-drying-hair-dryer-with-hot-cod-wind-eu-plug-g679720.html,Hair Dryer Household Fast Air Blow Drying Hair Dryer With Hot/Cod Wind -EU Plug,Health & Beauty
1112,$16.99,,https://www.jollychic.com/p/electronic-lighter-fashion-usb-rechargeable-windproof-environmental-friendly-electronic-lighter-g704500.html,Electronic Lighter Fashion USB Rechargeable Windproof Environmental-Friendly Electronic Lighter,Health & Beauty
496,$17.99,$24.99,https://www.jollychic.com/p/hair-straightener-comb-household-ceramic-electric-plywood-hair-straight-tools-g717780.html,Hair Straightener Comb Household Ceramic Electric Plywood Hair Straight Tools,Health & Beauty
898,$13.99,$18.99,https://www.jollychic.com/p/e-cigaratte-lighter-led-alloy-hand-spinner-usb-charging-electric-lighter-g804324.html,E-Cigaratte Lighter LED Alloy Hand Spinner USB Charging Electric Lighter,Health & Beauty
118,$8.99,$11.99,https://www.jollychic.com/p/electric-hair-remover-household-portable-washable-lady-shaver-epilator-g825062.html,Electric Hair Remover Household Portable Washable Lady Shaver Epilator,Health & Beauty
618,$520.00,,https://www.jollychic.com/p/lint-remover-portable-efficient-three-heads-universal-beauty-tool-hair-remover-g853242.html,Lint Remover Portable Efficient Three Heads Universal Beauty Tool Hair Remover,Health & Beauty
553,$12.99,,https://www.jollychic.com/p/kitchen-scale-household-weight-tool-5kg-electronic-digital-scale-food-scale-g861634.html,Kitchen Scale Household Weight Tool 5KG Electronic Digital Scale Food Scale,Health & Beauty
