add_wish,discount_price,original_price,product_link,product_name,header_block
2584,$5.99,,https://www.jollychic.com/p/26-letters-wooden-fridge-magnets-g174619.html,26 Letters Wooden Fridge Magnets,Paper/Note
376,$11.99,$22.99,https://www.jollychic.com/p/cute-cartoon-pattern-gum-cover-notebook-g320322.html,Cute Cartoon Pattern Gum Cover Notebook,Paper/Note
2169,$1.99,$3.99,https://www.jollychic.com/p/2-pcs-cat-print-cute-notebooks-g320964.html,2 Pcs Cat Print Cute Notebooks,Paper/Note
11478,$9.99,,https://www.jollychic.com/p/top-grade-cloth-cover-lace-up-business-notebook-g321086.html,Top Grade Cloth Cover Lace Up Business Notebook,Paper/Note
1650,$11.99,$19.99,https://www.jollychic.com/p/mori-girl-flower-print-pattern-hard-cover-notebook-g321118.html,Mori Girl Flower Print Pattern Hard Cover Notebook,Paper/Note
5500,$0.99,$2.99,https://www.jollychic.com/p/2-pcs-gold-plated-creative-exquisite-bookmarks-g324274.html,2 Pcs Gold Plated Creative Exquisite Bookmarks,Paper/Note
2265,$2.99,,https://www.jollychic.com/p/10-pcs-kraft-paper-square-shaped-retro-envelopes-g327438.html,10 Pcs Kraft Paper Square Shaped Retro Envelopes,Paper/Note
27755,$2.99,,https://www.jollychic.com/p/simple-diy-style-kraft-paper-card-100pcs-box-g329610.html,Simple DIY Style kraft Paper Card 100Pcs/Box,Paper/Note
4568,$1.99,$4.99,https://www.jollychic.com/p/10-pcs-diy-colorful-fluoresence-decoration-tape-g330084.html,10 Pcs DIY Colorful Fluoresence Decoration Tape,Paper/Note
5978,$3.99,,https://www.jollychic.com/p/5-pcs-lovely-retro-trinkets-small-greeting-card-contain-envelope-g333756.html,5 Pcs Lovely Retro Trinkets Small Greeting Card Contain Envelope,Paper/Note
1417,$0.99,$3.99,https://www.jollychic.com/p/5-pcs-a6-20-sheets-softcover-notebooks-g341528.html,5 Pcs A6 20 Sheets Softcover Notebooks,Paper/Note
1273,$0.99,$1.99,https://www.jollychic.com/p/4-pcs-20-sheets-portable-convenient-notebooks-g341730.html,4 Pcs 20 Sheets Portable Convenient Notebooks,Paper/Note
3127,$1.99,$5.99,https://www.jollychic.com/p/4-pcs-creative-exquisite-bookmarks-g342280.html,4 Pcs Creative Exquisite Bookmarks,Paper/Note
4658,$1.99,$4.99,https://www.jollychic.com/p/4-pcs-34-sheets-print-cute-notebooks-for-kids-g346422.html,4 Pcs 34 Sheets Print Cute Notebooks For Kids,Paper/Note
4769,$0.99,$2.99,https://www.jollychic.com/p/4-pcs-creative-exquisite-bookmarks-g350888.html,4 Pcs Creative Exquisite Bookmarks,Paper/Note
