add_wish,discount_price,original_price,product_link,product_name,header_block
185,$5.99,$11.99,http://www.jollychic.com/p/boy-s-schoolbag-cartoon-monkey-pattern-cute-animal-backpack-g699684.html,Boy's Schoolbag Cartoon Monkey Pattern Cute Animal Backpack,kids bags
8891,$22.99,$34.99,http://www.jollychic.com/p/girl-s-schoolbag-4-pcs-cloud-pattern-canvas-kids-bag-g913708.html,Girl's Schoolbag 4 Pcs Cloud Pattern Canvas Kids Bag,kids bags
674,$28.99,$44.99,http://www.jollychic.com/p/girl-s-backpack-3-pcs-dots-purse-pencil-case-kids-bag-g946514.html,Girl's Backpack 3 Pcs Dots Purse Pencil Case Kids Bag,kids bags
332,$15.99,$23.99,http://www.jollychic.com/p/3-pcs-girl-s-bags-set-polka-dot-sweet-backpack-purse-students-school-bags-set-g1146928.html,3 Pcs Girl's Bags Set Polka Dot Sweet Backpack Purse Students School Bags Set,kids bags
2781,$20.99,$31.99,http://www.jollychic.com/p/girl-s-backpack-dots-canvas-3-pcs-kids-schoolbag-g988992.html,Girl's Backpack Dots Canvas 3 Pcs Kids Schoolbag,kids bags
1554,$5.99,$10.99,http://www.jollychic.com/p/girl-s-crossbody-bag-flower-pattern-crown-star-girls-crossbody-bag-g687436.html,Girl's Crossbody Bag Flower Pattern Crown Star Girls Crossbody Bag,kids bags
8274,$5.99,$7.99,http://www.jollychic.com/p/kid-s-backpack-lovely-animals-pattern-cartoon-decoration-kid-s-school-bag-g511970.html,Kid's Backpack Lovely Animals Pattern Cartoon Decoration Kid's School Bag,kids bags
11206,$23.99,$34.99,http://www.jollychic.com/p/4-pcs-girl-s-schoolbag-set-cat-pattern-backpack-shoulder-bag-set-g907400.html,4 Pcs Girl's Schoolbag Set Cat Pattern Backpack Shoulder Bag Set,kids bags
428,$11.99,$18.99,http://www.jollychic.com/p/kid-s-backpack-cartoon-hippo-pattern-waterproof-hard-shell-toddler-bag-g975414.html,Kid's Backpack Cartoon Hippo Pattern Waterproof Hard Shell Toddler Bag,kids bags
321,$17.99,$27.99,http://www.jollychic.com/p/girl-s-mini-crossbody-bag-flower-decoration-chain-bag-g840050.html,Girl's Mini Crossbody Bag Flower Decoration Chain Bag,kids bags
