add_wish,discount_price,original_price,product_link,product_name,header_block
3999,$15.99,,https://www.jollychic.com/p/men-s-versatile-backpack-solid-color-patch-casual-zip-backpack-g387296.html,Men's Versatile Backpack Solid Color Patch Casual Zip Backpack,Backpacks
401,$19.99,,https://www.jollychic.com/p/fashion-casual-bag-functional-solid-color-zip-durable-men-s-backpack-g387316.html,Fashion Casual Bag Functional Solid Color Zip Durable Men's Backpack,Backpacks
9017,$11.99,$15.99,https://www.jollychic.com/p/solid-schoolbag-casual-ventilate-travel-preppy-zipper-men-s-backpack-g387508.html,Solid Schoolbag Casual Ventilate Travel Preppy Zipper Men's Backpack,Backpacks
190,$21.99,,https://www.jollychic.com/p/brief-preppy-design-schoolbag-breathable-solid-personality-zipper-men-s-backpack-g387632.html,Brief Preppy Design Schoolbag Breathable Solid Personality Zipper Men's Backpack,Backpacks
480,$13.99,$19.99,https://www.jollychic.com/p/fashion-casual-solid-color-zipper-brief-design-ventilate-men-s-backpack-g387822.html,Fashion Casual Solid Color Zipper Brief Design Ventilate Men's Backpack,Backpacks
158,$12.99,$20.99,https://www.jollychic.com/p/men-s-backpack-vintage-preppy-solid-fashion-design-breathable-schoolbag-g447598.html,Men's Backpack Vintage Preppy Solid Fashion Design Breathable Schoolbag,Backpacks
316,$12.99,$19.99,https://www.jollychic.com/p/men-s-backpack-color-block-large-capacity-travel-outdoor-functional-bag-g473064.html,Men's Backpack Color Block Large Capacity Travel Outdoor Functional Bag,Backpacks
256,$6.99,$19.99,https://www.jollychic.com/p/men-s-backpack-multilayer-color-block-fashion-cozy-comfort-functional-bag-g473068.html,Men's Backpack Multilayer Color Block Fashion Cozy Comfort Functional Bag,Backpacks
443,$11.99,$19.99,https://www.jollychic.com/p/men-s-backpack-solid-color-zipper-large-capacity-casual-comforty-canvas-bag-g522204.html,Men's Backpack Solid Color Zipper Large Capacity Casual Comforty Canvas Bag,Backpacks
1345,$21.99,$28.99,https://www.jollychic.com/p/men-s-backpack-canvas-large-capacity-casual-fashion-design-bag-g558318.html,Men's Backpack Canvas Large Capacity Casual Fashion Design Bag,Backpacks
277,$17.99,$24.99,https://www.jollychic.com/p/men-s-backpack-solid-color-casual-travel-simple-style-bag-g561314.html,Men's Backpack Solid Color Casual Travel Simple Style Bag,Backpacks
2453,$25.99,$34.99,https://www.jollychic.com/p/men-s-backpack-3pcs-casual-color-block-travel-stylish-bag-g566758.html,Men's Backpack 3Pcs Casual Color Block Travel Stylish Bag,Backpacks
151,$13.99,$40.99,https://www.jollychic.com/p/men-s-backpack-pu-casual-solid-color-large-capacity-school-bag-g596460.html,Men's Backpack PU Casual Solid Color Large Capacity School Bag,Backpacks
814,$14.99,$21.99,https://www.jollychic.com/p/men-s-backpack-handsome-solid-color-all-match-pu-preppy-schoolbag-g598844.html,Men's Backpack Handsome Solid Color All Match PU Preppy Schoolbag,Backpacks
984,$18.99,$29.99,https://www.jollychic.com/p/men-s-backpack-canvas-brief-style-large-capacity-preppy-schoolbag-g602724.html,Men's Backpack Canvas Brief Style Large Capacity Preppy Schoolbag,Backpacks
236,$17.99,$29.99,https://www.jollychic.com/p/men-s-backpack-pu-vintage-casual-all-match-durable-schoolbag-g603104.html,Men's Backpack PU Vintage Casual All Match Durable Schoolbag,Backpacks
10393,$10.99,$20.99,https://www.jollychic.com/p/men-s-backpack-solid-color-pu-large-capacity-casual-bag-g652452.html,Men's Backpack Solid Color PU Large Capacity Casual Bag,Backpacks
941,$29.99,,https://www.jollychic.com/p/men-s-backpack-4pcs-canvas-cute-pattern-casual-durable-schoolbag-g674032.html,Men's Backpack 4Pcs Canvas Cute Pattern Casual Durable Schoolbag,Backpacks
32,$6.99,$21.99,https://www.jollychic.com/p/men-s-backpack-canvas-brief-large-capacity-preppy-backpack-g690086.html,Men's Backpack Canvas Brief Large Capacity Preppy Backpack,Backpacks
154,$14.99,$22.99,https://www.jollychic.com/p/men-s-schoolbag-zipper-vintage-all-match-preppy-backpack-g701306.html,Men's Schoolbag Zipper Vintage All Match Preppy Backpack,Backpacks
113,$8.99,$26.99,https://www.jollychic.com/p/men-s-backpack-personality-beach-travel-cartoon-pattern-schoolbag-g704036.html,Men's Backpack Personality Beach Travel Cartoon Pattern Schoolbag,Backpacks
569,$19.99,$26.99,https://www.jollychic.com/p/men-s-backpack-personality-green-cute-pattern-fabric-schoolbag-g704096.html,Men's Backpack Personality Green Cute Pattern Fabric Schoolbag,Backpacks
150,$13.99,$21.99,https://www.jollychic.com/p/men-s-backpack-stylish-brief-style-canvas-ventilate-schoolbag-g705160.html,Men's Backpack Stylish Brief Style Canvas Ventilate Schoolbag,Backpacks
525,$18.99,,https://www.jollychic.com/p/men-s-backpack-lightweight-large-capacity-durable-school-bag-g779752.html,Men's Backpack Lightweight Large Capacity Durable School Bag,Backpacks
72,$9.99,$21.99,https://www.jollychic.com/p/men-s-backpack-solid-color-all-match-large-capacity-durable-bag-g820086.html,Men's Backpack Solid Color All Match Large Capacity Durable Bag,Backpacks
143,$18.99,$38.99,https://www.jollychic.com/p/men-s-backpack-large-capacity-breathable-zipper-preppy-schoolbag-g833348.html,Men's Backpack Large Capacity Breathable Zipper Preppy Schoolbag,Backpacks
403,$53.00,,https://www.jollychic.com/p/men-s-backpack-outdoor-travel-camouflage-functional-schoolbag-g850304.html,Men's Backpack Outdoor Travel Camouflage Functional Schoolbag,Backpacks
109,$46.99,$76.00,https://www.jollychic.com/p/men-s-backpack-large-capacity-durable-waterproof-back-bag-g862924.html,Men's Backpack Large Capacity Durable Waterproof Back Bag,Backpacks
