add_wish,discount_price,original_price,product_link,product_name,header_block
1,$10.99,,http://www.jollychic.com/p/men-s-wallet-card-bag-simple-design-solid-color-durable-purse-g1278334.html,Men's Wallet Card Bag Simple Design Solid Color Durable Purse,Bags
605,$23.99,,http://www.jollychic.com/p/men-s-backpack-brief-print-color-block-large-capacity-multifunctional-bag-g1183736.html,Men's Backpack Brief Print Color Block Large Capacity Multifunctional Bag,Bags
12,$67.00,,http://www.jollychic.com/p/men-s-travel-bag-backpack-large-capacity-outdoor-durable-back-bag-g981500.html,Men's Travel Bag Backpack Large Capacity Outdoor Durable Back Bag,Bags
340,$13.99,$20.99,http://www.jollychic.com/p/men-s-schoolbag-zipper-letter-pattern-stylish-preppy-backpack-g1103904.html,Men's Schoolbag Zipper Letter Pattern Stylish Preppy Backpack,Bags
513,$20.99,$26.99,http://www.jollychic.com/p/men-s-backpack-zipper-design-breathable-tiger-pattern-schoolbag-g704076.html,Men's Backpack Zipper Design Breathable Tiger Pattern Schoolbag,Bags
567,$22.99,$28.99,http://www.jollychic.com/p/men-s-backpack-canvas-large-capacity-casual-fashion-design-bag-g558318.html,Men's Backpack Canvas Large Capacity Casual Fashion Design Bag,Bags
642,$23.99,,http://www.jollychic.com/p/men-s-backpack-casual-outdoor-personality-letter-pattern-school-bag-g1191992.html,Men's Backpack Casual Outdoor Personality Letter Pattern School Bag,Bags
309,$17.99,$27.99,http://www.jollychic.com/p/men-s-travel-bag-badge-design-all-match-fashionable-travel-bag-g711238.html,Men's Travel Bag Badge Design All Match Fashionable Travel Bag,Bags
289,$17.99,$29.99,http://www.jollychic.com/p/men-s-travel-bag-brief-large-capacity-multifunctional-outdoor-travel-bag-g828520.html,Men's Travel Bag Brief Large Capacity Multifunctional Outdoor Travel Bag,Bags
175,$15.99,$23.99,http://www.jollychic.com/p/men-s-backpack-large-capacity-solid-color-comforty-schoolbag-g598846.html,Men's Backpack Large Capacity Solid Color Comforty Schoolbag,Bags
7,$15.99,$23.99,http://www.jollychic.com/p/men-s-backpack-patchwork-color-personality-ventilate-school-bag-g1228746.html,Men's Backpack Patchwork Color Personality Ventilate School Bag,Bags
8734,$12.99,$20.99,http://www.jollychic.com/p/men-s-backpack-solid-color-pu-large-capacity-casual-bag-g652452.html,Men's Backpack Solid Color PU Large Capacity Casual Bag,Bags
101,$2.99,$7.99,http://www.jollychic.com/p/men-s-card-bag-pu-solid-color-portable-card-purse-g1027144.html,Men's Card Bag PU Solid Color Portable Card Purse,Bags
89,$17.99,$26.99,http://www.jollychic.com/p/men-s-crossbody-bag-casual-pu-solid-color-waterproof-chest-bag-g462858.html,Men's Crossbody Bag Casual PU Solid Color Waterproof Chest Bag,Bags
21,$17.99,$27.99,http://www.jollychic.com/p/men-s-backpack-large-capacity-preppy-zipper-bag-g1005944.html,Men's Backpack Large Capacity Preppy Zipper Bag,Bags
