add_wish,discount_price,original_price,product_link,product_name,header_block
742,$20.99,$28.99,http://www.jollychic.com/p/women-s-kaftan-dress-solid-ruffle-sleeve-ethnic-dress-g799748.html,Women's Kaftan Dress Solid Ruffle Sleeve Ethnic Dress,Arabian Clothing
690,$30.99,$40.99,http://www.jollychic.com/p/women-s-kaftan-dress-v-neck-self-sash-solid-kaftan-dress-g1020438.html,Women's Kaftan Dress V Neck Self Sash Solid Kaftan Dress,Arabian Clothing
998,$31.99,$49.99,http://www.jollychic.com/p/women-s-abaya-color-block-lace-patchwork-top-fashion-maxi-long-dress-g928098.html,Women's Abaya Color Block Lace Patchwork Top Fashion Maxi Long Dress,Arabian Clothing
55,$26.99,$44.99,http://www.jollychic.com/p/women-s-kaftan-dress-flare-sleeve-patchwork-fashion-kaftan-dress-g857618.html,Women's Kaftan Dress Flare Sleeve Patchwork Fashion Kaftan Dress,Arabian Clothing
330,$23.99,$42.99,http://www.jollychic.com/p/women-s-kaftan-dress-o-neck-long-sleeve-solid-color-maxi-long-lace-dress-g809036.html,Women's Kaftan Dress O Neck Long Sleeve Solid Color Maxi Long Lace Dress,Arabian Clothing
1762,$34.99,$55.00,http://www.jollychic.com/p/women-s-kaftan-dress-long-sleeve-high-waist-solid-kaftan-dress-g805212.html,Women's Kaftan Dress Long Sleeve High Waist Solid Kaftan Dress,Arabian Clothing
1854,$40.99,$48.99,http://www.jollychic.com/p/women-s-abaya-long-sleeve-colorblock-lace-patched-loose-maxi-long-abaya-g626414.html,Women's Abaya Long Sleeve Colorblock Lace Patched Loose Maxi Long Abaya,Arabian Clothing
1559,$19.99,$32.99,http://www.jollychic.com/p/women-s-kaftan-dress-long-sleeve-number-pattern-casual-maxi-long-dress-g625762.html,Women's Kaftan Dress Long Sleeve Number Pattern Casual Maxi Long Dress,Arabian Clothing
21,$23.99,$36.99,http://www.jollychic.com/p/women-s-kaftan-dress-embroidery-all-match-kaftan-dress-g1240856.html,Women's Kaftan Dress Embroidery All Match Kaftan Dress,Arabian Clothing
97,$27.99,$42.99,http://www.jollychic.com/p/women-s-arabian-clothing-long-sleeve-lace-patchwork-plus-size-kaftan-dress-g1064848.html,Women's Arabian Clothing Long Sleeve Lace Patchwork Plus Size Kaftan Dress,Arabian Clothing
1642,$30.99,$39.99,http://www.jollychic.com/p/women-s-kaftan-dress-floral-pattern-black-kaftan-dress-g740802.html,Women's Kaftan Dress Floral Pattern Black Kaftan Dress,Arabian Clothing
39,$17.99,$26.99,http://www.jollychic.com/p/women-s-kaftan-dress-long-sleeve-solid-color-maxi-long-slim-dress-g852120.html,Women's Kaftan Dress Long Sleeve Solid Color Maxi Long Slim Dress,Arabian Clothing
