add_wish,discount_price,original_price,product_link,product_name,header_block
1379,$9.99,$15.99,http://www.jollychic.com/p/women-s-backpack-simple-zipper-pocket-women-s-bag-g731776.html,Women's Backpack Simple Zipper Pocket Women's Bag,Backpacks
16553,$10.99,$12.99,http://www.jollychic.com/p/3-pcs-women-s-backpack-set-stylish-dotted-back-bag-set-g733478.html,3 Pcs Women's Backpack Set Stylish Dotted Back Bag Set,Backpacks
572,$11.99,$18.99,http://www.jollychic.com/p/women-s-backpack-preppy-style-solid-color-large-capacity-all-match-casual-bag-g1210386.html,Women's Backpack Preppy Style Solid Color Large Capacity All Match Casual Bag,Backpacks
443,$6.99,$11.99,http://www.jollychic.com/p/women-s-backpack-fresh-style-all-matched-fashionable-casual-mini-bag-g1193248.html,Women's Backpack Fresh Style All Matched Fashionable Casual Mini Bag,Backpacks
4,$28.99,,http://www.jollychic.com/p/women-s-backpack-all-match-solid-color-chic-preppy-backpack-g1229122.html,Women's Backpack All Match Solid Color Chic Preppy Backpack,Backpacks
1154,$6.99,$10.99,http://www.jollychic.com/p/women-s-backpack-all-match-preppy-style-casual-versatile-canvas-back-bag-g793618.html,Women's Backpack All Match Preppy Style Casual Versatile Canvas Back Bag,Backpacks
34,$14.99,$22.99,http://www.jollychic.com/p/women-s-backpack-solid-color-stylish-camouflages-back-bag-g910822.html,Women's Backpack Solid Color Stylish Camouflages Back Bag,Backpacks
295,$9.99,$15.99,http://www.jollychic.com/p/women-s-backpack-canvas-patchwork-trendy-durable-school-bag-g1218150.html,Women's Backpack Canvas Patchwork Trendy Durable School Bag,Backpacks
5396,$13.99,$18.99,http://www.jollychic.com/p/women-s-backpack-trendy-striped-large-capacity-casual-bag-g598310.html,Women's Backpack Trendy Striped Large Capacity Casual Bag,Backpacks
200,$5.99,$10.99,http://www.jollychic.com/p/women-s-backpack-solid-color-leisure-style-zipper-all-match-bag-g1027972.html,Women's Backpack Solid Color Leisure Style Zipper All Match Bag,Backpacks
5125,$3.99,$10.99,http://www.jollychic.com/p/women-s-school-bag-lovely-cartoon-facial-expression-backpack-g537732.html,Women's School Bag Lovely Cartoon Facial Expression Backpack,Backpacks
226,$9.99,$15.99,http://www.jollychic.com/p/women-s-backpack-tassels-rivet-decoration-preppy-chic-bag-g1129478.html,Women's Backpack Tassels Rivet Decoration Preppy Chic Bag,Backpacks
630,$17.99,$28.99,http://www.jollychic.com/p/women-s-backpack-sweet-cartoon-print-pink-letter-passel-fresh-style-bag-g1056768.html,Women's Backpack Sweet Cartoon Print Pink Letter Passel Fresh Style Bag,Backpacks
1403,$12.99,$21.99,http://www.jollychic.com/p/women-s-backpack-sequin-preppy-style-fashion-bag-g1057928.html,Women's Backpack Sequin Preppy Style Fashion Bag,Backpacks
3986,$8.99,$13.99,http://www.jollychic.com/p/women-s-backpack-solid-color-pu-leather-simple-style-versatile-back-bag-g635312.html,Women's Backpack Solid Color PU Leather Simple Style Versatile Back Bag,Backpacks
1667,$15.99,$23.99,http://www.jollychic.com/p/women-s-backpack-solid-color-fashion-design-flap-school-bag-g959206.html,Women's Backpack Solid Color Fashion Design Flap School Bag,Backpacks
5040,$5.99,$9.99,http://www.jollychic.com/p/women-s-school-bag-cute-smile-face-versatile-campus-style-backpack-g541794.html,Women's School Bag Cute Smile Face Versatile Campus Style Backpack,Backpacks
2212,$15.99,$22.99,http://www.jollychic.com/p/women-s-backpacks-colorblock-outdoors-zipper-all-match-shiny-travel-bag-g671784.html,Women's Backpacks Colorblock Outdoors Zipper All Match Shiny Travel Bag,Backpacks
6224,$7.99,$10.99,http://www.jollychic.com/p/women-s-backpacks-sweety-lovely-style-all-match-letter-canvas-backpacks-g824634.html,Women's Backpacks Sweety Lovely Style All Match Letter Canvas Backpacks,Backpacks
