add_wish,discount_price,original_price,product_link,product_name,header_block
1843,$8.99,$35.99,https://www.jollychic.com/p/versatile-solid-color-elegant-3-pieces-handbag-for-women-g153005.html,Versatile Solid Color Elegant 3 Pieces Handbag For Women,Bags Set
3774,$19.99,$55.00,https://www.jollychic.com/p/simple-style-versatile-solid-women-s-fashion-handbag-g153579.html,Simple Style Versatile Solid Women's Fashion Handbag,Bags Set
6293,$12.99,$35.99,https://www.jollychic.com/p/chic-flower-versatile-crossbody-round-3-pieces-handbag-set-g174523.html,Chic Flower Versatile Crossbody Round 3 Pieces Handbag Set,Bags Set
4227,$21.99,$48.99,https://www.jollychic.com/p/retro-classic-print-6-pieces-handbag-set-for-women-g274581.html,Retro Classic Print 6 Pieces Handbag Set For Women,Bags Set
7771,$19.99,$46.99,https://www.jollychic.com/p/5-pcs-bicolor-all-match-sterling-women-s-handbag-set-g291488.html,5 Pcs Bicolor All Match Sterling Women's Handbag Set,Bags Set
5956,$19.99,$52.00,https://www.jollychic.com/p/burnished-simple-design-3-pieces-handbag-set-g295134.html,Burnished Simple Design 3 Pieces Handbag Set,Bags Set
1954,$19.99,$26.99,https://www.jollychic.com/p/2-pcs-women-s-handbag-set-personalized-solid-sterling-stylish-colored-strap-bag-g416672.html,2 Pcs Women's Handbag Set Personalized Solid Sterling Stylish Colored Strap Bag,Bags Set
2158,$3.99,$21.99,https://www.jollychic.com/p/2-pcs-women-s-handbag-set-wooden-bead-tassel-hasp-double-sided-color-block-bag-g433008.html,2 Pcs Women's Handbag Set Wooden Bead Tassel Hasp Double Sided Color Block Bag,Bags Set
4620,$5.99,$20.99,https://www.jollychic.com/p/2-pcs-women-s-handbag-set-faddish-sterling-solid-mature-elegant-bags-set-g484042.html,2 Pcs Women's Handbag Set Faddish Sterling Solid Mature Elegant Bags Set,Bags Set
1324,$34.99,,https://www.jollychic.com/p/3-pcs-women-s-backpack-set-casual-faddish-glossy-graceful-bearing-bags-set-g513526.html,3 Pcs Women's Backpack Set Casual Faddish Glossy Graceful Bearing Bags Set,Bags Set
701,$12.99,$39.99,https://www.jollychic.com/p/6-pcs-women-s-shoulder-bag-set-personalized-feminine-charm-bags-set-g513622.html,6 Pcs Women's Shoulder Bag Set Personalized Feminine Charm Bags Set,Bags Set
