add_wish,discount_price,original_price,product_link,product_name,header_block
2704,$5.99,$8.99,http://www.jollychic.com/p/women-s-crossbody-bag-solid-color-stylish-hasp-bag-g733492.html,Women's Crossbody Bag Solid Color Stylish Hasp Bag,Crossbody Bags
11432,$13.99,$21.99,http://www.jollychic.com/p/fashion-solid-color-tassels-braided-strap-crossbody-bag-g207111.html,Fashion Solid Color Tassels Braided Strap Crossbody Bag,Crossbody Bags
5485,$4.99,$6.99,http://www.jollychic.com/p/women-s-crossbody-bag-tassel-drawstring-solid-handle-bag-g731792.html,Women's Crossbody Bag Tassel Drawstring Solid Handle Bag,Crossbody Bags
5725,$8.99,$15.99,http://www.jollychic.com/p/women-s-crossbody-bag-exquisite-solid-color-hasp-charming-bag-g582580.html,Women's Crossbody Bag Exquisite Solid Color Hasp Charming Bag,Crossbody Bags
8212,$5.99,$7.99,http://www.jollychic.com/p/women-s-crossbody-bag-solid-color-mini-stylish-bag-g713538.html,Women's Crossbody Bag Solid Color Mini Stylish Bag,Crossbody Bags
538,$4.99,$7.99,http://www.jollychic.com/p/women-s-crossbody-bag-fashion-colorblock-personality-all-match-chain-bag-g793614.html,Women's Crossbody Bag Fashion Colorblock Personality All Match Chain Bag,Crossbody Bags
3,$38.99,,http://www.jollychic.com/p/women-s-crossbody-bag-fashionable-color-block-all-matched-hasp-chain-bag-g1287848.html,Women's Crossbody Bag Fashionable Color Block All Matched Hasp Chain Bag,Crossbody Bags
15,$11.99,$17.99,http://www.jollychic.com/p/women-s-crossbody-bag-chic-color-block-graffiti-pattern-all-match-casual-bag-g1032030.html,Women's Crossbody Bag Chic Color Block Graffiti Pattern All Match Casual Bag,Crossbody Bags
2371,$5.99,,http://www.jollychic.com/p/women-s-crossbody-bag-flower-printed-mini-bag-g733500.html,Women's Crossbody Bag Flower Printed Mini Bag,Crossbody Bags
1710,$6.99,$8.99,http://www.jollychic.com/p/women-s-crossbody-bag-brief-style-solid-shell-shaped-bag-g610880.html,Women's Crossbody Bag Brief Style Solid Shell Shaped Bag,Crossbody Bags
718,$4.99,,http://www.jollychic.com/p/women-s-crossbody-bag-retro-solid-slot-pocket-small-mirror-bag-g712956.html,Women's Crossbody Bag Retro Solid Slot Pocket Small Mirror Bag,Crossbody Bags
175,$15.99,$29.99,http://www.jollychic.com/p/women-s-crossbody-bag-embroidered-flowers-chic-women-s-bag-g1147724.html,Women's Crossbody Bag Embroidered Flowers Chic Women's Bag,Crossbody Bags
47,$5.99,$11.99,http://www.jollychic.com/p/women-s-crossbody-bag-coconut-tree-pattern-lady-chic-simple-all-match-daily-bag-g1105940.html,Women's Crossbody Bag Coconut Tree Pattern Lady Chic Simple All Match Daily Bag,Crossbody Bags
