add_wish,discount_price,original_price,product_link,product_name,header_block
16,$5.99,,http://www.jollychic.com/p/women-s-hoops-simple-style-all-matched-vintage-elegant-tassel-accessory-g1234524.html,Women's Hoops Simple Style All Matched Vintage Elegant Tassel Accessory,Earrings
31,$8.99,,http://www.jollychic.com/p/women-s-earrings-long-tassels-pendant-elegant-trendy-earrings-g946852.html,Women's Earrings Long Tassels Pendant Elegant Trendy Earrings,Earrings
71,$5.99,,http://www.jollychic.com/p/kuniu-women-s-earrings-pearl-design-all-match-charming-earring-accessory-g946444.html,KUNIU Women's Earrings Pearl Design All Match Charming Earring Accessory,Earrings
6545,$5.99,,http://www.jollychic.com/p/6pcs-women-s-earrings-vintage-lady-chic-mini-elephant-style-delicacy-accessory-g671602.html,6Pcs Women's Earrings Vintage Lady Chic Mini Elephant Style Delicacy Accessory,Earrings
32,$7.99,,http://www.jollychic.com/p/women-s-drop-earrings-alloy-feather-decorative-unique-elegant-accessory-g793016.html,Women's Drop Earrings Alloy Feather Decorative Unique Elegant Accessory,Earrings
9,$8.99,,http://www.jollychic.com/p/natural-shell-material-rose-gold-clover-stud-stainless-steel-earring-party-accessory-g1271796.html,Natural Shell Material Rose Gold Clover Stud Stainless Steel Earring Party Accessory,Earrings
2,$5.99,$7.99,http://www.jollychic.com/p/women-s-fashion-stud-stylish-roman-numerals-decor-round-shaped-studs-g1248316.html,Women's Fashion Stud Stylish Roman Numerals Decor Round Shaped Studs,Earrings
87,$11.99,$17.99,http://www.jollychic.com/p/women-s-hoops-all-match-925-silver-olive-branch-shape-elegant-fashion-chic-earrings-accessory-g1212706.html,Women's Hoops All Match 925 Silver Olive Branch Shape Elegant Fashion Chic Earrings Accessory,Earrings
76,$5.99,,http://www.jollychic.com/p/kuniu-women-s-ear-studs-zircon-stones-decor-exquisite-earrings-accessory-g1027674.html,KUNIU Women's Ear Studs Zircon Stones Decor Exquisite Earrings Accessory,Earrings
391,$5.99,,http://www.jollychic.com/p/women-s-earrings-elegant-colorful-flower-petal-crystal-shining-accessory-g506042.html,Women's Earrings Elegant Colorful Flower Petal Crystal Shining Accessory,Earrings
16,$5.99,,http://www.jollychic.com/p/women-s-earrings-geometry-pendant-tassel-decorative-faddish-accessory-g1227458.html,Women's Earrings Geometry Pendant Tassel Decorative Faddish Accessory,Earrings
1510,$5.99,,http://www.jollychic.com/p/women-s-earrings-set-vintage-hollow-out-crystal-delicate-accessory-g664242.html,Women's Earrings Set Vintage Hollow Out Crystal Delicate Accessory,Earrings
1621,$5.99,,http://www.jollychic.com/p/women-s-earrings-trendy-all-match-rhinestone-embossed-accessory-g521442.html,Women's Earrings Trendy All Match Rhinestone Embossed Accessory,Earrings
1871,$10.99,$24.99,http://www.jollychic.com/p/6pcs-women-s-stud-earrings-rhinestone-decorative-all-match-exquisite-accessories-g781390.html,6Pcs Women's Stud Earrings Rhinestone Decorative All Match Exquisite Accessories,Earrings
