add_wish,discount_price,original_price,product_link,product_name,header_block
5905,$13.99,$20.99,http://www.jollychic.com/p/women-s-pumps-sexy-solid-pointed-toes-rivet-pendant-flat-buckle-shoes-g573372.html,Women's Pumps Sexy Solid Pointed Toes Rivet Pendant Flat Buckle Shoes,Flats
119,$10.99,$16.99,http://www.jollychic.com/p/women-s-flats-classy-low-cut-patchwork-faddish-all-match-shoes-g1056078.html,Women's Flats Classy Low Cut Patchwork Faddish All Match Shoes,Flats
554,$9.99,$15.99,http://www.jollychic.com/p/women-s-flat-pumps-all-match-breathable-solid-comfy-shoes-g1047512.html,Women's Flat Pumps All Match Breathable Solid Comfy Shoes,Flats
1411,$11.99,$20.99,http://www.jollychic.com/p/women-s-sneakers-simple-design-classic-platform-all-match-shoes-g581270.html,Women's Sneakers Simple Design Classic Platform All Match Shoes,Flats
245,$14.99,$22.99,http://www.jollychic.com/p/women-s-pointed-toes-pumps-sexy-rhinestones-elegance-flat-shoes-g1134040.html,Women's Pointed Toes Pumps Sexy Rhinestones Elegance Flat Shoes,Flats
144,$13.99,$22.99,http://www.jollychic.com/p/m-general-women-s-flats-striped-lace-up-mesh-vamp-shoes-g775206.html,M.GENERAL Women's Flats Striped Lace Up Mesh Vamp Shoes,Flats
120,$6.99,$10.99,http://www.jollychic.com/p/women-s-round-toe-pumps-all-match-comfy-stylish-breathable-solid-shoes-g1123290.html,Women's Round Toe Pumps All Match Comfy Stylish Breathable Solid Shoes,Flats
1755,$12.99,$19.99,http://www.jollychic.com/p/women-s-pumps-vintage-color-patchwork-flat-buckle-shoes-g573378.html,Women's Pumps Vintage Color Patchwork Flat Buckle Shoes,Flats
302,$4.99,$7.99,http://www.jollychic.com/p/women-s-fashion-flats-shallow-mouth-comfy-popular-casual-office-shoes-g1087846.html,Women's Fashion Flats Shallow Mouth Comfy Popular Casual Office Shoes,Flats
3069,$5.99,$11.99,http://www.jollychic.com/p/women-s-flats-pointed-toe-suede-thick-heel-casual-stylish-flats-g720202.html,Women's Flats Pointed Toe Suede Thick Heel Casual Stylish Flats,Flats
2188,$11.99,$20.99,http://www.jollychic.com/p/women-s-flats-denim-all-match-shoes-g703446.html,Women's Flats Denim All Match Shoes,Flats
616,$8.99,$13.99,http://www.jollychic.com/p/women-s-flats-sweet-solid-color-bow-knot-ornament-comfy-shoes-g982996.html,Women's Flats Sweet Solid Color Bow Knot Ornament Comfy Shoes,Flats
60,$9.99,$14.99,http://www.jollychic.com/p/women-s-glove-shoes-stylish-lacing-round-toe-patchwork-comfy-sweet-shoes-g1197412.html,Women's Glove Shoes Stylish Lacing Round Toe Patchwork Comfy Sweet Shoes,Flats
1930,$6.99,$10.99,http://www.jollychic.com/p/women-s-flats-office-style-solid-color-all-match-comfort-shoes-g677276.html,Women's Flats Office Style Solid Color All Match Comfort Shoes,Flats
989,$12.99,$18.99,http://www.jollychic.com/p/women-s-flats-all-match-stylish-simple-comfort-breathable-casual-shoes-g855362.html,Women's Flats All Match Stylish Simple Comfort Breathable Casual Shoes,Flats
2,$28.99,,http://www.jollychic.com/p/women-s-glove-shoes-fluffy-hair-square-imitation-jewel-decor-comfy-flat-shoes-g1226168.html,Women's Glove Shoes Fluffy Hair Square Imitation Jewel Decor Comfy Flat Shoes,Flats
724,$7.99,$11.99,http://www.jollychic.com/p/women-s-flats-hollow-pointed-toe-all-match-soft-fashion-flats-g766782.html,Women's Flats Hollow Pointed Toe All Match Soft Fashion Flats,Flats
189,$8.99,$16.99,http://www.jollychic.com/p/women-s-flats-bowknot-decoration-pointed-toe-hollow-shoes-g720194.html,Women's Flats Bowknot Decoration Pointed Toe Hollow Shoes,Flats
463,$19.99,,http://www.jollychic.com/p/women-s-flats-vintage-round-toe-lacing-all-match-comfy-flats-g993320.html,Women's Flats Vintage Round Toe Lacing All Match Comfy Flats,Flats
511,$6.99,$11.99,http://www.jollychic.com/p/women-s-flats-trendy-hollow-breathable-delicate-comfy-flats-g766768.html,Women's Flats Trendy Hollow Breathable Delicate Comfy Flats,Flats
114,$26.99,,http://www.jollychic.com/p/women-s-pumps-solid-color-squared-toe-rhinestone-decor-hollow-out-shoes-g1031264.html,Women's Pumps Solid Color Squared Toe Rhinestone Decor Hollow Out Shoes,Flats
3781,$19.99,$31.99,http://www.jollychic.com/p/vintage-sleek-letter-patchwork-lace-up-shoes-women-s-flats-g343346.html,Vintage Sleek Letter Patchwork Lace Up Shoes Women's Flats,Flats
1762,$6.99,$11.99,http://www.jollychic.com/p/women-s-pumps-all-match-comfy-stylish-hollow-out-breathable-bow-flat-shoes-g749232.html,Women's Pumps All Match Comfy Stylish Hollow Out Breathable Bow Flat Shoes,Flats
678,$25.99,$35.99,http://www.jollychic.com/p/women-s-flats-ruffles-colorblock-patchwork-sweet-leisure-style-shoes-g947218.html,Women's Flats Ruffles Colorblock Patchwork Sweet Leisure Style Shoes,Flats
475,$11.99,$18.99,http://www.jollychic.com/p/women-s-flats-all-match-embroidery-simple-comfort-breathable-casual-shoes-g899940.html,Women's Flats All Match Embroidery Simple Comfort Breathable Casual Shoes,Flats
16,$18.99,,http://www.jollychic.com/p/women-s-fashion-flats-square-toe-stylish-imitation-pearls-ornament-shoes-g1064766.html,Women's Fashion Flats Square Toe Stylish Imitation Pearls Ornament Shoes,Flats
1499,$28.99,$38.99,http://www.jollychic.com/p/wide-ankle-strap-decent-simple-flat-sandals-g264853.html,Wide Ankle Strap Decent Simple Flat Sandals,Flats
44,$12.99,$34.99,http://www.jollychic.com/p/women-s-flats-stylish-metal-circle-square-toe-comfort-shoes-g548772.html,Women's Flats Stylish Metal Circle Square Toe Comfort Shoes,Flats
99,$9.99,$28.99,http://www.jollychic.com/p/women-s-platform-pumps-candy-color-brief-design-cormfortable-shoes-g560578.html,Women's Platform Pumps Candy Color Brief Design Cormfortable Shoes,Flats
98,$26.99,$41.99,http://www.jollychic.com/p/women-s-flip-flops-sandals-flat-chic-design-sandals-g570014.html,Women's Flip Flops Sandals Flat Chic Design Sandals,Flats
145,$17.99,$31.99,http://www.jollychic.com/p/women-s-flats-trendy-pointed-toe-solid-color-comfortable-office-shoes-g573362.html,Women's Flats Trendy Pointed Toe Solid Color Comfortable Office Shoes,Flats
22,$42.99,,http://www.jollychic.com/p/women-s-pumps-solid-color-metal-buckle-comfortable-shoes-g583636.html,Women's Pumps Solid Color Metal Buckle Comfortable Shoes,Flats
128,$22.99,,http://www.jollychic.com/p/women-s-flats-ladylike-bow-knot-solid-color-comfort-shoes-g613520.html,Women's Flats Ladylike Bow Knot Solid Color Comfort Shoes,Flats
9,$33.99,,http://www.jollychic.com/p/women-s-flats-fashion-point-toe-solid-color-low-cut-shoes-g615466.html,Women's Flats Fashion Point Toe Solid Color Low-Cut Shoes,Flats
67,$16.99,$26.99,http://www.jollychic.com/p/women-s-flats-sweet-solid-color-bow-knot-ornament-shoes-g687618.html,Women's Flats Sweet Solid Color Bow Knot Ornament Shoes,Flats
279,$7.99,$13.99,http://www.jollychic.com/p/women-s-flats-pointed-toe-shiny-pu-fashion-design-flats-g720200.html,Women's Flats Pointed Toe Shiny PU Fashion Design Flats,Flats
