add_wish,discount_price,original_price,product_link,product_name,header_block
81,$7.99,$13.99,http://www.jollychic.com/p/women-s-hairband-floral-comfy-breathable-light-weight-fashion-accessory-g1063610.html,Women's Hairband Floral Comfy Breathable Light Weight Fashion Accessory,Hair Accessories
148,$9.99,$16.99,http://www.jollychic.com/p/women-s-hairband-classic-striped-pattern-all-match-elegant-hair-accessory-g1159756.html,Women's Hairband Classic Striped Pattern All Match Elegant Hair Accessory,Hair Accessories
653,$5.99,,http://www.jollychic.com/p/women-s-hair-clips-resin-pendant-moon-shaped-hair-accessory-g748640.html,Women's Hair Clips Resin Pendant Moon Shaped Hair Accessory,Hair Accessories
16,$8.99,,http://www.jollychic.com/p/1-pc-women-s-hairband-stylish-bow-knot-design-chic-ladylike-accessory-g1298304.html,1 Pc Women's Hairband Stylish Bow Knot Design Chic Ladylike Accessory,Hair Accessories
53,$13.99,,http://www.jollychic.com/p/women-s-hairband-floral-retro-style-elastic-fashion-hair-accessory-g1090242.html,Women's Hairband Floral Retro Style Elastic Fashion Hair Accessory,Hair Accessories
1683,$5.99,,http://www.jollychic.com/p/women-s-hair-accessory-weave-bow-knot-moisture-wicking-sport-hair-band-g632728.html,Women's Hair Accessory Weave Bow Knot Moisture Wicking Sport Hair Band,Hair Accessories
3801,$15.99,$22.99,http://www.jollychic.com/p/exquisite-flower-crystal-wedding-accessory-g108734.html,Exquisite Flower Crystal Wedding Accessory,Hair Accessories
1430,$7.99,$13.99,http://www.jollychic.com/p/exquisite-imitation-pearl-fashion-hair-accessory-g175155.html,Exquisite Imitation Pearl Fashion Hair Accessory,Hair Accessories
6845,$11.99,$27.99,http://www.jollychic.com/p/romantic-white-pearl-dreamy-women-s-hair-accessory-g366082.html,Romantic White Pearl Dreamy Women's Hair Accessory,Hair Accessories
4156,$14.99,$24.99,http://www.jollychic.com/p/women-s-head-band-gold-twig-rhinestone-chic-wedding-accessory-g517100.html,Women's Head Band Gold Twig Rhinestone Chic Wedding Accessory,Hair Accessories
224,$5.99,,http://www.jollychic.com/p/women-s-clip-sweet-sumptuous-rhinestone-inlay-butterfly-accessory-g582450.html,Women's Clip Sweet Sumptuous Rhinestone Inlay Butterfly Accessory,Hair Accessories
120,$7.99,,http://www.jollychic.com/p/women-s-hair-band-faddish-feather-hair-accessory-g595742.html,Women's Hair Band Faddish Feather Hair Accessory,Hair Accessories
137,$5.99,,http://www.jollychic.com/p/women-s-hair-clip-elegant-butterfly-shape-rhinestone-pin-accessory-g598094.html,Women's Hair Clip Elegant Butterfly Shape Rhinestone Pin Accessory,Hair Accessories
1380,$5.99,,http://www.jollychic.com/p/10-pcs-hair-rope-trendy-solid-color-brief-hair-elastic-g725428.html,10 Pcs Hair Rope Trendy Solid Color Brief Hair Elastic,Hair Accessories
52,$10.99,,http://www.jollychic.com/p/women-s-hair-clip-ladylike-sweet-solid-resin-hair-accessory-g787332.html,Women's Hair Clip Ladylike Sweet Solid Resin Hair Accessory,Hair Accessories
69,$5.99,,http://www.jollychic.com/p/women-s-hair-accessories-simple-style-imitation-pearl-crystal-hair-accessory-g821410.html,Women's Hair Accessories Simple Style Imitation Pearl Crystal Hair Accessory,Hair Accessories
193,$12.99,$19.99,http://www.jollychic.com/p/women-s-hair-accessories-exquisite-ladylike-rhinestone-inlay-hair-accessory-g821438.html,Women's Hair Accessories Exquisite Ladylike Rhinestone Inlay Hair Accessory,Hair Accessories
43,$10.99,,http://www.jollychic.com/p/women-s-hair-chain-elegant-simple-style-multi-layer-tassel-hair-accessory-g924102.html,Women's Hair Chain Elegant Simple Style Multi Layer Tassel Hair Accessory,Hair Accessories
57,$65.00,,http://www.jollychic.com/p/women-s-hairband-artificial-pearl-rhinestone-leaves-design-hair-accessory-g968096.html,Women's Hairband Artificial Pearl Rhinestone Leaves Design Hair Accessory,Hair Accessories
11,$40.99,,http://www.jollychic.com/p/women-s-crown-imitation-pearls-decorative-brief-exquisite-accessory-g1073234.html,Women's Crown Imitation Pearls Decorative Brief Exquisite Accessory,Hair Accessories
199,$5.99,,http://www.jollychic.com/p/women-s-hair-elastic-sweet-style-lace-up-imitation-pearls-decor-hair-band-g1095606.html,Women's Hair Elastic Sweet Style Lace Up Imitation Pearls Decor Hair Band,Hair Accessories
98,$5.99,,http://www.jollychic.com/p/5-pcs-women-s-hair-clips-personality-shell-shape-elegant-hair-accessory-g1097354.html,5 Pcs Women's Hair Clips Personality Shell Shape Elegant Hair Accessory,Hair Accessories
