add_wish,discount_price,original_price,product_link,product_name,header_block
18,$11.99,,http://www.jollychic.com/p/women-s-beanie-stylish-colorful-ladylike-all-match-hat-accessory-g1271694.html,Women's Beanie Stylish Colorful Ladylike All Match Hat Accessory,Hats
63,$11.99,,http://www.jollychic.com/p/women-s-cap-baseball-casual-printed-letters-pattern-peaked-hat-g1095974.html,Women's Cap Baseball Casual Printed Letters Pattern Peaked Hat,Hats
2115,$8.99,$22.99,http://www.jollychic.com/p/solid-color-elegant-black-bow-women-hat-g200229.html,Solid Color Elegant Black Bow Women Hat,Hats
3361,$5.99,$11.99,http://www.jollychic.com/p/new-in-dual-purpose-string-top-knit-beanie-g71530.html,New In Dual Purpose String Top Knit Beanie,Hats
498,$6.99,$10.99,http://www.jollychic.com/p/women-s-sun-cap-vogue-fresh-flower-pattern-foldable-sunblock-hat-g651586.html,Women's Sun Cap Vogue Fresh Flower Pattern Foldable Sunblock Hat,Hats
2,$20.99,$30.99,http://www.jollychic.com/p/women-s-bucket-hat-chic-all-match-solid-color-sweet-lace-bow-vintage-anti-uv-sunhat-g1275964.html,Women's Bucket Hat Chic All Match Solid Color Sweet Lace Bow Vintage Anti-UV Sunhat,Hats
7,$18.99,,http://www.jollychic.com/p/women-s-beanies-warm-lovely-flanging-dome-wool-knitting-women-s-beanies-g1304148.html,Women's Beanies Warm Lovely Flanging Dome Wool Knitting Women's Beanies,Hats
192,$18.99,$28.99,http://www.jollychic.com/p/women-s-hat-straw-braid-button-decorated-hat-accessory-g595148.html,Women's Hat Straw Braid Button Decorated Hat Accessory,Hats
459,$5.99,,http://www.jollychic.com/p/straw-brief-design-foldable-classic-unisex-sun-hat-g295830.html,Straw Brief Design Foldable Classic Unisex Sun Hat,Hats
1035,$14.99,$25.99,http://www.jollychic.com/p/women-s-hat-floppy-straw-braid-letter-ornament-travel-sun-hat-accessory-g628380.html,Women's Hat Floppy Straw Braid Letter Ornament Travel Sun Hat Accessory,Hats
67,$5.99,$8.99,http://www.jollychic.com/p/women-s-hat-sweet-bow-knot-fabric-straw-braided-sun-resistant-hat-g650524.html,Women's Hat Sweet Bow Knot Fabric Straw Braided Sun Resistant Hat,Hats
3,$14.99,,http://www.jollychic.com/p/new-wide-edge-sun-hat-for-women-g112794.html,New Wide Edge Sun Hat For Women,Hats
165,$10.99,$16.99,http://www.jollychic.com/p/women-s-hat-fresh-style-cloud-pattern-bucket-shape-sunshade-cap-g566832.html,Women's Hat Fresh Style Cloud Pattern Bucket Shape Sunshade Cap,Hats
5,$15.99,,http://www.jollychic.com/p/women-s-beany-solid-color-creative-funny-octopus-hat-accessory-g1303956.html,Women's Beany Solid Color Creative Funny Octopus Hat Accessory,Hats
402,$5.99,$9.99,http://www.jollychic.com/p/women-s-baseball-cap-casual-solid-color-patchwork-adjustable-hat-g572334.html,Women's Baseball Cap Casual Solid Color Patchwork Adjustable Hat,Hats
127,$10.99,,http://www.jollychic.com/p/women-s-baseball-cap-foldable-breathable-fast-dry-sports-casual-hat-g575164.html,Women's Baseball Cap Foldable Breathable Fast Dry Sports Casual Hat,Hats
138,$11.99,$18.99,http://www.jollychic.com/p/women-s-hat-natural-straw-braid-round-travel-casual-sun-hat-accessory-g628236.html,Women's Hat Natural Straw Braid Round Travel Casual Sun Hat Accessory,Hats
190,$6.99,$10.99,http://www.jollychic.com/p/women-s-hat-bow-knot-ornament-straw-sun-resistant-hat-g650530.html,Women's Hat Bow Knot Ornament Straw Sun Resistant Hat,Hats
1930,$5.99,$11.99,http://www.jollychic.com/p/women-s-straw-hat-simple-vintage-stylish-foldable-outdoor-sunblock-hat-g651594.html,Women's Straw Hat Simple Vintage Stylish Foldable Outdoor Sunblock Hat,Hats
22,$14.99,,http://www.jollychic.com/p/women-s-berets-hat-stylish-solid-color-knit-sweet-ladylike-faddish-accessory-g1271602.html,Women's Berets Hat Stylish Solid Color Knit Sweet Ladylike Faddish Accessory,Hats
