add_wish,discount_price,original_price,product_link,product_name,header_block
2883,$8.99,$25.99,http://www.jollychic.com/p/long-line-open-front-solid-cardigan-for-women-g372122.html,Long Line Open Front Solid Cardigan For Women,Knitwear
124,$14.99,$17.99,http://www.jollychic.com/p/women-s-sweater-slash-neck-solid-color-pullover-g1185124.html,Women's Sweater Slash Neck Solid Color Pullover,Knitwear
14,$24.99,,http://www.jollychic.com/p/women-s-sweater-long-sleeve-rhinestone-solid-pullover-g1001338.html,Women's Sweater Long Sleeve Rhinestone Solid Pullover,Knitwear
25,$24.99,,http://www.jollychic.com/p/women-s-dress-solid-long-sleeve-round-neck-fringed-stylish-sweater-dress-g1266402.html,Women's Dress Solid Long Sleeve Round Neck Fringed Stylish Sweater Dress,Knitwear
71,$20.99,$32.99,http://www.jollychic.com/p/women-s-sweater-solid-color-stylish-slim-knitwear-g1086206.html,Women's Sweater Solid Color Stylish Slim Knitwear,Knitwear
31,$23.99,,http://www.jollychic.com/p/women-s-pullover-o-neck-long-sleeve-solid-color-casual-knitwear-g1184676.html,Women's Pullover O Neck Long Sleeve Solid Color Casual Knitwear,Knitwear
215,$20.99,,http://www.jollychic.com/p/women-s-sweater-dress-loose-tassel-solid-all-match-long-sleeve-stylish-top-g1260492.html,Women's Sweater Dress Loose Tassel Solid All Match Long Sleeve Stylish Top,Knitwear
14386,$14.99,$18.99,http://www.jollychic.com/p/women-s-sweater-stripe-patchwork-long-sleeve-o-neck-plus-size-knitwear-g487280.html,Women's Sweater Stripe Patchwork Long Sleeve O Neck Plus Size Knitwear,Knitwear
151,$17.99,$24.99,http://www.jollychic.com/p/women-s-pullover-turtle-neck-long-sleeve-side-split-solid-color-knitwear-g1184674.html,Women's Pullover Turtle Neck Long Sleeve Side Split Solid Color Knitwear,Knitwear
4463,$15.99,$23.99,http://www.jollychic.com/p/women-s-cardigan-long-sleeve-open-front-all-match-casual-knitwear-g1090796.html,Women's Cardigan Long Sleeve Open Front All Match Casual Knitwear,Knitwear
4426,$13.99,$21.99,http://www.jollychic.com/p/women-s-set-casual-solid-v-neck-sleeveless-dress-stylish-sweater-coat-set-g1097902.html,Women's Set Casual Solid V Neck Sleeveless Dress Stylish Sweater Coat Set,Knitwear
7195,$9.99,$15.99,http://www.jollychic.com/p/women-s-pullover-long-sleeve-turtle-neck-solid-color-casual-knitwear-g972682.html,Women's Pullover Long Sleeve Turtle Neck Solid Color Casual Knitwear,Knitwear
12,$25.99,,http://www.jollychic.com/p/women-s-pullover-batwing-sleeve-solid-color-all-match-knitwear-g1314960.html,Women's Pullover Batwing Sleeve Solid Color All Match Knitwear,Knitwear
3330,$12.99,$19.99,http://www.jollychic.com/p/women-s-cardigan-long-sleeve-open-front-all-match-knitwear-g975738.html,Women's Cardigan Long Sleeve Open Front All Match Knitwear,Knitwear
860,$11.99,$17.99,http://www.jollychic.com/p/women-s-cardigan-long-sleeve-loose-all-match-comfy-outerwear-g1191490.html,Women's Cardigan Long Sleeve Loose All Match Comfy Outerwear,Knitwear
1923,$13.99,$20.99,http://www.jollychic.com/p/women-s-cardigan-open-front-color-block-cardigan-g1063290.html,Women's Cardigan Open Front Color Block Cardigan,Knitwear
8,$18.99,$25.99,http://www.jollychic.com/p/women-s-sweater-dress-self-sash-solid-batwing-sleeve-dress-g1253722.html,Women's Sweater Dress Self Sash Solid Batwing Sleeve Dress,Knitwear
13314,$19.99,$25.99,http://www.jollychic.com/p/plus-size-o-neck-patchwork-loose-sweater-g217025.html,Plus Size O Neck Patchwork Loose Sweater,Knitwear
3998,$11.99,$15.99,http://www.jollychic.com/p/women-s-pullover-o-neck-long-sleeve-color-block-casual-knitwear-g975742.html,Women's Pullover O Neck Long Sleeve Color Block Casual Knitwear,Knitwear
24,$15.99,$22.99,http://www.jollychic.com/p/women-s-sweater-long-sleeve-solid-casual-sweater-g1089360.html,Women's Sweater Long Sleeve Solid Casual Sweater,Knitwear
1442,$18.99,$27.99,http://www.jollychic.com/p/women-s-knitwear-embroidery-open-front-loose-top-g1107620.html,Women's Knitwear Embroidery Open Front Loose Top,Knitwear
292,$13.99,$19.99,http://www.jollychic.com/p/women-s-cardigan-star-pattern-loose-cozy-outwear-g1193868.html,Women's Cardigan Star Pattern Loose Cozy Outwear,Knitwear
9,$32.99,,http://www.jollychic.com/p/women-s-sweatshirt-floral-patchwork-casual-sweatshirt-g1307306.html,Women's Sweatshirt Floral Patchwork Casual Sweatshirt,Knitwear
1238,$17.99,$26.99,http://www.jollychic.com/p/women-s-cardigan-long-sleeve-open-front-fashion-knitwear-g896726.html,Women's Cardigan Long Sleeve Open Front Fashion Knitwear,Knitwear
366,$13.99,$21.99,http://www.jollychic.com/p/women-s-pullover-o-neck-long-sleeve-striped-pattern-knitwear-g926682.html,Women's Pullover O Neck Long Sleeve Striped Pattern Knitwear,Knitwear
432,$5.99,$9.99,http://www.jollychic.com/p/women-s-sweater-stylish-v-neck-hollow-out-comfy-fashionable-pullover-g1097910.html,Women's Sweater Stylish V Neck Hollow Out Comfy Fashionable Pullover,Knitwear
243,$7.99,$15.99,http://www.jollychic.com/p/women-s-sweater-o-neck-patchwork-cozy-knitwear-g1304424.html,Women's Sweater O Neck Patchwork Cozy Knitwear,Knitwear
2255,$12.99,$16.99,http://www.jollychic.com/p/women-s-pullover-turtle-neck-long-sleeve-solid-color-warm-long-knitwear-g972680.html,Women's Pullover Turtle Neck Long Sleeve Solid Color Warm Long Knitwear,Knitwear
314,$9.99,$15.99,http://www.jollychic.com/p/women-s-pullover-o-neck-long-sleeve-solid-color-all-match-knitwear-g975744.html,Women's Pullover O Neck Long Sleeve Solid Color All Match Knitwear,Knitwear
333,$12.99,$19.99,http://www.jollychic.com/p/women-s-pullover-v-neck-long-sleeve-solid-color-all-match-knitwear-g1097410.html,Women's Pullover V Neck Long Sleeve Solid Color All Match Knitwear,Knitwear
13,$34.99,,http://www.jollychic.com/p/women-s-sweater-dress-turtle-neck-long-sleeve-split-design-midi-knitted-dress-g1284714.html,Women's Sweater Dress Turtle Neck Long Sleeve Split Design Midi Knitted Dress,Knitwear
4081,$10.99,$23.99,http://www.jollychic.com/p/plus-size-pearl-overlay-sweater-g370734.html,Plus Size Pearl Overlay Sweater,Knitwear
1215,$18.99,$26.99,http://www.jollychic.com/p/women-s-pullover-peter-pan-collar-long-sleeve-slim-fit-all-match-knitwear-g1099714.html,Women's Pullover Peter Pan Collar Long Sleeve Slim Fit All Match Knitwear,Knitwear
1832,$30.99,,http://www.jollychic.com/p/women-s-knitwear-color-block-patchwork-hoodie-outwear-g1107074.html,Women's Knitwear Color Block Patchwork Hoodie Outwear,Knitwear
1392,$20.99,$37.99,http://www.jollychic.com/p/top-fashion-women-s-sweater-long-sleeve-colorblock-turtle-neck-sweater-g386218.html,Top Fashion Women's Sweater Long Sleeve Colorblock Turtle Neck Sweater,Knitwear
1825,$15.99,$21.99,http://www.jollychic.com/p/women-s-cardigan-floral-embroidery-slim-outwear-g1164176.html,Women's Cardigan Floral Embroidery Slim Outwear,Knitwear
