add_wish,discount_price,original_price,product_link,product_name,header_block
514,$13.99,$20.99,https://www.jollychic.com/p/vogue-style-galaxy-print-leggings-g9002.html,Vogue Style Galaxy Print Leggings,Leggings
3220,$14.99,,https://www.jollychic.com/p/mesh-patchwork-high-stretch-active-leggings-g152263.html,Mesh Patchwork High Stretch Active Leggings,Leggings
8216,$5.99,,https://www.jollychic.com/p/faux-leather-stretchy-style-skinny-black-leggings-g228523.html,Faux Leather Stretchy Style Skinny Black Leggings,Leggings
181,$11.99,,https://www.jollychic.com/p/faux-leather-cut-out-slim-black-leggings-g228815.html,Faux Leather Cut Out Slim Black Leggings,Leggings
822,$11.99,,https://www.jollychic.com/p/solid-personalized-hole-design-leggings-g255153.html,Solid Personalized Hole Design Leggings,Leggings
3255,$5.99,$9.99,https://www.jollychic.com/p/sexy-lace-patchwork-black-light-leggings-g333122.html,Sexy Lace Patchwork Black Light Leggings,Leggings
1270,$3.99,$6.99,https://www.jollychic.com/p/ethnic-style-women-s-leggings-floral-print-casual-leggings-g417276.html,Ethnic Style Women's Leggings Floral Print Casual Leggings,Leggings
489,$3.99,$6.99,https://www.jollychic.com/p/casual-style-women-s-skinny-leggings-floral-print-leggings-g417278.html,Casual Style Women's Skinny Leggings Floral Print Leggings,Leggings
1667,$3.99,$7.99,https://www.jollychic.com/p/women-s-leggings-high-waist-elastic-solid-slim-sport-style-leggings-g471640.html,Women's Leggings High Waist Elastic Solid Slim Sport Style Leggings,Leggings
400,$5.99,$11.99,https://www.jollychic.com/p/women-s-leggings-gauze-patchwork-bow-sexy-leggings-g477692.html,Women's Leggings Gauze Patchwork Bow Sexy Leggings,Leggings
1433,$14.99,,https://www.jollychic.com/p/women-s-leggings-elastic-waist-lace-patchwork-lace-up-faux-leather-leggings-g481002.html,Women's Leggings Elastic Waist Lace Patchwork Lace Up Faux Leather Leggings,Leggings
716,$8.99,$22.99,https://www.jollychic.com/p/women-s-leggings-mid-waist-elastic-sport-style-patchwork-cropped-yoga-leggings-g500036.html,Women's Leggings Mid Waist Elastic Sport Style Patchwork Cropped Yoga Leggings,Leggings
1746,$8.99,$13.99,https://www.jollychic.com/p/women-s-leggings-elastic-high-waist-gauze-patchwork-slim-camouflage-leggings-g508076.html,Women's Leggings Elastic High Waist Gauze Patchwork Slim Camouflage Leggings,Leggings
2253,$8.99,$13.99,https://www.jollychic.com/p/women-s-leggings-pu-leather-elastic-waist-thicken-warm-fashion-leggings-g530676.html,Women's Leggings PU Leather Elastic Waist Thicken Warm Fashion Leggings,Leggings
909,$9.99,$15.99,https://www.jollychic.com/p/women-s-leggings-cropped-hollow-out-solid-leggings-g544068.html,Women's Leggings Cropped Hollow Out Solid Leggings,Leggings
1590,$10.99,$18.99,https://www.jollychic.com/p/women-s-leggings-high-waisted-slim-skinny-sports-style-camouflage-leggings-g558072.html,Women's Leggings High Waisted Slim Skinny Sports Style Camouflage Leggings,Leggings
156,$18.99,,https://www.jollychic.com/p/women-s-leggings-gauze-patchwork-visable-sexy-leggings-g569744.html,Women's Leggings Gauze Patchwork Visable Sexy Leggings,Leggings
184,$8.99,$13.99,https://www.jollychic.com/p/women-s-leggings-skinny-colorblock-polka-dot-casual-leggings-g610568.html,Women's Leggings Skinny Colorblock Polka Dot Casual Leggings,Leggings
4914,$10.99,$20.99,https://www.jollychic.com/p/women-s-leggings-gauze-patchwork-see-through-sexy-leggings-g640782.html,Women's Leggings Gauze Patchwork See Through Sexy Leggings,Leggings
51,$11.99,$17.99,https://www.jollychic.com/p/women-s-leggings-pu-leather-elastic-waisted-beading-skinny-leggings-g642054.html,Women's Leggings PU Leather Elastic Waisted Beading Skinny Leggings,Leggings
176,$13.99,$20.99,https://www.jollychic.com/p/women-s-leggings-pu-leather-high-waisted-lace-patched-warm-leggings-g642060.html,Women's Leggings PU Leather High Waisted Lace Patched Warm Leggings,Leggings
