add_wish,discount_price,original_price,product_link,product_name,header_block
118,$58.00,,http://www.jollychic.com/p/nuheel-women-s-sandals-pointed-toe-thin-heel-ladylike-shoes-g761724.html,NUHEEL Women's Sandals Pointed Toe Thin Heel Ladylike Shoes,Sandals
240,$13.99,$22.99,http://www.jollychic.com/p/women-s-sandals-soft-open-toe-velcro-platform-casual-sandals-g720190.html,Women's Sandals Soft Open Toe Velcro Platform Casual Sandals,Sandals
1050,$17.99,$27.99,http://www.jollychic.com/p/women-s-sandals-exquisite-rivet-flowers-pointed-toe-high-thin-heel-shoes-g985358.html,Women's Sandals Exquisite Rivet Flowers Pointed Toe High Thin Heel Shoes,Sandals
10469,$11.99,$18.99,http://www.jollychic.com/p/women-s-sandals-pointed-toe-thick-heel-faddish-shoes-g685278.html,Women's Sandals Pointed Toe Thick Heel Faddish Shoes,Sandals
176,$20.99,$30.99,http://www.jollychic.com/p/women-s-sandals-sweet-style-peep-toe-bowknot-ornament-faddish-shoes-g797554.html,Women's Sandals Sweet Style Peep Toe Bowknot Ornament Faddish Shoes,Sandals
222,$15.99,$18.99,http://www.jollychic.com/p/women-s-peep-toe-sandals-multi-color-elegant-all-match-thick-heel-chic-shoes-g743908.html,Women's Peep Toe Sandals Multi-Color Elegant All Match Thick Heel Chic Shoes,Sandals
860,$15.99,$21.99,http://www.jollychic.com/p/women-s-sandals-pointed-toe-crossing-straps-square-heel-elegant-shoes-g751912.html,Women's Sandals Pointed Toe Crossing Straps Square Heel Elegant Shoes,Sandals
6705,$9.99,$30.99,http://www.jollychic.com/p/women-s-shoes-open-toe-bow-ankle-strap-heeled-sandals-g144469.html,Women's Shoes Open Toe Bow Ankle Strap Heeled Sandals,Sandals
288,$14.99,$22.99,http://www.jollychic.com/p/women-s-sandals-pointed-toe-all-match-solid-color-fashion-casual-shoes-g753644.html,Women's Sandals Pointed Toe All Match Solid Color Fashion Casual Shoes,Sandals
280,$15.99,$31.99,http://www.jollychic.com/p/women-s-peep-toe-sandals-ankle-strap-elegant-high-heel-dress-shoes-g706084.html,Women's Peep Toe Sandals Ankle Strap Elegant High Heel Dress Shoes,Sandals
