add_wish,discount_price,original_price,product_link,product_name,header_block
687,$5.99,$10.99,https://www.jollychic.com/p/new-in-ladies-warm-comfortable-plaid-scarves-for-women-g44955.html,New In Ladies Warm Comfortable Plaid Scarves For Women,Scarves
586,$4.99,$7.99,https://www.jollychic.com/p/fashion-solid-color-all-match-scarf-for-wome-g61452.html,Fashion Solid Color All Match Scarf For Wome,Scarves
715,$7.99,$13.99,https://www.jollychic.com/p/new-in-chic-soft-scarf-for-women-g70292.html,New In Chic Soft Scarf For Women,Scarves
1151,$2.99,$3.99,https://www.jollychic.com/p/solid-chiffon-long-stylish-scarf-for-women-g78454.html,Solid Chiffon Long Stylish Scarf For Women,Scarves
45,$125.00,,https://www.jollychic.com/p/high-quality-thermal-nice-design-scarf-for-men-g201045.html,High Quality Thermal Nice Design Scarf For Men,Scarves
526,$22.99,,https://www.jollychic.com/p/high-quality-color-block-fashion-scarf-for-women-g201521.html,High Quality Color Block Fashion Scarf For Women,Scarves
3790,$43.99,,https://www.jollychic.com/p/thermal-tassels-wraps-women-scarf-g201525.html,Thermal Tassels Wraps Women Scarf,Scarves
3982,$43.99,,https://www.jollychic.com/p/thicken-thermal-wraps-scarf-for-women-g201529.html,Thicken Thermal Wraps Scarf For Women,Scarves
2503,$20.99,$31.99,https://www.jollychic.com/p/owl-design-color-block-wraps-women-s-scarf-g201567.html,Owl Design Color Block Wraps Women's Scarf,Scarves
1525,$10.99,$30.99,https://www.jollychic.com/p/thicken-thermal-stripe-pattern-women-scarf-g201573.html,Thicken Thermal Stripe Pattern Women Scarf,Scarves
642,$20.99,,https://www.jollychic.com/p/flower-pattern-embroidery-elegant-women-scarf-g201635.html,Flower Pattern Embroidery Elegant Women Scarf,Scarves
350,$27.99,,https://www.jollychic.com/p/plaid-tassels-thermal-wraps-women-s-scarf-g201665.html,Plaid Tassels Thermal Wraps Women's Scarf,Scarves
230,$13.99,$24.99,https://www.jollychic.com/p/geometric-pattern-fashion-wraps-women-s-scarf-g201725.html,Geometric Pattern Fashion Wraps Women's Scarf,Scarves
1456,$5.99,$16.99,https://www.jollychic.com/p/plaid-colorful-neckerchief-scarf-for-women-g202059.html,Plaid Colorful Neckerchief Scarf For Women,Scarves
918,$9.99,$26.99,https://www.jollychic.com/p/geometric-pattern-flower-wraps-women-scarf-g202117.html,Geometric Pattern Flower Wraps Women Scarf,Scarves
2215,$13.99,$22.99,https://www.jollychic.com/p/solid-color-tassels-triangle-pattern-women-s-scarf-g202125.html,Solid Color Tassels Triangle Pattern Women's Scarf,Scarves
757,$6.99,$14.99,https://www.jollychic.com/p/colorful-stripe-tassels-fashion-women-scarf-g202159.html,Colorful Stripe Tassels Fashion Women Scarf,Scarves
6288,$9.99,$16.99,https://www.jollychic.com/p/solid-color-neckerchief-wraps-women-scarf-g202197.html,Solid Color Neckerchief Wraps Women Scarf,Scarves
1412,$26.99,,https://www.jollychic.com/p/thermal-scarf-fashion-women-wraps-g202221.html,Thermal Scarf Fashion Women Wraps,Scarves
1475,$22.99,,https://www.jollychic.com/p/thermal-solid-color-tassels-scarf-for-women-g202239.html,Thermal Solid Color Tassels Scarf For Women,Scarves
825,$5.99,$14.99,https://www.jollychic.com/p/thicken-plaid-striola-women-scarf-g202241.html,Thicken Plaid Striola Women Scarf,Scarves
2938,$5.99,$20.99,https://www.jollychic.com/p/stripe-plaid-thermal-women-wrap-g204939.html,Stripe Plaid Thermal Women Wrap,Scarves
464,$6.99,$20.99,https://www.jollychic.com/p/knitted-fashion-thermal-women-s-scarf-g205117.html,Knitted Fashion Thermal Women's Scarf,Scarves
4426,$10.99,$17.99,https://www.jollychic.com/p/solid-color-knitted-thermal-women-scarf-g205145.html,Solid Color Knitted Thermal Women Scarf,Scarves
424,$2.99,$6.99,https://www.jollychic.com/p/cat-pattern-multi-color-fashion-women-scarf-g205291.html,Cat Pattern Multi Color Fashion Women Scarf,Scarves
866,$14.99,,https://www.jollychic.com/p/twill-tassels-elegant-wrap-women-scarf-g205399.html,Twill Tassels Elegant Wrap Women Scarf,Scarves
977,$8.99,$14.99,https://www.jollychic.com/p/plaid-color-block-thermal-women-s-scarf-g205405.html,Plaid Color Block Thermal Women's Scarf,Scarves
2951,$8.99,$14.99,https://www.jollychic.com/p/knitted-plaid-fashion-women-scarf-g205523.html,Knitted Plaid Fashion Women Scarf,Scarves
3844,$6.99,$13.99,https://www.jollychic.com/p/tassels-flower-pattern-thermal-women-s-wrap-g206491.html,Tassels Flower Pattern Thermal Women's Wrap,Scarves
3065,$6.99,,https://www.jollychic.com/p/multi-color-fashion-nice-design-women-scarf-g206553.html,Multi Color Fashion Nice Design Women Scarf,Scarves
1126,$6.99,,https://www.jollychic.com/p/hedgehog-pattern-thermal-fashion-women-scarf-g206561.html,Hedgehog Pattern Thermal Fashion Women Scarf,Scarves
1184,$6.99,,https://www.jollychic.com/p/thermal-owl-pattern-wrap-women-s-scarf-g206587.html,Thermal Owl Pattern Wrap Women's Scarf,Scarves
1692,$6.99,,https://www.jollychic.com/p/owl-pattern-thermal-wrap-women-s-scarf-g206593.html,Owl Pattern Thermal Wrap Women's Scarf,Scarves
1448,$2.99,$5.99,https://www.jollychic.com/p/diverse-butterfly-sun-proof-colorful-scarf-g252221.html,Diverse Butterfly Sun Proof Colorful Scarf,Scarves
579,$2.99,$5.99,https://www.jollychic.com/p/good-quality-affordable-comfortable-scarf-g252235.html,Good Quality Affordable Comfortable Scarf,Scarves
722,$3.99,$13.99,https://www.jollychic.com/p/retro-style-chromatic-patchwork-tassels-scarf-g268717.html,Retro Style Chromatic Patchwork Tassels Scarf,Scarves
674,$2.99,$5.99,https://www.jollychic.com/p/anchor-pattern-light-voile-sterling-women-s-scarf-g333352.html,Anchor Pattern Light Voile Sterling Women's Scarf,Scarves
1362,$7.99,$12.99,https://www.jollychic.com/p/bohemian-style-geometric-pattern-tassel-women-s-scarf-g366738.html,Bohemian Style Geometric Pattern Tassel Women's Scarf,Scarves
5204,$6.99,$12.99,https://www.jollychic.com/p/bohemian-style-geometric-pattern-sterling-tassel-women-s-scarf-g366742.html,Bohemian Style Geometric Pattern Sterling Tassel Women's Scarf,Scarves
548,$4.99,$10.99,https://www.jollychic.com/p/retro-sterling-ventilate-tassel-women-s-scarf-g371750.html,Retro Sterling Ventilate Tassel Women's Scarf,Scarves
146,$3.99,$10.99,https://www.jollychic.com/p/ladylike-blocks-pattern-tassel-women-s-scarf-g371754.html,Ladylike Blocks Pattern Tassel Women's Scarf,Scarves
985,$5.99,$11.99,https://www.jollychic.com/p/vogue-color-block-light-weight-women-s-scarf-g371756.html,Vogue Color Block Light Weight Women's Scarf,Scarves
722,$6.99,$12.99,https://www.jollychic.com/p/bohemian-style-elephant-pattern-women-s-scarf-g371768.html,Bohemian Style Elephant Pattern Women's Scarf,Scarves
3429,$15.99,$32.99,https://www.jollychic.com/p/women-s-cape-thicken-thermal-stripe-pattern-open-front-scarf-g410154.html,Women's Cape Thicken Thermal Stripe Pattern Open Front Scarf,Scarves
815,$4.99,$9.99,https://www.jollychic.com/p/women-s-cozy-scarf-stripe-pattern-soft-tassel-casual-scarf-g410264.html,Women's Cozy Scarf Stripe Pattern Soft Tassel Casual Scarf,Scarves
1260,$12.99,,https://www.jollychic.com/p/women-s-scarf-warm-plaid-versatile-unedged-cape-g410564.html,Women's Scarf Warm Plaid Versatile Unedged Cape,Scarves
107,$3.99,$8.99,https://www.jollychic.com/p/women-s-scarf-faddish-vintage-ethnic-print-cape-g443268.html,Women's Scarf Faddish Vintage Ethnic Print Cape,Scarves
