add_wish,discount_price,original_price,product_link,product_name,header_block
118,$58.00,,http://www.jollychic.com/p/nuheel-women-s-sandals-pointed-toe-thin-heel-ladylike-shoes-g761724.html,NUHEEL Women's Sandals Pointed Toe Thin Heel Ladylike Shoes,Shoes
73,$8.99,$29.99,http://www.jollychic.com/p/women-s-pumps-vogue-elegant-solid-thick-heels-party-shoes-g685448.html,Women's Pumps Vogue Elegant Solid Thick Heels Party Shoes,Shoes
240,$13.99,$22.99,http://www.jollychic.com/p/women-s-sandals-soft-open-toe-velcro-platform-casual-sandals-g720190.html,Women's Sandals Soft Open Toe Velcro Platform Casual Sandals,Shoes
17,$17.99,$27.99,http://www.jollychic.com/p/women-s-slip-ons-comfy-casual-faux-fur-round-toe-stylish-loafer-shoes-g1226968.html,Women's Slip-Ons Comfy Casual Faux Fur Round Toe Stylish Loafer Shoes,Shoes
1050,$17.99,$27.99,http://www.jollychic.com/p/women-s-sandals-exquisite-rivet-flowers-pointed-toe-high-thin-heel-shoes-g985358.html,Women's Sandals Exquisite Rivet Flowers Pointed Toe High Thin Heel Shoes,Shoes
16161,$13.99,$19.99,http://www.jollychic.com/p/women-s-sports-shoes-thick-sole-color-block-comfortable-sneakers-g616872.html,Women's Sports Shoes Thick Sole Color Block Comfortable Sneakers,Shoes
10469,$11.99,$18.99,http://www.jollychic.com/p/women-s-sandals-pointed-toe-thick-heel-faddish-shoes-g685278.html,Women's Sandals Pointed Toe Thick Heel Faddish Shoes,Shoes
176,$20.99,$30.99,http://www.jollychic.com/p/women-s-sandals-sweet-style-peep-toe-bowknot-ornament-faddish-shoes-g797554.html,Women's Sandals Sweet Style Peep Toe Bowknot Ornament Faddish Shoes,Shoes
6216,$10.99,$16.99,http://www.jollychic.com/p/women-s-sneakers-solid-color-casual-round-toe-flat-shoes-g899090.html,Women's Sneakers Solid Color Casual Round Toe Flat Shoes,Shoes
222,$15.99,$18.99,http://www.jollychic.com/p/women-s-peep-toe-sandals-multi-color-elegant-all-match-thick-heel-chic-shoes-g743908.html,Women's Peep Toe Sandals Multi-Color Elegant All Match Thick Heel Chic Shoes,Shoes
860,$15.99,$21.99,http://www.jollychic.com/p/women-s-sandals-pointed-toe-crossing-straps-square-heel-elegant-shoes-g751912.html,Women's Sandals Pointed Toe Crossing Straps Square Heel Elegant Shoes,Shoes
6705,$9.99,$30.99,http://www.jollychic.com/p/women-s-shoes-open-toe-bow-ankle-strap-heeled-sandals-g144469.html,Women's Shoes Open Toe Bow Ankle Strap Heeled Sandals,Shoes
