add_wish,discount_price,original_price,product_link,product_name,header_block
1752,$7.99,$10.99,https://www.jollychic.com/p/selected-versatile-solid-crossover-short-for-women-g81760.html,Selected Versatile Solid Crossover Short For Women,Shorts
1906,$4.99,$8.99,https://www.jollychic.com/p/high-waist-solid-black-plus-size-shorts-g157423.html,High Waist Solid Black Plus Size Shorts,Shorts
8728,$8.99,$10.99,https://www.jollychic.com/p/plus-size-solid-chiffon-wide-leg-shorts-g157437.html,Plus Size Solid Chiffon Wide Leg Shorts,Shorts
3502,$12.99,$30.99,https://www.jollychic.com/p/plus-size-worn-out-pockets-denim-shorts-g276785.html,Plus Size Worn Out Pockets Denim Shorts,Shorts
1786,$14.99,$22.99,https://www.jollychic.com/p/plus-size-embroidered-denim-shorts-g301908.html,Plus Size Embroidered Denim Shorts,Shorts
923,$7.99,$22.99,https://www.jollychic.com/p/hole-design-drawstring-denim-shorts-g309426.html,Hole Design Drawstring Denim Shorts,Shorts
2496,$7.99,$13.99,https://www.jollychic.com/p/women-s-shorts-bobble-patch-elastic-waist-shorts-g577892.html,Women's Shorts Bobble Patch Elastic Waist Shorts,Shorts
1248,$6.99,$21.99,https://www.jollychic.com/p/women-s-shorts-all-match-high-waist-self-sash-solid-shorts-g578704.html,Women's Shorts All Match High Waist Self Sash Solid Shorts,Shorts
3005,$9.99,$12.99,https://www.jollychic.com/p/women-s-shorts-casual-loose-drawstring-waist-colorblock-shorts-g597036.html,Women's Shorts Casual Loose Drawstring Waist Colorblock Shorts,Shorts
1589,$9.99,$12.99,https://www.jollychic.com/p/women-s-shorts-elastic-waist-ethnic-pattern-shorts-g606200.html,Women's Shorts Elastic Waist Ethnic Pattern Shorts,Shorts
338,$14.99,$21.99,https://www.jollychic.com/p/women-s-denim-hot-shorts-high-waist-frayed-rivet-sexy-shorts-g620596.html,Women's Denim Hot Shorts High Waist Frayed Rivet Sexy Shorts,Shorts
279,$15.99,$24.99,https://www.jollychic.com/p/women-s-denim-shorts-mid-waist-distressed-fit-shorts-g620672.html,Women's Denim Shorts Mid Waist Distressed Fit Shorts,Shorts
258,$13.99,$20.99,https://www.jollychic.com/p/women-s-denim-hot-shorts-high-waist-asymmetric-tassel-bottom-shorts-g620782.html,Women's Denim Hot Shorts High Waist Asymmetric Tassel Bottom Shorts,Shorts
235,$4.99,$15.99,https://www.jollychic.com/p/women-s-denim-shorts-mid-waisted-frayed-washed-style-casual-denim-shorts-g630014.html,Women's Denim Shorts Mid Waisted Frayed Washed Style Casual Denim Shorts,Shorts
1457,$12.99,$23.99,https://www.jollychic.com/p/women-s-shorts-high-waist-floral-printed-cozy-shorts-g641478.html,Women's Shorts High Waist Floral Printed Cozy Shorts,Shorts
2629,$6.99,$10.99,https://www.jollychic.com/p/women-s-shorts-solid-color-bow-drawstring-waist-casual-shorts-g650216.html,Women's Shorts Solid Color Bow Drawstring Waist Casual Shorts,Shorts
97,$13.99,$23.99,https://www.jollychic.com/p/women-s-denim-shorts-frayed-hole-design-washed-style-sexy-denim-shorts-g651784.html,Women's Denim Shorts Frayed Hole Design Washed Style Sexy Denim Shorts,Shorts
81,$9.99,$24.99,https://www.jollychic.com/p/women-s-shorts-elastic-waist-solid-color-beading-plus-size-shorts-g659044.html,Women's Shorts Elastic Waist Solid Color Beading Plus Size Shorts,Shorts
54,$8.99,$14.99,https://www.jollychic.com/p/women-s-denim-shorts-lace-patched-frayed-tassel-hem-shorts-g664648.html,Women's Denim Shorts Lace Patched Frayed Tassel Hem Shorts,Shorts
1443,$8.99,$15.99,https://www.jollychic.com/p/women-s-denim-shorts-solid-color-distressed-frayed-sexy-shorts-g665500.html,Women's Denim Shorts Solid Color Distressed Frayed Sexy Shorts,Shorts
316,$12.99,$18.99,https://www.jollychic.com/p/women-s-suspender-shorts-solid-color-brief-design-casual-plus-size-shorts-g687690.html,Women's Suspender Shorts Solid Color Brief Design Casual Plus Size Shorts,Shorts
1337,$8.99,$13.99,https://www.jollychic.com/p/women-s-denim-shorts-slim-blue-hot-shorts-g694338.html,Women's Denim Shorts Slim Blue Hot Shorts,Shorts
1157,$8.99,$13.99,https://www.jollychic.com/p/women-s-denim-shorts-low-waist-distressed-frayed-hot-shorts-g694358.html,Women's Denim Shorts Low Waist Distressed Frayed Hot Shorts,Shorts
2098,$8.99,$15.99,https://www.jollychic.com/p/women-s-denim-shorts-low-waist-solid-color-hole-design-shorts-g694418.html,Women's Denim Shorts Low Waist Solid Color Hole Design Shorts,Shorts
1349,$9.99,$15.99,https://www.jollychic.com/p/women-s-denim-shorts-hole-design-distressed-sexy-hot-shorts-g694426.html,Women's Denim Shorts Hole Design Distressed Sexy Hot Shorts,Shorts
126,$15.99,$23.99,https://www.jollychic.com/p/women-s-denim-shorts-hole-frayed-high-waist-hot-shorts-g698856.html,Women's Denim Shorts Hole Frayed High Waist Hot Shorts,Shorts
428,$13.99,$22.99,https://www.jollychic.com/p/women-s-shorts-solid-color-high-waist-hole-casual-shorts-g706290.html,Women's Shorts Solid Color High Waist Hole Casual Shorts,Shorts
462,$7.99,$9.99,https://www.jollychic.com/p/women-s-shorts-elastic-waist-tassel-hem-floral-pattern-casual-shorts-g716870.html,Women's Shorts Elastic Waist Tassel Hem Floral Pattern Casual Shorts,Shorts
97,$16.99,$29.99,https://www.jollychic.com/p/women-s-denim-shorts-all-match-washed-slim-denim-shorts-g721106.html,Women's Denim Shorts All Match Washed Slim Denim Shorts,Shorts
48,$24.99,,https://www.jollychic.com/p/women-s-denim-shorts-sexy-hole-black-hot-shorts-g722712.html,Women's Denim Shorts Sexy Hole Black Hot Shorts,Shorts
420,$13.99,$21.99,https://www.jollychic.com/p/women-s-denim-shorts-frayed-hole-casual-denim-shorts-g732546.html,Women's Denim Shorts Frayed Hole Casual Denim Shorts,Shorts
516,$18.99,$28.99,https://www.jollychic.com/p/women-s-denim-suspender-shorts-pocket-frayed-casual-denim-shorts-g762944.html,Women's Denim Suspender Shorts Pocket Frayed Casual Denim Shorts,Shorts
114,$8.99,$13.99,https://www.jollychic.com/p/women-s-skorts-floral-embroidery-asymmetric-hem-mini-sexy-skorts-g792280.html,Women's Skorts Floral Embroidery Asymmetric Hem Mini Sexy Skorts,Shorts
892,$8.99,$14.99,https://www.jollychic.com/p/women-s-denim-shorts-solid-color-distressed-design-hot-shorts-g812642.html,Women's Denim Shorts Solid Color Distressed Design Hot Shorts,Shorts
