add_wish,discount_price,original_price,product_link,product_name,header_block
9795,$18.99,$26.99,https://www.jollychic.com/p/sweet-metallic-star-ornament-candy-color-women-s-bucket-bag-g305644.html,Sweet Metallic Star Ornament Candy Color Women's Bucket Bag,Shoulder Bags
351,$11.99,$16.99,https://www.jollychic.com/p/durable-nylon-zipper-closure-versatile-shoulder-bag-g307148.html,Durable Nylon Zipper Closure Versatile Shoulder Bag,Shoulder Bags
674,$14.99,$22.99,https://www.jollychic.com/p/vivid-flower-print-waterproof-great-shoulder-bag-for-women-g308196.html,Vivid Flower Print Waterproof Great Shoulder Bag For Women,Shoulder Bags
1206,$13.99,$21.99,https://www.jollychic.com/p/checker-shark-lock-radiant-cover-women-s-shoulder-bag-g338828.html,Checker Shark Lock Radiant Cover Women's Shoulder Bag,Shoulder Bags
35,$10.99,$17.99,https://www.jollychic.com/p/women-s-shoulder-bag-high-capacity-casual-multi-layers-waterproof-bag-g504086.html,Women's Shoulder Bag High Capacity Casual Multi Layers Waterproof Bag,Shoulder Bags
572,$14.99,$25.99,https://www.jollychic.com/p/woman-s-shoulder-bag-solid-stylish-zipper-woman-s-bag-g562738.html,Woman's Shoulder Bag Solid Stylish Zipper Woman's Bag,Shoulder Bags
556,$8.99,$18.99,https://www.jollychic.com/p/women-s-handbag-vintage-solid-square-shape-tassel-pendant-g572896.html,Women's Handbag Vintage Solid Square Shape Tassel Pendant,Shoulder Bags
106,$20.99,$31.99,https://www.jollychic.com/p/women-s-shoulder-bag-cartoon-animal-patchwork-square-tassels-bag-g611570.html,Women's Shoulder Bag Cartoon Animal Patchwork Square Tassels Bag,Shoulder Bags
2040,$14.99,$25.99,https://www.jollychic.com/p/women-s-shoulder-bag-ribbon-ornament-handle-square-vintage-hasp-bag-g611578.html,Women's Shoulder Bag Ribbon Ornament Handle Square Vintage Hasp Bag,Shoulder Bags
297,$12.99,$20.99,https://www.jollychic.com/p/women-s-corssbody-bag-round-shape-tassel-mimi-bag-g615926.html,Women's Corssbody Bag Round Shape Tassel Mimi Bag,Shoulder Bags
549,$21.99,$35.99,https://www.jollychic.com/p/women-s-shoulder-bag-simple-solid-all-match-versatile-chic-square-bag-g616060.html,Women's Shoulder Bag Simple Solid All-Match Versatile Chic Square Bag,Shoulder Bags
383,$15.99,$25.99,https://www.jollychic.com/p/women-s-shoulder-bag-string-solid-modern-versatile-bucket-bag-g655828.html,Women's Shoulder Bag String Solid Modern Versatile Bucket Bag,Shoulder Bags
70,$13.99,$28.99,https://www.jollychic.com/p/women-s-shoulder-bag-trendy-flowers-pattern-all-match-multi-functional-bag-g659542.html,Women's Shoulder Bag Trendy Flowers Pattern All Match Multi Functional Bag,Shoulder Bags
1677,$3.99,$6.99,https://www.jollychic.com/p/women-s-shoulder-bag-simple-solid-graceful-high-capacity-bag-g666114.html,Women's Shoulder Bag Simple Solid Graceful High Capacity Bag,Shoulder Bags
668,$14.99,$26.99,https://www.jollychic.com/p/women-s-shoulder-bag-wide-strap-fashion-hasp-cover-square-handbag-g683770.html,Women's Shoulder Bag Wide Strap Fashion Hasp Cover Square Handbag,Shoulder Bags
490,$13.99,$26.99,https://www.jollychic.com/p/women-s-shoulder-bag-solid-color-bucket-shape-bowknot-decor-chain-bag-g684326.html,Women's Shoulder Bag Solid Color Bucket Shape Bowknot Decor Chain Bag,Shoulder Bags
