add_wish,discount_price,original_price,product_link,product_name,header_block
173,$20.99,$31.99,http://www.jollychic.com/p/women-s-bodycon-solid-color-split-knit-slim-midi-skirt-g1232238.html,Women's Bodycon Solid Color Split Knit Slim Midi Skirt,Skirts
105,$8.99,$13.99,http://www.jollychic.com/p/women-s-skirt-high-waist-ruffles-patchwork-solid-skirt-g1143636.html,Women's Skirt High Waist Ruffles Patchwork Solid Skirt,Skirts
68,$11.99,$17.99,http://www.jollychic.com/p/women-s-skirt-high-waist-solid-aline-skirt-g1116482.html,Women's Skirt High Waist Solid Aline Skirt,Skirts
699,$6.99,$11.99,http://www.jollychic.com/p/women-s-skirt-gauze-patchwork-pleated-midi-skirt-g654996.html,Women's Skirt Gauze Patchwork Pleated Midi Skirt,Skirts
15275,$16.99,$24.99,http://www.jollychic.com/p/women-s-suspender-skirt-solid-color-fashion-style-maxi-long-aline-skirt-g585470.html,Women's Suspender Skirt Solid Color Fashion Style Maxi Long Aline Skirt,Skirts
1554,$19.99,$35.99,http://www.jollychic.com/p/women-s-suspender-skirt-elastic-waist-organza-patchwork-midi-aline-skirt-g823572.html,Women's Suspender Skirt Elastic Waist Organza Patchwork Midi Aline Skirt,Skirts
1062,$12.99,$19.99,http://www.jollychic.com/p/women-s-skirt-solid-color-high-waist-split-skirt-g1129556.html,Women's Skirt Solid Color High Waist Split Skirt,Skirts
325,$16.99,,http://www.jollychic.com/p/women-s-skirt-solid-high-waist-knit-maxi-pencil-skirt-g1174318.html,Women's Skirt Solid High Waist Knit Maxi Pencil Skirt,Skirts
2209,$10.99,$15.99,http://www.jollychic.com/p/wool-blends-high-waist-aline-skirt-with-back-zipper-g240103.html,Wool Blends High Waist Aline Skirt With Back Zipper,Skirts
4045,$13.99,$16.99,http://www.jollychic.com/p/women-s-skirt-solid-color-split-pencil-skirt-g1038064.html,Women's Skirt Solid Color Split Pencil Skirt,Skirts
4220,$13.99,$18.99,http://www.jollychic.com/p/women-s-maxi-long-skirt-solid-color-aline-pleated-skirt-g773620.html,Women's Maxi Long Skirt Solid Color Aline Pleated Skirt,Skirts
1064,$8.99,$13.99,http://www.jollychic.com/p/women-s-skirt-solid-pleated-maxi-long-skirt-g614306.html,Women's Skirt Solid Pleated Maxi Long Skirt,Skirts
711,$9.99,$14.99,http://www.jollychic.com/p/women-s-maxi-long-skirt-floral-pattern-pastoral-skirt-g855866.html,Women's Maxi Long Skirt Floral Pattern Pastoral Skirt,Skirts
