add_wish,discount_price,original_price,product_link,product_name,header_block
52,$31.99,$53.00,https://www.jollychic.com/p/women-s-sandals-thick-heel-open-toe-casual-slippers-g575812.html,Women's Sandals Thick Heel Open Toe Casual Slippers,Slippers
865,$6.99,$9.99,https://www.jollychic.com/p/women-s-slippers-candy-color-flower-pattern-sweet-cute-casual-slippers-g598806.html,Women's Slippers Candy Color Flower Pattern Sweet Cute Casual Slippers,Slippers
335,$3.99,$10.99,https://www.jollychic.com/p/women-s-sandals-visible-flower-lace-pattern-slingback-lacing-shoes-g603610.html,Women's Sandals Visible Flower Lace Pattern Slingback Lacing Shoes,Slippers
2451,$11.99,$18.99,https://www.jollychic.com/p/women-s-slippers-personality-pointed-toe-lacing-shoes-g606628.html,Women's Slippers Personality Pointed Toe Lacing Shoes,Slippers
708,$39.99,$64.00,https://www.jollychic.com/p/women-s-slippers-vogue-closed-toe-cusp-suede-comfy-summer-shoes-g621152.html,Women's Slippers Vogue Closed Toe Cusp Suede Comfy Summer Shoes,Slippers
988,$7.99,$11.99,https://www.jollychic.com/p/women-s-slippers-flower-shaped-decoration-trendy-sweet-style-casual-slippers-g626400.html,Women's Slippers Flower-Shaped Decoration Trendy Sweet Style Casual Slippers,Slippers
4155,$10.99,$16.99,https://www.jollychic.com/p/women-s-slippers-open-toe-shiny-design-flat-heel-casual-shoes-g634340.html,Women's Slippers Open Toe Shiny Design Flat Heel Casual Shoes,Slippers
12927,$6.99,$10.99,https://www.jollychic.com/p/women-s-slippers-solid-color-open-toe-flat-heel-casual-shoes-g637144.html,Women's Slippers Solid Color Open Toe Flat Heel Casual Shoes,Slippers
258,$6.99,$11.99,https://www.jollychic.com/p/women-s-slippers-vogue-striped-anti-skidding-comfy-flat-shoes-g643146.html,Women's Slippers Vogue Striped Anti-Skidding Comfy Flat Shoes,Slippers
585,$11.99,$17.99,https://www.jollychic.com/p/women-s-slippers-comfy-classic-all-match-leisure-flat-slippers-g647434.html,Women's Slippers Comfy Classic All Match Leisure Flat Slippers,Slippers
346,$14.99,$22.99,https://www.jollychic.com/p/women-s-slippers-wedge-heel-flower-fashion-womens-shoes-g647872.html,Women's Slippers Wedge Heel Flower Fashion Womens Shoes,Slippers
423,$12.99,$20.99,https://www.jollychic.com/p/women-s-slippers-chic-letter-decorative-floral-thick-sole-comfy-shoes-g650258.html,Women's Slippers Chic Letter Decorative Floral Thick Sole Comfy Shoes,Slippers
144,$34.99,$57.00,https://www.jollychic.com/p/women-s-peep-toe-sandals-studded-reinstones-thick-heel-casual-all-match-sandals-g654148.html,Women's Peep Toe Sandals Studded Reinstones Thick Heel Casual All Match Sandals,Slippers
438,$11.99,$20.99,https://www.jollychic.com/p/women-s-sandals-vogue-solid-bowknot-decor-polished-casual-shoes-g655256.html,Women's Sandals Vogue Solid Bowknot Decor Polished Casual Shoes,Slippers
761,$6.99,$20.99,https://www.jollychic.com/p/women-s-slippers-elegant-thin-heeled-rivets-decor-outdoor-party-shoes-g656570.html,Women's Slippers Elegant Thin Heeled Rivets Decor Outdoor Party Shoes,Slippers
1582,$9.99,,https://www.jollychic.com/p/women-s-slippers-chic-simple-h-shaped-comfortable-flat-shoes-g662368.html,Women's Slippers Chic Simple H Shaped Comfortable Flat Shoes,Slippers
4419,$12.99,$20.99,https://www.jollychic.com/p/women-s-sandal-all-match-open-toe-stylish-colorblock-anti-skidding-simple-shoes-g664194.html,Women's Sandal All Match Open Toe Stylish Colorblock Anti-Skidding Simple Shoes,Slippers
1146,$12.99,$25.99,https://www.jollychic.com/p/women-s-slippers-solid-color-faddish-wedge-shoes-g666098.html,Women's Slippers Solid Color Faddish Wedge Shoes,Slippers
