add_wish,discount_price,original_price,product_link,product_name,header_block
21467,$14.99,,https://www.jollychic.com/p/floral-long-sleeve-woman-thicken-sweatshirt-g86092.html,Floral Long Sleeve Woman Thicken Sweatshirt,Sweatshirts/Hoodies
18464,$22.99,$29.99,https://www.jollychic.com/p/cute-style-pure-color-zip-long-sleeve-hoodie-g223895.html,Cute Style Pure Color Zip Long Sleeve Hoodie,Sweatshirts/Hoodies
4928,$13.99,$19.99,https://www.jollychic.com/p/sweet-style-cartoon-print-sweatshirt-g372498.html,Sweet Style Cartoon Print Sweatshirt,Sweatshirts/Hoodies
16051,$19.99,$30.99,https://www.jollychic.com/p/flower-embroidery-long-sleeve-sweatshirt-g379468.html,Flower Embroidery Long Sleeve Sweatshirt,Sweatshirts/Hoodies
9224,$14.99,,https://www.jollychic.com/p/casual-style-women-s-hoodie-long-sleeve-solid-hoodie-g394052.html,Casual Style Women's Hoodie Long Sleeve Solid Hoodie,Sweatshirts/Hoodies
1406,$10.99,$30.99,https://www.jollychic.com/p/casual-style-women-s-hoodie-front-zipper-solid-hoodie-g408418.html,Casual Style Women's Hoodie Front Zipper Solid Hoodie,Sweatshirts/Hoodies
3614,$13.99,$23.99,https://www.jollychic.com/p/women-s-sweatshirt-casual-style-animal-print-o-neck-long-sleeve-midi-sweatshirt-g435436.html,Women's Sweatshirt Casual Style Animal Print O Neck Long Sleeve Midi Sweatshirt,Sweatshirts/Hoodies
8230,$8.99,$16.99,https://www.jollychic.com/p/women-s-sweatshirt-casual-style-print-o-neck-long-sleeve-solid-loose-sweatshirt-g437542.html,Women's Sweatshirt Casual Style Print O Neck Long Sleeve Solid Loose Sweatshirt,Sweatshirts/Hoodies
2187,$17.99,$27.99,https://www.jollychic.com/p/women-s-sweatshirt-high-low-hem-split-print-sweatshirt-g452034.html,Women's Sweatshirt High Low Hem Split Print Sweatshirt,Sweatshirts/Hoodies
3557,$14.99,$25.99,https://www.jollychic.com/p/women-s-hoodie-hooded-long-sleeve-layer-look-thick-velvet-hoodie-g459662.html,Women's Hoodie Hooded Long Sleeve Layer Look Thick Velvet Hoodie,Sweatshirts/Hoodies
2301,$11.99,$20.99,https://www.jollychic.com/p/women-s-sweatshirt-o-neck-long-sleeve-one-shoulder-christmas-dear-sweatshirt-g460516.html,Women's Sweatshirt O Neck Long Sleeve One Shoulder Christmas Dear Sweatshirt,Sweatshirts/Hoodies
1220,$9.99,$27.99,https://www.jollychic.com/p/women-s-sweatshirt-o-neck-long-sleeve-color-block-quilted-sweatshirt-g464636.html,Women's Sweatshirt O Neck Long Sleeve Color Block Quilted Sweatshirt,Sweatshirts/Hoodies
3002,$18.99,$35.99,https://www.jollychic.com/p/women-s-sweatshirt-o-neck-long-sleeve-applique-faux-fur-thick-sweatshirt-g465756.html,Women's Sweatshirt O Neck Long Sleeve Applique Faux Fur Thick Sweatshirt,Sweatshirts/Hoodies
294,$22.99,$34.99,https://www.jollychic.com/p/women-s-sweatshirt-o-neck-long-sleeve-plaid-patchwork-casual-sweatshirt-g476920.html,Women's Sweatshirt O Neck Long Sleeve Plaid Patchwork Casual Sweatshirt,Sweatshirts/Hoodies
2360,$18.99,$24.99,https://www.jollychic.com/p/women-s-sweatshirt-patchwork-casual-letter-sweatshirt-g485802.html,Women's Sweatshirt Patchwork Casual Letter Sweatshirt,Sweatshirts/Hoodies
843,$10.99,$30.99,https://www.jollychic.com/p/women-s-sweatshirt-o-neck-long-sleeve-dew-shoulder-patchwork-sweatshirt-g501216.html,Women's Sweatshirt O Neck Long Sleeve Dew Shoulder Patchwork Sweatshirt,Sweatshirts/Hoodies
297,$38.99,,https://www.jollychic.com/p/women-s-hoodie-hooded-long-sleeve-embroidery-casual-thick-long-hoodie-g519364.html,Women's Hoodie Hooded Long Sleeve Embroidery Casual Thick Long Hoodie,Sweatshirts/Hoodies
165,$19.99,$31.99,https://www.jollychic.com/p/women-s-sweatshirt-letter-print-color-block-patchwork-top-g890290.html,Women's Sweatshirt Letter Print Color Block Patchwork Top,Sweatshirts/Hoodies
93,$22.99,$37.99,https://www.jollychic.com/p/women-s-hoodie-solid-color-velvet-casual-hoodie-g940070.html,Women's Hoodie Solid Color Velvet Casual Hoodie,Sweatshirts/Hoodies
111,$17.99,$27.99,https://www.jollychic.com/p/women-s-sweatshirt-o-neck-long-sleeve-applique-decoration-sweatshirt-g978264.html,Women's Sweatshirt O Neck Long Sleeve Applique Decoration Sweatshirt,Sweatshirts/Hoodies
