add_wish,discount_price,original_price,product_link,product_name,header_block
881,$1.99,,https://www.jollychic.com/p/flower-pattern-hollow-out-black-sterling-tattoo-g339126.html,Flower Pattern Hollow Out Black Sterling Tattoo,Tattoo
671,$1.99,,https://www.jollychic.com/p/black-pentagram-pattern-hollow-out-tattoo-g339140.html,Black Pentagram Pattern Hollow Out Tattoo,Tattoo
4510,$3.99,,https://www.jollychic.com/p/white-lace-pattern-charming-tattoo-g339300.html,White Lace Pattern Charming Tattoo,Tattoo
575,$2.99,,https://www.jollychic.com/p/chic-dainty-lion-tiger-pattern-tattoo-g351158.html,Chic Dainty Lion Tiger Pattern Tattoo,Tattoo
245,$1.99,$3.99,https://www.jollychic.com/p/swish-delicate-sweet-tattoo-g356974.html,Swish Delicate Sweet Tattoo,Tattoo
150,$1.99,$3.99,https://www.jollychic.com/p/adorable-elegant-chic-foot-tattoo-g357064.html,Adorable Elegant Chic Foot Tattoo,Tattoo
74,$1.99,$3.99,https://www.jollychic.com/p/fashion-beautiful-exquisite-pattern-foot-tattoo-g357078.html,Fashion Beautiful Exquisite Pattern Foot Tattoo,Tattoo
106,$1.99,$3.99,https://www.jollychic.com/p/stylish-multi-color-sweet-foot-tattoo-g357108.html,Stylish Multi Color Sweet Foot Tattoo,Tattoo
1517,$4.99,$8.99,https://www.jollychic.com/p/fashion-exquisite-design-cool-hollow-out-4-pcs-tattoo-set-g357278.html,Fashion Exquisite Design Cool Hollow Out 4 Pcs Tattoo Set,Tattoo
1914,$2.99,$8.99,https://www.jollychic.com/p/chic-dainty-hollow-out-design-cool-4-pcs-tattoo-set-g357292.html,Chic Dainty Hollow Out Design Cool 4 Pcs Tattoo Set,Tattoo
983,$4.99,$8.99,https://www.jollychic.com/p/attractive-decorative-pattern-hollow-out-4-pcs-tattoo-set-g357298.html,Attractive Decorative Pattern Hollow Out 4 Pcs Tattoo Set,Tattoo
905,$1.99,$3.99,https://www.jollychic.com/p/lovely-cartoon-elephant-pattern-tattoo-g360772.html,Lovely Cartoon Elephant Pattern Tattoo,Tattoo
1419,$3.99,,https://www.jollychic.com/p/black-glam-multifarious-butterfly-pattern-tattoo-g360876.html,Black Glam Multifarious Butterfly Pattern Tattoo,Tattoo
1999,$4.99,$8.99,https://www.jollychic.com/p/4-pcs-delicate-upscale-ritzy-tattoo-g361138.html,4 Pcs Delicate Upscale Ritzy Tattoo,Tattoo
2993,$3.99,,https://www.jollychic.com/p/feather-bird-pattern-sterling-tattoo-g361146.html,Feather Bird Pattern Sterling Tattoo,Tattoo
