add_wish,discount_price,original_price,product_link,product_name,header_block
1496,$15.99,$26.99,http://www.jollychic.com/p/women-s-t-shirt-ruffle-sleeve-off-shoulder-sweet-top-g573930.html,Women's T Shirt Ruffle Sleeve Off Shoulder Sweet Top,Tops
4,$34.99,,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-long-sleeve-solid-embroidery-plus-size-top-g1232596.html,Women's Shirt Turn Down Collar Long Sleeve Solid Embroidery Plus Size Top,Tops
4444,$12.99,$22.99,http://www.jollychic.com/p/women-s-long-sleeve-rabbit-print-cropped-t-shirt-g351600.html,Women's Long Sleeve Rabbit Print Cropped T Shirt,Tops
3059,$10.99,$15.99,http://www.jollychic.com/p/women-s-shirt-stand-collar-color-block-slim-fit-top-g712212.html,Women's Shirt Stand Collar Color Block Slim Fit Top,Tops
75,$6.99,$13.99,http://www.jollychic.com/p/women-s-t-shirt-long-sleeve-o-neck-stylish-all-match-comfy-tops-g1287636.html,Women's T Shirt Long Sleeve O Neck Stylish All Match Comfy Tops,Tops
1004,$12.99,$19.99,http://www.jollychic.com/p/women-s-shirt-sweet-floral-batwing-sleeve-white-shirt-g723404.html,Women's Shirt Sweet Floral Batwing Sleeve White Shirt,Tops
365,$11.99,$16.99,http://www.jollychic.com/p/women-s-shirt-o-neck-long-sleeve-rhinestone-loose-plus-size-top-g1237568.html,Women's Shirt O Neck Long Sleeve Rhinestone Loose Plus Size Top,Tops
915,$26.99,,http://www.jollychic.com/p/women-s-shirt-plaid-pattern-long-sleeve-casual-top-g619332.html,Women's Shirt Plaid Pattern Long Sleeve Casual Top,Tops
2508,$10.99,$16.99,http://www.jollychic.com/p/women-s-blouse-stripe-pattern-beading-design-slim-top-g1076768.html,Women's Blouse Stripe Pattern Beading Design Slim Top,Tops
2549,$14.99,$24.99,http://www.jollychic.com/p/women-s-plus-size-blouse-floral-print-v-neck-short-sleeve-loose-blouse-g621326.html,Women's Plus Size Blouse Floral Print V Neck Short Sleeve Loose Blouse,Tops
7664,$13.99,$16.99,http://www.jollychic.com/p/women-s-t-shirt-plaid-patchwork-color-block-t-shirt-g1055424.html,Women's T Shirt Plaid Patchwork Color Block T Shirt,Tops
350,$13.99,$20.99,http://www.jollychic.com/p/women-s-t-shirt-v-neck-solid-slim-t-shirt-g1074578.html,Women's T Shirt V Neck Solid Slim T Shirt,Tops
9,$17.99,,http://www.jollychic.com/p/women-s-t-shirt-v-neck-short-sleeve-hollow-shoulder-floral-pattern-top-g916622.html,Women's T Shirt V Neck Short Sleeve Hollow Shoulder Floral Pattern Top,Tops
1525,$17.99,$27.99,http://www.jollychic.com/p/women-s-t-shirt-patched-flare-sleeve-aline-o-neck-beading-pearl-plus-size-t-shirt-g1206530.html,Women's T Shirt Patched Flare Sleeve Aline O Neck Beading Pearl Plus Size T Shirt,Tops
5,$22.99,,http://www.jollychic.com/p/women-s-t-shirt-striped-patchwork-long-sleeve-plus-size-t-shirt-g1115892.html,Women's T Shirt Striped Patchwork Long Sleeve Plus Size T Shirt,Tops
3945,$15.99,$23.99,http://www.jollychic.com/p/women-s-shirt-embroidery-v-neck-lantern-sleeve-plus-size-shirt-g1158232.html,Women's Shirt Embroidery V Neck Lantern Sleeve Plus Size Shirt,Tops
223,$15.99,$24.99,http://www.jollychic.com/p/women-s-blouse-solid-loose-batwing-sleeve-plus-size-top-g1074392.html,Women's Blouse Solid Loose Batwing Sleeve Plus Size Top,Tops
1884,$17.99,$21.99,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-long-sleeve-single-breasted-solid-slim-long-top-g452228.html,Women's Shirt Turn Down Collar Long Sleeve Single Breasted Solid Slim Long Top,Tops
7444,$6.99,$11.99,http://www.jollychic.com/p/women-s-blouse-solid-color-long-sleeve-slim-top-g849714.html,Women's Blouse Solid Color Long Sleeve Slim Top,Tops
198,$4.99,$7.99,http://www.jollychic.com/p/women-s-t-shirt-see-through-long-sleeve-solid-slim-t-shirt-g757214.html,Women's T Shirt See Through Long Sleeve Solid Slim T Shirt,Tops
3691,$21.99,$27.99,http://www.jollychic.com/p/women-s-t-shirt-color-block-long-sleeve-casual-chiffon-top-g605030.html,Women's T Shirt Color Block Long Sleeve Casual Chiffon Top,Tops
1093,$13.99,$21.99,http://www.jollychic.com/p/women-s-shirt-solid-color-long-sleeve-o-neck-cascading-ruffle-chiffon-shirt-g1208224.html,Women's Shirt Solid Color Long Sleeve O Neck Cascading Ruffle Chiffon Shirt,Tops
92,$9.99,$12.99,http://www.jollychic.com/p/women-s-t-shirt-hooded-short-sleeve-solid-casual-top-g1213764.html,Women's T Shirt Hooded Short Sleeve Solid Casual Top,Tops
5510,$8.99,$13.99,http://www.jollychic.com/p/women-s-t-shirt-plus-size-long-sleeve-solid-top-g1040632.html,Women's T Shirt Plus Size Long Sleeve Solid Top,Tops
20,$19.99,,http://www.jollychic.com/p/women-s-shirt-long-sleeve-print-floral-turn-down-collar-plus-size-shirt-g1214370.html,Women's Shirt Long Sleeve Print Floral Turn Down Collar Plus Size Shirt,Tops
784,$20.99,$30.99,http://www.jollychic.com/p/women-s-shirt-stand-collar-embroidery-design-slim-elegance-shirt-g991030.html,Women's Shirt Stand Collar Embroidery Design Slim Elegance Shirt,Tops
412,$12.99,$18.99,http://www.jollychic.com/p/women-s-t-shirt-off-shoulder-long-sleeve-patchwork-plus-size-plus-size-sexy-top-g1237566.html,Women's T Shirt Off Shoulder Long Sleeve Patchwork Plus Size Plus Size Sexy Top,Tops
7878,$4.99,$19.99,http://www.jollychic.com/p/women-s-shirt-floral-embroidery-short-sleeve-white-shirt-g689556.html,Women's Shirt Floral Embroidery Short Sleeve White Shirt,Tops
1115,$7.99,$15.99,http://www.jollychic.com/p/women-s-top-linen-casual-three-quarters-sleeve-stand-collar-shirt-g873630.html,Women's Top Linen Casual Three Quarters Sleeve Stand Collar Shirt,Tops
12403,$13.99,$17.99,http://www.jollychic.com/p/women-s-chiffon-blouse-stand-collar-long-sleeve-solid-color-top-g912880.html,Women's Chiffon Blouse Stand Collar Long Sleeve Solid Color Top,Tops
15,$27.99,,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-long-sleeve-striped-patchwork-plus-size-top-g1198480.html,Women's Shirt Turn Down Collar Long Sleeve Striped Patchwork Plus Size Top,Tops
43775,$13.99,$19.99,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-solid-color-casual-shirt-g267067.html,Women's Shirt Turn Down Collar Solid Color Casual Shirt,Tops
21,$19.99,$30.99,http://www.jollychic.com/p/women-s-blouse-lace-patchwork-casual-top-g907714.html,Women's Blouse Lace Patchwork Casual Top,Tops
20021,$12.99,$24.99,http://www.jollychic.com/p/plus-size-sweet-turn-down-long-sleeve-blouse-g174737.html,Plus Size Sweet Turn Down Long Sleeve Blouse,Tops
7125,$14.99,$21.99,http://www.jollychic.com/p/women-s-blouse-cascading-ruffle-patchwork-sweet-blouse-g1161790.html,Women's Blouse Cascading Ruffle Patchwork Sweet Blouse,Tops
107,$13.99,,http://www.jollychic.com/p/women-s-shirt-long-sleeve-color-block-casual-shirt-g1161834.html,Women's Shirt Long Sleeve Color Block Casual Shirt,Tops
785,$3.99,$6.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-short-sleeve-print-letter-casual-top-g1096008.html,Women's T Shirt O Neck Short Sleeve Print Letter Casual Top,Tops
27,$11.99,$23.99,http://www.jollychic.com/p/women-s-shirt-stand-collar-long-sleeve-lace-patchwork-top-g1282454.html,Women's Shirt Stand Collar Long Sleeve Lace Patchwork Top,Tops
482,$33.99,,http://www.jollychic.com/p/women-s-shirt-long-sleeve-ruffles-bow-chiffon-shirt-g1103362.html,Women's Shirt Long Sleeve Ruffles Bow Chiffon Shirt,Tops
15891,$9.99,$12.99,http://www.jollychic.com/p/casual-baggy-round-collar-letters-long-sleeve-tee-g103172.html,Casual Baggy Round Collar Letters Long Sleeve Tee,Tops
28734,$7.99,$12.99,http://www.jollychic.com/p/women-s-blouse-stand-collar-batwing-sleeve-solid-high-low-top-g632566.html,Women's Blouse Stand Collar Batwing Sleeve Solid High Low Top,Tops
182,$10.99,$21.99,http://www.jollychic.com/p/women-s-t-shirt-v-neck-long-sleeve-solid-t-shirt-g1304412.html,Women's T Shirt V Neck Long Sleeve Solid T Shirt,Tops
12105,$13.99,$20.99,http://www.jollychic.com/p/feminine-back-bow-polo-neck-plus-size-shirt-g173519.html,Feminine Back Bow Polo Neck Plus Size Shirt,Tops
1609,$13.99,$21.99,http://www.jollychic.com/p/women-s-shirt-floral-embroidery-see-through-casual-plus-size-top-g891540.html,Women's Shirt Floral Embroidery See Through Casual Plus Size Top,Tops
125,$10.99,$16.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-long-sleeve-lace-hollow-out-solid-plus-size-top-g1009370.html,Women's T Shirt O Neck Long Sleeve Lace Hollow Out Solid Plus Size Top,Tops
2750,$21.99,,http://www.jollychic.com/p/women-s-t-shirt-solid-color-ruffle-button-batwing-sleeve-loose-t-shirt-g1134484.html,Women's T Shirt Solid Color Ruffle Button Batwing Sleeve Loose T Shirt,Tops
7106,$11.99,$15.99,http://www.jollychic.com/p/women-s-lace-blouse-stand-collar-slim-elegance-top-g912878.html,Women's Lace Blouse Stand Collar Slim Elegance Top,Tops
276,$11.99,$18.99,http://www.jollychic.com/p/women-s-t-shirt-solid-color-long-sleeve-turtleneck-slim-plus-size-t-shirt-g1214860.html,Women's T Shirt Solid Color Long Sleeve Turtleneck Slim Plus Size T Shirt,Tops
15,$8.99,$17.99,http://www.jollychic.com/p/women-s-plus-size-chiffon-blouse-flared-sleeve-solid-color-top-g1292572.html,Women's Plus Size Chiffon Blouse Flared Sleeve Solid Color Top,Tops
2465,$15.99,$21.99,http://www.jollychic.com/p/women-s-blouse-long-sleeve-drawstring-waist-plus-size-top-g1077404.html,Women's Blouse Long Sleeve Drawstring Waist Plus Size Top,Tops
1628,$11.99,$17.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-long-sleeve-lace-patchwork-colorblock-casual-top-g1089024.html,Women's T Shirt O Neck Long Sleeve Lace Patchwork Colorblock Casual Top,Tops
479,$5.99,$8.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-long-sleeve-striped-casual-top-g1123348.html,Women's T Shirt O Neck Long Sleeve Striped Casual Top,Tops
34494,$16.99,$22.99,http://www.jollychic.com/p/women-s-cartoon-print-short-sleeve-t-shirt-g354760.html,Women's Cartoon Print Short Sleeve T Shirt,Tops
9712,$11.99,$16.99,http://www.jollychic.com/p/print-long-sleeve-round-neck-chiffon-blouse-g119685.html,Print Long Sleeve Round Neck Chiffon Blouse,Tops
5109,$15.99,$19.99,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-long-sleeve-bow-colorblock-chiffon-top-g553594.html,Women's Shirt Turn Down Collar Long Sleeve Bow Colorblock Chiffon Top,Tops
8129,$7.99,$11.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-print-casual-t-shirt-g538554.html,Women's T Shirt O Neck Print Casual T Shirt,Tops
2465,$8.99,$12.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-three-quarters-sleeve-floral-pattern-slim-fit-top-g886094.html,Women's T Shirt O Neck Three Quarters Sleeve Floral Pattern Slim Fit Top,Tops
2392,$15.99,$19.99,http://www.jollychic.com/p/women-s-chiffon-blouse-stand-collar-solid-color-brief-design-top-g1073164.html,Women's Chiffon Blouse Stand Collar Solid Color Brief Design Top,Tops
296,$18.99,$28.99,http://www.jollychic.com/p/women-s-chiffon-blouse-v-neck-bow-design-slim-top-g1086208.html,Women's Chiffon Blouse V Neck Bow Design Slim Top,Tops
443,$15.99,$24.99,http://www.jollychic.com/p/women-s-blouse-long-sleeve-embroidery-lace-blouse-g607926.html,Women's Blouse Long Sleeve Embroidery Lace Blouse,Tops
3645,$8.99,$13.99,http://www.jollychic.com/p/women-s-shirt-long-sleeve-turn-down-collar-plaid-pattern-casual-top-g686566.html,Women's Shirt Long Sleeve Turn Down Collar Plaid Pattern Casual Top,Tops
36496,$14.99,$23.99,http://www.jollychic.com/p/plus-size-street-style-single-breasted-fashion-shirt-with-belt-g236053.html,Plus Size Street Style Single Breasted Fashion Shirt With Belt,Tops
1926,$20.99,$28.99,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-long-sleeve-collorblock-2pcs-plus-size-top-g877644.html,Women's Shirt Turn Down Collar Long Sleeve Collorblock 2Pcs Plus Size Top,Tops
201,$13.99,$21.99,http://www.jollychic.com/p/women-s-blouse-stand-collar-floral-pattern-lace-plus-size-top-g1049662.html,Women's Blouse Stand Collar Floral Pattern Lace Plus Size Top,Tops
1613,$8.99,$13.99,http://www.jollychic.com/p/women-s-t-shirt-casual-solid-color-plus-size-top-g1040634.html,Women's T Shirt Casual Solid Color Plus Size Top,Tops
4952,$13.99,$19.99,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-long-sleeve-plaid-shirt-g914722.html,Women's Shirt Turn Down Collar Long Sleeve Plaid Shirt,Tops
1967,$10.99,$14.99,http://www.jollychic.com/p/women-s-chiffon-blouse-slash-neck-solid-color-sweet-top-g1053130.html,Women's Chiffon Blouse Slash Neck Solid Color Sweet Top,Tops
949,$6.99,$10.99,http://www.jollychic.com/p/women-s-t-shirt-v-neck-long-sleeve-color-block-cropped-top-g1064094.html,Women's T Shirt V Neck Long Sleeve Color Block Cropped Top,Tops
9812,$14.99,$21.99,http://www.jollychic.com/p/women-s-t-shirt-ruffle-sleeve-v-neck-solid-color-casual-top-g494672.html,Women's T Shirt Ruffle Sleeve V Neck Solid Color Casual Top,Tops
511,$27.99,,http://www.jollychic.com/p/women-s-shirt-stripe-pattern-casual-plus-size-shirt-g1094226.html,Women's Shirt Stripe Pattern Casual Plus Size Shirt,Tops
169,$9.99,$15.99,http://www.jollychic.com/p/women-s-shirt-stripe-pattern-loose-plus-size-top-g1104938.html,Women's Shirt Stripe Pattern Loose Plus Size Top,Tops
4885,$9.99,$13.99,http://www.jollychic.com/p/women-s-chiffon-blouse-long-sleeve-lace-patched-top-g880360.html,Women's Chiffon Blouse Long Sleeve Lace Patched Top,Tops
2744,$9.99,$14.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-long-sleeve-print-cartoon-casual-top-g1091650.html,Women's T Shirt O Neck Long Sleeve Print Cartoon Casual Top,Tops
2309,$14.99,$21.99,http://www.jollychic.com/p/women-s-blouse-lace-patch-o-neck-solid-top-g1049638.html,Women's Blouse Lace Patch O Neck Solid Top,Tops
167,$17.99,$29.99,http://www.jollychic.com/p/women-s-shirt-casual-high-low-hem-long-sleeve-shirt-g886468.html,Women's Shirt Casual High Low Hem Long Sleeve Shirt,Tops
514,$12.99,$37.99,http://www.jollychic.com/p/casual-style-women-s-shirt-patchwork-stripe-pattern-shirt-g419844.html,Casual Style Women's Shirt Patchwork Stripe Pattern Shirt,Tops
7344,$8.99,$15.99,http://www.jollychic.com/p/women-s-t-shirt-cute-animal-batwing-sleeve-loose-t-shirt-g584696.html,Women's T Shirt Cute Animal Batwing Sleeve Loose T Shirt,Tops
10,$11.99,$16.99,http://www.jollychic.com/p/women-s-t-shirt-lace-patchwork-hollow-out-sweet-plus-size-t-shirt-g1265888.html,Women's T Shirt Lace Patchwork Hollow Out Sweet Plus Size T Shirt,Tops
3493,$18.99,$23.99,http://www.jollychic.com/p/women-s-blouse-long-sleeve-turn-down-collar-embroidery-sweet-style-top-g566974.html,Women's Blouse Long Sleeve Turn Down Collar Embroidery Sweet Style Top,Tops
132,$7.99,$10.99,http://www.jollychic.com/p/women-s-t-shirt-color-block-lace-patchwork-slim-top-g941460.html,Women's T Shirt Color Block Lace Patchwork Slim Top,Tops
1838,$11.99,$18.99,http://www.jollychic.com/p/women-s-blouse-long-sleeve-solid-color-all-match-top-g1077304.html,Women's Blouse Long Sleeve Solid Color All Match Top,Tops
391,$5.99,$8.99,http://www.jollychic.com/p/women-s-t-shirt-o-neck-long-sleeve-geometric-pattern-plus-size-top-g1114870.html,Women's T Shirt O Neck Long Sleeve Geometric Pattern Plus Size Top,Tops
15697,$8.99,$12.99,http://www.jollychic.com/p/women-s-blouse-beading-sleeveless-sweet-top-g948134.html,Women's Blouse Beading Sleeveless Sweet Top,Tops
1197,$13.99,$23.99,http://www.jollychic.com/p/women-s-shirt-turn-down-collar-preppy-style-single-breasted-midi-plaid-top-g436260.html,Women's Shirt Turn Down Collar Preppy Style Single Breasted Midi Plaid Top,Tops
1881,$25.99,$33.99,http://www.jollychic.com/p/women-s-shirt-floral-embroidery-casual-top-g758170.html,Women's Shirt Floral Embroidery Casual Top,Tops
3890,$9.99,$13.99,http://www.jollychic.com/p/women-s-t-shirt-solid-color-long-sleeve-casual-plus-size-top-g793760.html,Women's T Shirt Solid Color Long Sleeve Casual Plus Size Top,Tops
