add_wish,discount_price,original_price,product_link,product_name,header_block
42,$96.00,,http://www.jollychic.com/p/women-s-wig-fashion-gradient-color-natural-human-hair-preppy-accessory-g597410.html,Women's Wig Fashion Gradient Color Natural Human Hair Preppy Accessory,Wigs
1040,$18.99,$28.99,http://www.jollychic.com/p/women-s-wigs-central-parting-long-curly-hair-chemical-fiber-accessory-g930732.html,Women's Wigs Central Parting Long Curly Hair Chemical Fiber Accessory,Wigs
1053,$5.99,,http://www.jollychic.com/p/women-s-wig-long-straight-ponytail-multiple-colors-optional-hair-extension-g772210.html,Women's Wig Long Straight Ponytail Multiple Colors Optional Hair Extension,Wigs
1417,$2.99,$7.99,http://www.jollychic.com/p/new-in-brown-straight-hair-extensions-for-women-g68048.html,New In Brown Straight Hair Extensions For Women,Wigs
949,$12.99,$15.99,http://www.jollychic.com/p/fashion-short-style-gold-women-s-wig-g145053.html,Fashion Short Style Gold Women's Wig,Wigs
536,$14.99,$15.99,http://www.jollychic.com/p/short-cool-irregular-cut-womens-wig-g110650.html,Short Cool Irregular Cut Womens Wig,Wigs
69,$114.00,,http://www.jollychic.com/p/human-hair-bang-straight-women-s-wig-g397878.html,Human Hair Bang Straight Women's Wig,Wigs
62,$148.00,,http://www.jollychic.com/p/women-s-wig-trendy-long-wavy-fringe-glossy-natural-hair-replacement-wig-g457812.html,Women's Wig Trendy Long Wavy Fringe Glossy Natural Hair Replacement Wig,Wigs
58,$148.00,,http://www.jollychic.com/p/women-s-wig-fashion-long-wavy-loose-natural-replacement-wig-g457882.html,Women's Wig Fashion Long Wavy Loose Natural Replacement Wig,Wigs
107,$44.99,$48.99,http://www.jollychic.com/p/women-s-wig-top-quality-curly-human-hair-extension-g484510.html,Women's Wig Top Quality Curly Human Hair Extension,Wigs
97,$47.99,$64.00,http://www.jollychic.com/p/women-s-wig-classical-black-refined-classy-short-human-hair-g497450.html,Women's Wig Classical Black Refined Classy Short Human Hair,Wigs
993,$21.99,$24.99,http://www.jollychic.com/p/women-s-wig-mature-glam-gradient-color-straight-middle-length-synthetic-hair-g513564.html,Women's Wig Mature Glam Gradient Color Straight Middle Length Synthetic Hair,Wigs
30,$14.99,$19.99,http://www.jollychic.com/p/women-s-wig-trendy-all-match-long-straight-human-hair-accessory-g524068.html,Women's Wig Trendy All Match Long Straight Human Hair Accessory,Wigs
21,$69.00,,http://www.jollychic.com/p/women-s-wig-black-kinky-charming-short-human-hair-accessory-g525968.html,Women's Wig Black Kinky Charming Short Human Hair Accessory,Wigs
10,$66.00,,http://www.jollychic.com/p/women-s-wig-fashion-human-hair-short-charming-hair-accessory-g528252.html,Women's Wig Fashion Human Hair Short Charming Hair Accessory,Wigs
6,$66.00,,http://www.jollychic.com/p/women-s-wig-fresh-style-short-straight-fringe-brief-human-hair-accessory-g528266.html,Women's Wig Fresh Style Short Straight Fringe Brief Human Hair Accessory,Wigs
11,$69.00,,http://www.jollychic.com/p/women-s-wig-fashion-ladylike-fringe-short-charming-human-hair-accessory-g528442.html,Women's Wig Fashion Ladylike Fringe Short Charming Human Hair Accessory,Wigs
3,$69.00,,http://www.jollychic.com/p/women-s-vogue-wig-charming-curly-short-human-hair-accessory-g535900.html,Women's Vogue Wig Charming Curly Short Human Hair Accessory,Wigs
12,$134.00,,http://www.jollychic.com/p/women-s-wig-swish-gradient-gentle-straight-human-hair-accessory-g535904.html,Women's Wig Swish Gradient Gentle Straight Human Hair Accessory,Wigs
63,$24.99,,http://www.jollychic.com/p/women-s-synthetic-hair-chic-brown-short-straight-sleek-hair-replacement-wig-g550752.html,Women's Synthetic Hair Chic Brown Short Straight Sleek Hair Replacement Wig,Wigs
3,$137.00,,http://www.jollychic.com/p/women-s-wig-blunt-cut-bangs-black-sweet-brief-style-slightly-curly-human-hair-g554746.html,Women's Wig Blunt Cut Bangs Black Sweet Brief Style Slightly Curly Human Hair,Wigs
7,$24.99,,http://www.jollychic.com/p/women-s-wig-stylish-natural-short-fringe-loose-synthetic-hair-accessory-g555324.html,Women's Wig Stylish Natural Short Fringe Loose Synthetic Hair Accessory,Wigs
36,$137.00,,http://www.jollychic.com/p/women-s-wig-sexy-highlight-long-curly-human-hair-accessory-g555326.html,Women's Wig Sexy Highlight Long Curly Human Hair Accessory,Wigs
40,$97.00,,http://www.jollychic.com/p/women-s-wig-preppy-medium-curly-side-fringe-human-hair-accessory-g557486.html,Women's Wig Preppy Medium Curly Side Fringe Human Hair Accessory,Wigs
22,$66.00,,http://www.jollychic.com/p/women-s-wig-feminine-charm-mature-short-style-human-hair-accessory-g564424.html,Women's Wig Feminine Charm Mature Short Style Human Hair Accessory,Wigs
12,$148.00,,http://www.jollychic.com/p/women-s-wig-elegant-long-curly-human-hair-replacement-accessory-g564604.html,Women's Wig Elegant Long Curly Human Hair Replacement Accessory,Wigs
10,$97.00,,http://www.jollychic.com/p/women-s-wig-faddish-elegant-loose-wave-middle-length-curly-human-hair-accessory-g564656.html,Women's Wig Faddish Elegant Loose Wave Middle Length Curly Human Hair Accessory,Wigs
3,$71.00,,http://www.jollychic.com/p/women-s-wig-natural-sleek-smooth-classy-short-human-hair-accessory-g571874.html,Women's Wig Natural Sleek Smooth Classy Short Human Hair Accessory,Wigs
103,$76.00,,http://www.jollychic.com/p/women-s-wig-exquisite-mature-short-hair-wig-accessory-g572578.html,Women's Wig Exquisite Mature Short Hair Wig Accessory,Wigs
3,$69.00,,http://www.jollychic.com/p/women-s-wig-simple-style-sterling-short-human-hair-accessory-g574878.html,Women's Wig Simple Style Sterling Short Human Hair Accessory,Wigs
11,$145.00,,http://www.jollychic.com/p/women-s-wig-classy-charming-wavy-long-human-hair-accessory-g574882.html,Women's Wig Classy Charming Wavy Long Human Hair Accessory,Wigs
6,$65.00,,http://www.jollychic.com/p/women-s-wig-exquisite-mature-short-curly-hair-wig-accessory-g581182.html,Women's Wig Exquisite Mature Short Curly Hair Wig Accessory,Wigs
7,$84.00,,http://www.jollychic.com/p/women-s-wig-vogue-mixed-color-short-straight-human-hair-accessory-g587762.html,Women's Wig Vogue Mixed Color Short Straight Human Hair Accessory,Wigs
173,$130.00,,http://www.jollychic.com/p/women-s-wig-trendy-blunt-cut-bangs-straight-human-hair-accessory-g587882.html,Women's Wig Trendy Blunt Cut Bangs Straight Human Hair Accessory,Wigs
8,$96.00,,http://www.jollychic.com/p/women-s-wig-lovely-side-fringe-kinky-natural-human-hair-accessory-g597406.html,Women's Wig Lovely Side Fringe Kinky Natural Human Hair Accessory,Wigs
3,$64.00,,http://www.jollychic.com/p/women-s-wig-graceful-short-kinky-side-fringe-loose-human-hair-accessory-g601420.html,Women's Wig Graceful Short Kinky Side Fringe Loose Human Hair Accessory,Wigs
3,$105.00,,http://www.jollychic.com/p/women-s-wig-adorable-bobo-style-side-fringe-smooth-human-hair-accessory-g601436.html,Women's Wig Adorable BOBO Style Side Fringe Smooth Human Hair Accessory,Wigs
13,$76.00,,http://www.jollychic.com/p/women-s-wig-fashion-smooth-side-fringe-short-gradient-human-hair-accessory-g601442.html,Women's Wig Fashion Smooth Side Fringe Short Gradient Human Hair Accessory,Wigs
335,$7.99,$11.99,http://www.jollychic.com/p/women-s-wig-cosplay-bob-style-straight-hair-accessory-g618044.html,Women's Wig Cosplay Bob Style Straight Hair Accessory,Wigs
9,$130.00,,http://www.jollychic.com/p/women-s-wig-glossy-vogue-natural-curly-shoulder-length-style-hair-accessory-g618760.html,Women's Wig Glossy Vogue Natural Curly Shoulder Length Style Hair Accessory,Wigs
2,$24.99,,http://www.jollychic.com/p/women-s-wig-classic-style-chic-likable-short-bob-haircut-hair-accessory-g618770.html,Women's Wig Classic Style Chic Likable Short Bob Haircut Hair Accessory,Wigs
3,$24.99,,http://www.jollychic.com/p/women-s-short-wig-chic-deep-brown-middle-parting-curly-human-wig-g618790.html,Women's Short Wig Chic Deep Brown Middle Parting Curly Human Wig,Wigs
22,$100.00,,http://www.jollychic.com/p/women-s-wig-popular-lovely-natural-bob-hairstyle-inclined-bang-hair-accessory-g619032.html,Women's Wig Popular Lovely Natural Bob Hairstyle Inclined Bang Hair Accessory,Wigs
11,$24.99,,http://www.jollychic.com/p/women-s-wig-simple-blended-colors-loose-soft-short-hairstyle-accessory-g620082.html,Women's Wig Simple Blended Colors Loose Soft Short Hairstyle Accessory,Wigs
82,$9.99,$15.99,http://www.jollychic.com/p/women-s-wig-groovy-smooth-straight-long-sideswept-fringe-hair-replacement-g620522.html,Women's Wig Groovy Smooth Straight Long Sideswept Fringe Hair Replacement,Wigs
10,$33.99,,http://www.jollychic.com/p/women-s-wig-unique-long-curly-synthetic-hair-replacement-wig-g620778.html,Women's Wig Unique Long Curly Synthetic Hair Replacement Wig,Wigs
7,$96.00,,http://www.jollychic.com/p/women-s-wig-ol-style-simple-blunt-bangs-short-human-hair-accessory-g621286.html,Women's Wig OL Style Simple Blunt Bangs Short Human Hair Accessory,Wigs
516,$21.99,$25.99,http://www.jollychic.com/p/women-s-wig-winsome-simple-long-straight-hairsyle-black-hair-wig-g621670.html,Women's Wig Winsome Simple Long Straight Hairsyle Black Hair Wig,Wigs
7,$142.00,,http://www.jollychic.com/p/women-s-wig-glossy-vogue-long-straight-mixed-color-hair-wig-g625058.html,Women's Wig Glossy Vogue Long Straight Mixed Color Hair Wig,Wigs
