adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,1,2017/03/10,http://cdn0-a.production.images.static6.com/7EE-L52HhgPOyF31kKXB2QHVDOU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1394515/original/040030700_1478176079-gsx_r.jpg,http://otomotif.liputan6.com/read/2881456/6-fakta-menarik-motor-sport-suzuki-gsx-r150,2.7k,Motor,6 Fakta Menarik Motor Sport Suzuki GSX-R150
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/eFxyX591mk4PHytx3V6zM-pOdIU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533046/original/073080800_1489143410-Diskusi-Technology-Startup-Indonesia1.jpg,http://photo.liputan6.com/tekno/diskusi-technology-startup-indonesia-2882047,17,Tekno,Diskusi Technology Startup Indonesia
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/04kt4w77YnH0jfC5pTZwo6exZiA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1512247/original/092807200_1487527620-Malaysia_North_Korea__Hand.jpg,http://global.liputan6.com/read/2881925/malaysia-pastikan-pria-korut-yang-terbunuh-adalah-kim-jong-nam,3.4k,Internasional,Malaysia Pastikan Pria Korut yang Terbunuh Adalah Kim Jong-nam
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/cywepcNgJByngj2UiLmI91wkSWs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1459480/original/083640800_1483461518-Benarkah-Vegetarian-Rentan-Terserang-Osteoporosis.jpg,http://health.liputan6.com/read/2881789/4-hal-yang-terjadi-pada-tubuh-saat-setop-makan-daging,1.5k,Fit & Diet,4 Hal yang Terjadi pada Tubuh Saat Setop Makan Daging
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/b9rKFBpgXQjhoGCdAbnTrm12TUM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1532608/original/077919900_1489122060-nike.jpg,http://citizen6.liputan6.com/read/2881544/nike-luncurkan-jilbab-berteknologi-tinggi-bagi-atlet-muslimah,16.5k,Hits,Nike Luncurkan Jilbab Berteknologi Tinggi bagi Atlet Muslimah
Just For Kids,1,2017/03/10,http://cdn1-a.production.images.static6.com/_Wk6QwppHWmB40UtXmRZaRkuFkY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1525896/original/052262100_1488548568-evelyn-5.jpg,http://showbiz.liputan6.com/read/2881497/penuh-haru-ini-ungkapan-rindu-evelyn-nada-anjani-untuk-aming,17,Selebritis,"Penuh Haru, Ini Ungkapan Rindu Evelyn Nada Anjani untuk Aming"
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/z5XnTD8H_Z1TaqUQcPzqMaY3EDQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533052/original/029950600_1489143493-seg_2.jpg,http://tv.liputan6.com/read/2881826/segmen-2-permen-dot-aman-hingga-raja-salman-salat-jumat-di-bali,16,Liputan6 Petang,Segmen 2: Permen Dot Aman hingga Raja Salman Salat Jumat di Bali
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/fmn85LfS6KywDrhSJVLMXCHrHpE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533037/original/016096900_1489143110-seg_1.jpg,http://tv.liputan6.com/read/2881824/segmen-1-kisruh-ojek-online-hingga-tantangan-marzuki-alie,14,Liputan6 Petang,Segmen 1: Kisruh Ojek Online hingga Tantangan Marzuki Alie
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/O9bxrSQjY1N2mlCBDghrDVKkgow=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/763861/big/043638500_1415608743-m4.jpg,http://news.liputan6.com/read/2882031/sby-jk-hingga-wiranto-hadiri-pemakaman-mantan-mendagri-m-maruf,11,Peristiwa,"SBY, JK Hingga Wiranto Hadiri Pemakaman Mantan Mendagri M Maruf"
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/i9pznratMbZvLV2R8A6iiLTcWGA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/694347/big/Ilustrasi-pertumbuhan-ekonomi-140619-andri.jpg,http://bisnis.liputan6.com/read/2881931/japan-credit-rating-agency-naikkan-peringkat-ri,472,Ekonomi,Japan Credit Rating Agency Naikkan Peringkat RI
